S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
10.006,2.3826,10.3618,2.3849,10.8553,2.387,10.773,2.3846,9.375,2.399,9.7862,2.3919,10.6086,2.3778,10.9375,2.3682,10.1151,2.3964,9.4572,2.3607,10.9375,2.3735
10.4367,2.3307,12.0066,2.3207,9.7039,2.3416,10.3618,2.3498,9.6217,2.3493,9.2928,2.3396,10.773,2.3298,11.102,2.3101,9.7862,2.3625,10.3618,2.3136,11.6776,2.3079
25.6911,2.0452,24.9178,2.054,27.1382,2.0294,24.7533,2.0593,27.1382,2.0371,28.4539,2.0218,26.727,2.0338,23.602,2.0462,24.4243,2.0422,27.3026,2.0328,23.7664,2.0468
22.3558,2.017,23.1086,2.0206,22.9441,2.0049,22.0395,2.0207,23.4375,1.9998,25.8224,1.9986,22.7796,2.0022,23.5197,2.0253,23.5197,1.9994,24.0132,1.9958,21.2171,2.0078
36.9692,1.8228,36.7599,1.8082,36.7599,1.8006,37.5,1.8158,35.8553,1.8245,36.9243,1.8206,37.2533,1.8087,36.3487,1.8274,36.5132,1.8147,38.7336,1.8052,37.4178,1.7999
38.0709,1.7798,38.2401,1.7725,39.3092,1.7423,41.9408,1.748,39.1447,1.7727,40.8717,1.768,39.3092,1.7574,37.7467,1.7832,38.5691,1.7552,39.3914,1.7647,40.7895,1.736
42.1474,1.7803,44.9013,1.7595,47.0395,1.7543,43.5033,1.7679,43.75,1.7686,44.6546,1.7656,44.4079,1.7599,43.9967,1.7744,44.0789,1.7638,46.2993,1.7679,44.8191,1.7495
42.3377,1.6629,44.4079,1.6232,45.7237,1.6067,46.1349,1.6307,44.0789,1.6426,43.4211,1.648,46.7105,1.6167,42.5164,1.6513,42.8454,1.6401,45.3947,1.6227,45.8882,1.5994
25.1703,2.0676,26.5625,2.0209,27.1382,2.0493,23.9309,2.0936,24.0954,2.0562,24.6711,2.0685,25.6579,2.0421,27.4671,2.0392,24.8355,2.0789,28.8651,2.001,25.6579,2.0439
46.1438,1.5623,48.7664,1.5201,50.2467,1.4794,49.7533,1.5177,48.1086,1.5109,45.477,1.5484,48.1086,1.5119,47.3684,1.5208,49.2599,1.516,49.0954,1.5064,48.9309,1.4889
43.4696,1.564,46.5461,1.4972,47.6151,1.4938,46.6283,1.5171,48.602,1.4903,44.4901,1.5393,46.3816,1.4996,46.7928,1.5165,47.0395,1.5072,47.8618,1.4962,48.602,1.4818
45.3626,1.5957,49.8355,1.5213,51.0691,1.5057,50.0822,1.5423,51.4803,1.531,45.8059,1.5913,50.4112,1.5295,49.8355,1.5219,48.8487,1.5506,51.1513,1.5203,48.3553,1.5257
36.869,1.832,37.2533,1.8089,39.0625,1.7945,37.4178,1.8023,39.4737,1.7874,37.2533,1.8253,38.898,1.7983,37.6645,1.8001,39.5559,1.789,38.8158,1.7911,39.3092,1.7585
49.1687,1.4281,55.0164,1.2978,58.3882,1.2884,54.6875,1.3283,56.3322,1.3168,52.1382,1.3901,54.0296,1.3248,53.9474,1.3174,53.4539,1.339,56.0855,1.3054,54.9342,1.3081
25.3706,2.0911,25.8224,2.0581,25.6579,2.0748,24.8355,2.0918,25.4112,2.0812,23.1908,2.0917,25.0822,2.081,26.6447,2.0674,25.5757,2.0878,27.5493,2.0549,24.7533,2.0788
47.9567,1.4715,55.1809,1.3286,57.977,1.3025,54.3586,1.3685,54.4408,1.36,49.7533,1.4429,54.4408,1.351,52.8783,1.3544,54.1118,1.3704,55.5921,1.325,54.523,1.3501
32.3317,2.0387,38.8158,1.9993,34.0461,2.0251,33.1414,2.0279,36.102,2.0182,31.6612,2.0458,34.1283,2.0243,35.1151,2.014,32.1546,2.0417,36.5132,2.0082,32.8947,2.0213
51.1919,1.3764,58.8816,1.1929,60.773,1.1815,58.7171,1.1972,58.7993,1.1993,51.9737,1.3358,56.9901,1.2164,59.8684,1.2064,57.8947,1.2206,61.3487,1.1829,59.0461,1.2005
48.2272,1.694,55.6743,1.6172,55.9211,1.6059,54.7697,1.6133,56.4967,1.6287,50.7401,1.6754,55.3454,1.6257,55.9211,1.6229,54.9342,1.628,58.8816,1.6079,55.8388,1.6147
46.5445,1.5796,54.2763,1.4546,51.398,1.4632,52.3849,1.4482,54.1941,1.4463,49.3421,1.5396,51.0691,1.4689,51.4803,1.4816,53.5362,1.4806,55.0164,1.4752,50.9868,1.4611
28.3454,2.0536,31.1678,2.0128,29.1118,2.0291,30.8388,2.0409,29.4408,2.0064,27.3026,2.0471,29.7697,2.0359,31.7434,2.0243,29.6053,2.0519,32.4013,2.0089,29.4408,2.0284
52.7444,1.3177,64.8026,1.0136,64.7204,1.0272,63.0757,1.064,63.2401,1.0498,54.0296,1.2704,64.5559,1.0452,63.4046,1.0462,62.3355,1.0667,65.8717,1.0193,63.7336,1.0239
35.2865,2.0271,43.6678,1.9744,39.7204,1.9935,38.4868,2.0016,40.625,2.0053,36.5954,2.0284,38.8158,2.0016,40.4605,1.9884,37.9112,2.0106,38.9803,2.01,39.9671,1.9913
52.7744,1.376,66.4474,1.1399,63.898,1.1578,66.2007,1.1289,67.7632,1.1375,53.6184,1.3363,63.4868,1.166,62.9112,1.1662,64.8026,1.1574,66.4474,1.139,65.0493,1.1303
47.1955,1.6046,59.7862,1.4428,56.9901,1.4645,56.8257,1.465,58.7171,1.4749,49.2599,1.5749,56.4145,1.454,55.1809,1.4685,56.3322,1.4646,56.9079,1.4686,57.2368,1.4552
28.6158,2.1345,32.4836,2.1052,35.1974,2.1045,32.4013,2.1117,30.7566,2.1165,29.4408,2.126,31.6612,2.1099,33.2237,2.1055,33.3882,2.1139,33.7993,2.1025,31.4967,2.1161
49.1286,1.5129,66.1184,1.2511,61.4309,1.2806,60.6908,1.2896,62.5,1.2937,50.3289,1.4871,61.8421,1.2846,61.5132,1.2911,61.7599,1.2955,63.8158,1.2698,61.7599,1.2645
