Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='dcs', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=30, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 2.3691 	 FL_acc 9.3650 	 Test images 10000
Round 002 	 FL_loss 2.5286 	 FL_acc 10.3966 	 Test images 10000
Round 003 	 FL_loss 2.1331 	 FL_acc 19.1907 	 Test images 10000
Round 004 	 FL_loss 1.8787 	 FL_acc 31.8610 	 Test images 10000
Round 005 	 FL_loss 1.7240 	 FL_acc 38.0208 	 Test images 10000
Round 006 	 FL_loss 1.6208 	 FL_acc 40.1943 	 Test images 10000
Round 007 	 FL_loss 1.5709 	 FL_acc 42.1274 	 Test images 10000
Round 008 	 FL_loss 1.4934 	 FL_acc 45.6430 	 Test images 10000
Round 009 	 FL_loss 1.4293 	 FL_acc 47.3357 	 Test images 10000
Round 010 	 FL_loss 1.5083 	 FL_acc 45.7031 	 Test images 10000
Round 011 	 FL_loss 1.4371 	 FL_acc 48.9383 	 Test images 10000
Round 012 	 FL_loss 1.3873 	 FL_acc 49.7897 	 Test images 10000
Round 013 	 FL_loss 1.4138 	 FL_acc 49.8998 	 Test images 10000
Round 014 	 FL_loss 1.4917 	 FL_acc 47.4760 	 Test images 10000
Round 015 	 FL_loss 1.3824 	 FL_acc 51.6126 	 Test images 10000
Round 016 	 FL_loss 1.4420 	 FL_acc 50.5108 	 Test images 10000
Round 017 	 FL_loss 1.4899 	 FL_acc 50.0501 	 Test images 10000
Round 018 	 FL_loss 1.4754 	 FL_acc 51.3121 	 Test images 10000
Round 019 	 FL_loss 1.4138 	 FL_acc 52.3838 	 Test images 10000
Round 020 	 FL_loss 1.4189 	 FL_acc 52.3938 	 Test images 10000
Round 021 	 FL_loss 1.5238 	 FL_acc 51.9131 	 Test images 10000
Round 022 	 FL_loss 1.4765 	 FL_acc 52.3137 	 Test images 10000
