Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='dp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.001, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 2.3426 	 LR 0.0099 	 Train images 1250 	 Round   1
Device 10 	 Train loss 2.1314 	 LR 0.0098 	 Train images 1250 	 Round   2
Device 10 	 Train loss 1.8905 	 LR 0.0097 	 Train images 1250 	 Round   3
Device 10 	 Train loss 1.7276 	 LR 0.0096 	 Train images 1250 	 Round   4
Device 10 	 Train loss 1.5705 	 LR 0.0095 	 Train images 1250 	 Round   5
Device 10 	 Train loss 1.4109 	 LR 0.0094 	 Train images 1250 	 Round   6
Device 10 	 Train loss 1.2961 	 LR 0.0093 	 Train images 1250 	 Round   7
Device 10 	 Train loss 1.1836 	 LR 0.0092 	 Train images 1250 	 Round   8
Device 10 	 Train loss 1.1427 	 LR 0.0091 	 Train images 1250 	 Round   9
Device 10 	 Train loss 1.0698 	 LR 0.0090 	 Train images 1250 	 Round  10
Device 10 	 Train loss 1.0014 	 LR 0.0090 	 Train images 1250 	 Round  11
Device 10 	 Train loss 0.8951 	 LR 0.0089 	 Train images 1250 	 Round  12
Device 10 	 Train loss 0.8736 	 LR 0.0088 	 Train images 1250 	 Round  13
Device 10 	 Train loss 0.8186 	 LR 0.0087 	 Train images 1250 	 Round  14
Device 10 	 Train loss 0.7486 	 LR 0.0086 	 Train images 1250 	 Round  15
Device 10 	 Train loss 0.5877 	 LR 0.0085 	 Train images 1250 	 Round  16
Device 10 	 Train loss 0.5191 	 LR 0.0084 	 Train images 1250 	 Round  17
Device 10 	 Train loss 0.5941 	 LR 0.0083 	 Train images 1250 	 Round  18
Device 10 	 Train loss 0.5115 	 LR 0.0083 	 Train images 1250 	 Round  19
Device 10 	 Train loss 0.4326 	 LR 0.0082 	 Train images 1250 	 Round  20
Device 10 	 Train loss 0.3262 	 LR 0.0081 	 Train images 1250 	 Round  21
Device 10 	 Train loss 0.3666 	 LR 0.0080 	 Train images 1250 	 Round  22
Device 10 	 Train loss 0.3548 	 LR 0.0079 	 Train images 1250 	 Round  23
Device 10 	 Train loss 0.2585 	 LR 0.0079 	 Train images 1250 	 Round  24
Device 10 	 Train loss 0.2448 	 LR 0.0078 	 Train images 1250 	 Round  25
Device 10 	 Train loss 0.2072 	 LR 0.0077 	 Train images 1250 	 Round  26
Device 10 	 Train loss 0.1654 	 LR 0.0076 	 Train images 1250 	 Round  27
Device 10 	 Train loss 0.1300 	 LR 0.0075 	 Train images 1250 	 Round  28
Device 10 	 Train loss 0.0862 	 LR 0.0075 	 Train images 1250 	 Round  29
Device 10 	 Train loss 0.0481 	 LR 0.0010 	 Train images 1250 	 Round  30
Device 10 	 Train loss 0.0258 	 LR 0.0010 	 Train images 1250 	 Round  31
Device 10 	 Train loss 0.0245 	 LR 0.0010 	 Train images 1250 	 Round  32
Device 10 	 Train loss 0.0270 	 LR 0.0010 	 Train images 1250 	 Round  33
Device 10 	 Train loss 0.0296 	 LR 0.0010 	 Train images 1250 	 Round  34
Device 10 	 Train loss 0.0199 	 LR 0.0010 	 Train images 1250 	 Round  35
Device 10 	 Train loss 0.0178 	 LR 0.0009 	 Train images 1250 	 Round  36
Device 10 	 Train loss 0.0202 	 LR 0.0009 	 Train images 1250 	 Round  37
Device 10 	 Train loss 0.0198 	 LR 0.0009 	 Train images 1250 	 Round  38
Device 10 	 Train loss 0.0151 	 LR 0.0009 	 Train images 1250 	 Round  39
Device 10 	 Train loss 0.0168 	 LR 0.0009 	 Train images 1250 	 Round  40
Device 10 	 Train loss 0.0176 	 LR 0.0009 	 Train images 1250 	 Round  41
Device 10 	 Train loss 0.0160 	 LR 0.0009 	 Train images 1250 	 Round  42
Device 10 	 Train loss 0.0157 	 LR 0.0009 	 Train images 1250 	 Round  43
Device 10 	 Train loss 0.0154 	 LR 0.0009 	 Train images 1250 	 Round  44
Device 10 	 Train loss 0.0149 	 LR 0.0009 	 Train images 1250 	 Round  45
Device 10 	 Train loss 0.0132 	 LR 0.0009 	 Train images 1250 	 Round  46
Device 10 	 Train loss 0.0144 	 LR 0.0008 	 Train images 1250 	 Round  47
Device 10 	 Train loss 0.0117 	 LR 0.0008 	 Train images 1250 	 Round  48
Device 10 	 Train loss 0.0143 	 LR 0.0008 	 Train images 1250 	 Round  49
Device 10 	 Train loss 0.0129 	 LR 0.0008 	 Train images 1250 	 Round  50
Defense dp on Dataset CIFAR10.
Finished computations with time: 0:10:55.348946

