Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='dp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.001, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=7, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  7 	 Train loss 2.3476 	 LR 0.0099 	 Train images 1250 	 Round   1
Device  7 	 Train loss 2.1033 	 LR 0.0098 	 Train images 1250 	 Round   2
Device  7 	 Train loss 1.9335 	 LR 0.0097 	 Train images 1250 	 Round   3
Device  7 	 Train loss 1.7362 	 LR 0.0096 	 Train images 1250 	 Round   4
Device  7 	 Train loss 1.7156 	 LR 0.0095 	 Train images 1250 	 Round   5
Device  7 	 Train loss 1.5733 	 LR 0.0094 	 Train images 1250 	 Round   6
Device  7 	 Train loss 1.5099 	 LR 0.0093 	 Train images 1250 	 Round   7
Device  7 	 Train loss 1.2838 	 LR 0.0092 	 Train images 1250 	 Round   8
Device  7 	 Train loss 1.2624 	 LR 0.0091 	 Train images 1250 	 Round   9
Device  7 	 Train loss 1.2003 	 LR 0.0090 	 Train images 1250 	 Round  10
Device  7 	 Train loss 1.1046 	 LR 0.0090 	 Train images 1250 	 Round  11
Device  7 	 Train loss 0.9849 	 LR 0.0089 	 Train images 1250 	 Round  12
Device  7 	 Train loss 0.9779 	 LR 0.0088 	 Train images 1250 	 Round  13
Device  7 	 Train loss 0.8614 	 LR 0.0087 	 Train images 1250 	 Round  14
Device  7 	 Train loss 0.7301 	 LR 0.0086 	 Train images 1250 	 Round  15
Device  7 	 Train loss 0.7816 	 LR 0.0085 	 Train images 1250 	 Round  16
Device  7 	 Train loss 0.6406 	 LR 0.0084 	 Train images 1250 	 Round  17
Device  7 	 Train loss 0.5878 	 LR 0.0083 	 Train images 1250 	 Round  18
Device  7 	 Train loss 0.5893 	 LR 0.0083 	 Train images 1250 	 Round  19
Device  7 	 Train loss 0.4467 	 LR 0.0082 	 Train images 1250 	 Round  20
Device  7 	 Train loss 0.4628 	 LR 0.0081 	 Train images 1250 	 Round  21
Device  7 	 Train loss 0.4082 	 LR 0.0080 	 Train images 1250 	 Round  22
Device  7 	 Train loss 0.3903 	 LR 0.0079 	 Train images 1250 	 Round  23
Device  7 	 Train loss 0.3371 	 LR 0.0079 	 Train images 1250 	 Round  24
Device  7 	 Train loss 0.3193 	 LR 0.0078 	 Train images 1250 	 Round  25
Device  7 	 Train loss 0.2928 	 LR 0.0077 	 Train images 1250 	 Round  26
Device  7 	 Train loss 0.2443 	 LR 0.0076 	 Train images 1250 	 Round  27
Device  7 	 Train loss 0.2304 	 LR 0.0075 	 Train images 1250 	 Round  28
Device  7 	 Train loss 0.2027 	 LR 0.0075 	 Train images 1250 	 Round  29
Device  7 	 Train loss 0.0401 	 LR 0.0010 	 Train images 1250 	 Round  30
Device  7 	 Train loss 0.0277 	 LR 0.0010 	 Train images 1250 	 Round  31
