Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='dp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 2.3531 	 FL_acc 10.3165 	 Test images 10000
Round 002 	 FL_loss 2.3277 	 FL_acc 20.5128 	 Test images 10000
Round 003 	 FL_loss 2.0775 	 FL_acc 27.7244 	 Test images 10000
Round 004 	 FL_loss 1.8631 	 FL_acc 33.7440 	 Test images 10000
Round 005 	 FL_loss 1.6178 	 FL_acc 41.7869 	 Test images 10000
Round 006 	 FL_loss 1.4723 	 FL_acc 46.6046 	 Test images 10000
Round 007 	 FL_loss 1.4540 	 FL_acc 46.7648 	 Test images 10000
Round 008 	 FL_loss 1.4413 	 FL_acc 48.4175 	 Test images 10000
Round 009 	 FL_loss 1.4308 	 FL_acc 50.0901 	 Test images 10000
Round 010 	 FL_loss 1.4323 	 FL_acc 51.0417 	 Test images 10000
Round 011 	 FL_loss 1.4073 	 FL_acc 52.3337 	 Test images 10000
Round 012 	 FL_loss 1.4415 	 FL_acc 51.7829 	 Test images 10000
Round 013 	 FL_loss 1.4491 	 FL_acc 53.2151 	 Test images 10000
Round 014 	 FL_loss 1.4638 	 FL_acc 52.9046 	 Test images 10000
Round 015 	 FL_loss 1.5153 	 FL_acc 53.0449 	 Test images 10000
Round 016 	 FL_loss 1.5094 	 FL_acc 53.4355 	 Test images 10000
Round 017 	 FL_loss 1.5064 	 FL_acc 54.1867 	 Test images 10000
Round 018 	 FL_loss 1.5721 	 FL_acc 53.6859 	 Test images 10000
Round 019 	 FL_loss 1.5944 	 FL_acc 53.6158 	 Test images 10000
Round 020 	 FL_loss 1.5792 	 FL_acc 54.4271 	 Test images 10000
Round 021 	 FL_loss 1.6433 	 FL_acc 53.9864 	 Test images 10000
Round 022 	 FL_loss 1.6220 	 FL_acc 54.7776 	 Test images 10000
Round 023 	 FL_loss 1.6568 	 FL_acc 54.8077 	 Test images 10000
Round 024 	 FL_loss 1.7011 	 FL_acc 54.5873 	 Test images 10000
Round 025 	 FL_loss 1.7314 	 FL_acc 54.6775 	 Test images 10000
Round 026 	 FL_loss 1.7968 	 FL_acc 54.3069 	 Test images 10000
Round 027 	 FL_loss 1.7900 	 FL_acc 55.2284 	 Test images 10000
Round 028 	 FL_loss 1.8029 	 FL_acc 55.1983 	 Test images 10000
Round 029 	 FL_loss 1.8456 	 FL_acc 54.7676 	 Test images 10000
Round 030 	 FL_loss 1.8451 	 FL_acc 55.1082 	 Test images 10000
Round 031 	 FL_loss 1.8476 	 FL_acc 55.2284 	 Test images 10000
Round 032 	 FL_loss 1.8511 	 FL_acc 55.1783 	 Test images 10000
Round 033 	 FL_loss 1.8538 	 FL_acc 55.1883 	 Test images 10000
Round 034 	 FL_loss 1.8602 	 FL_acc 55.2083 	 Test images 10000
Round 035 	 FL_loss 1.8646 	 FL_acc 55.1683 	 Test images 10000
Round 036 	 FL_loss 1.8712 	 FL_acc 55.2684 	 Test images 10000
Round 037 	 FL_loss 1.8753 	 FL_acc 55.1883 	 Test images 10000
Round 038 	 FL_loss 1.8781 	 FL_acc 55.2484 	 Test images 10000
Round 039 	 FL_loss 1.8846 	 FL_acc 55.2985 	 Test images 10000
Round 040 	 FL_loss 1.8902 	 FL_acc 55.3986 	 Test images 10000
Round 041 	 FL_loss 1.8921 	 FL_acc 55.3686 	 Test images 10000
Round 042 	 FL_loss 1.8946 	 FL_acc 55.3185 	 Test images 10000
Round 043 	 FL_loss 1.9010 	 FL_acc 55.3686 	 Test images 10000
Round 044 	 FL_loss 1.9046 	 FL_acc 55.3886 	 Test images 10000
Round 045 	 FL_loss 1.9089 	 FL_acc 55.3185 	 Test images 10000
Round 046 	 FL_loss 1.9122 	 FL_acc 55.4187 	 Test images 10000
Round 047 	 FL_loss 1.9141 	 FL_acc 55.4688 	 Test images 10000
Round 048 	 FL_loss 1.9185 	 FL_acc 55.4287 	 Test images 10000
