S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
10.006,2.3826,10.3618,2.385,10.8553,2.387,10.773,2.3846,9.375,2.399,9.7862,2.3919,10.6086,2.3778,10.9375,2.3682,10.1151,2.3964,9.4572,2.3607,10.9375,2.3735
12.3498,2.3055,13.3224,2.298,12.0888,2.3206,11.5954,2.3262,11.4309,2.3222,12.8289,2.3098,13.898,2.3055,13.7336,2.2915,11.3487,2.3346,12.1711,2.2836,13.2401,2.2906
29.4772,1.9971,28.8651,2.0076,28.4539,1.9957,29.2763,2.0073,30.0164,1.9907,30.0164,1.9895,30.3454,1.9882,26.5625,1.9974,29.523,1.9998,29.0296,1.9966,29.4408,1.9971
27.3938,2.0428,29.0296,2.0385,25.8224,2.0529,29.3586,2.037,29.852,2.0322,25.7401,2.0613,27.9605,2.0307,28.125,2.0504,27.2204,2.042,26.8092,2.0564,27.7961,2.0245
39.7135,1.6766,39.3914,1.6737,42.1875,1.6488,40.9539,1.6653,40.625,1.6749,41.1184,1.6711,38.3224,1.6608,40.0493,1.6735,39.8849,1.6799,43.3388,1.6494,41.6118,1.6421
22.0753,2.0476,21.1349,2.0585,22.2039,2.033,21.7928,2.0553,22.8618,2.0236,25.9046,2.0255,24.0132,2.0232,22.8618,2.063,22.3684,2.0233,24.7533,2.0032,20.7237,2.0514
39.1426,1.6695,39.6382,1.648,41.6941,1.631,41.9408,1.6529,41.0362,1.6379,39.9671,1.6636,39.8026,1.6414,39.8849,1.6567,41.3651,1.6479,41.2829,1.605,41.4474,1.621
38.2312,1.8031,39.8026,1.7553,40.7072,1.7764,37.8289,1.8069,39.8849,1.7842,37.6645,1.7965,39.8026,1.7849,37.5822,1.7808,38.7336,1.8113,40.5428,1.7622,38.4046,1.7571
46.1338,1.5255,48.7664,1.4768,49.0132,1.4668,46.9572,1.4968,49.4243,1.4618,47.7796,1.5018,48.4375,1.4732,47.4507,1.4928,48.8487,1.4789,51.727,1.4604,48.1908,1.4648
46.5144,1.4596,49.5066,1.4114,52.1382,1.3479,51.4803,1.3784,50.4934,1.4011,47.8618,1.4312,46.9572,1.4026,48.7664,1.4011,49.4243,1.3992,52.2204,1.3741,50.1645,1.3673
47.3458,1.4626,50.4112,1.3781,52.4671,1.3732,51.1513,1.3833,51.5625,1.382,48.1908,1.4421,51.1513,1.3873,50.2467,1.4046,52.8783,1.3934,52.7961,1.3783,51.8914,1.3589
44.4111,1.6457,48.7664,1.5836,50.0,1.5631,47.8618,1.5914,47.1217,1.6015,45.3947,1.6362,48.1086,1.583,47.2039,1.5856,49.3421,1.5867,48.3553,1.576,47.1217,1.5735
42.0373,1.7597,44.4079,1.7159,46.2993,1.7041,45.8882,1.7231,46.2993,1.7194,43.0099,1.7447,44.4901,1.7276,44.0789,1.7328,44.4901,1.7208,44.3257,1.7391,47.2862,1.7022
45.3025,1.6005,50.4934,1.5278,52.9605,1.4969,50.1645,1.531,51.0691,1.5448,48.0263,1.556,50.3289,1.5338,49.5888,1.534,49.2599,1.5467,49.8355,1.5422,49.8355,1.5074
44.4712,1.6641,51.8092,1.5532,49.7533,1.5951,48.602,1.6158,50.9868,1.5942,47.2039,1.6523,50.3289,1.6052,48.273,1.5975,49.2599,1.6057,52.0559,1.5674,51.9737,1.5641
42.9387,1.6852,45.6414,1.6206,48.5197,1.606,47.0395,1.6285,47.9441,1.6365,43.9145,1.6762,46.2171,1.6374,44.9013,1.6497,46.7928,1.63,49.1776,1.625,48.1908,1.5917
33.4435,1.9857,36.0197,1.9378,36.5132,1.951,35.1974,1.964,36.5954,1.9576,34.4572,1.9738,37.0888,1.9516,35.8553,1.9443,36.1842,1.9553,38.7336,1.917,37.5822,1.9399
52.3938,1.3808,59.7862,1.2236,62.0888,1.2071,59.9507,1.2194,60.6908,1.2427,52.6316,1.3567,60.0329,1.2319,60.0329,1.2363,60.3618,1.2249,61.1842,1.2161,59.7862,1.2098
49.9499,1.4458,60.1151,1.2752,58.4704,1.2823,56.0855,1.3085,58.1414,1.3055,51.5625,1.4135,58.7993,1.3133,55.9211,1.3307,57.4013,1.3168,60.2796,1.2843,58.7171,1.2873
47.1655,1.5388,55.1809,1.3944,54.852,1.398,55.5921,1.3964,54.4408,1.3951,49.5066,1.4915,54.2763,1.3985,52.3849,1.4135,55.0987,1.4119,56.4967,1.389,53.9474,1.3867
48.3273,1.5156,57.1546,1.3506,60.6908,1.3487,54.3586,1.3838,57.3191,1.3948,51.398,1.47,56.6612,1.3791,58.4704,1.3687,57.2368,1.3744,57.7303,1.37,56.4967,1.3588
