Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
1
cuda:1
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=8, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 2.3426 	 LR 0.0099 	 Train images 1250 	 Round   1
Device 10 	 Train loss 2.1178 	 LR 0.0098 	 Train images 1250 	 Round   2
Device 10 	 Train loss 1.8865 	 LR 0.0097 	 Train images 1250 	 Round   3
Device 10 	 Train loss 1.7021 	 LR 0.0096 	 Train images 1250 	 Round   4
Device 10 	 Train loss 1.5733 	 LR 0.0095 	 Train images 1250 	 Round   5
Device 10 	 Train loss 1.4085 	 LR 0.0094 	 Train images 1250 	 Round   6
Device 10 	 Train loss 1.3238 	 LR 0.0093 	 Train images 1250 	 Round   7
Device 10 	 Train loss 1.2254 	 LR 0.0092 	 Train images 1250 	 Round   8
Device 10 	 Train loss 1.1393 	 LR 0.0091 	 Train images 1250 	 Round   9
Device 10 	 Train loss 1.0951 	 LR 0.0090 	 Train images 1250 	 Round  10
Device 10 	 Train loss 0.9654 	 LR 0.0090 	 Train images 1250 	 Round  11
Device 10 	 Train loss 0.8519 	 LR 0.0089 	 Train images 1250 	 Round  12
Device 10 	 Train loss 0.8281 	 LR 0.0088 	 Train images 1250 	 Round  13
Device 10 	 Train loss 0.8217 	 LR 0.0087 	 Train images 1250 	 Round  14
Device 10 	 Train loss 0.7564 	 LR 0.0086 	 Train images 1250 	 Round  15
Device 10 	 Train loss 0.6826 	 LR 0.0085 	 Train images 1250 	 Round  16
Device 10 	 Train loss 0.5466 	 LR 0.0084 	 Train images 1250 	 Round  17
Device 10 	 Train loss 0.5875 	 LR 0.0083 	 Train images 1250 	 Round  18
Device 10 	 Train loss 0.4914 	 LR 0.0083 	 Train images 1250 	 Round  19
Device 10 	 Train loss 0.4237 	 LR 0.0082 	 Train images 1250 	 Round  20
Device 10 	 Train loss 0.4344 	 LR 0.0081 	 Train images 1250 	 Round  21
Device 10 	 Train loss 0.3968 	 LR 0.0080 	 Train images 1250 	 Round  22
Device 10 	 Train loss 0.3391 	 LR 0.0079 	 Train images 1250 	 Round  23
Device 10 	 Train loss 0.2047 	 LR 0.0079 	 Train images 1250 	 Round  24
Device 10 	 Train loss 0.2175 	 LR 0.0078 	 Train images 1250 	 Round  25
Device 10 	 Train loss 0.2093 	 LR 0.0077 	 Train images 1250 	 Round  26
Device 10 	 Train loss 0.2948 	 LR 0.0076 	 Train images 1250 	 Round  27
Device 10 	 Train loss 0.2408 	 LR 0.0075 	 Train images 1250 	 Round  28
Device 10 	 Train loss 0.1562 	 LR 0.0075 	 Train images 1250 	 Round  29
Device 10 	 Train loss 0.0489 	 LR 0.0010 	 Train images 1250 	 Round  30
Device 10 	 Train loss 0.0283 	 LR 0.0010 	 Train images 1250 	 Round  31
Device 10 	 Train loss 0.0289 	 LR 0.0010 	 Train images 1250 	 Round  32
Device 10 	 Train loss 0.0254 	 LR 0.0010 	 Train images 1250 	 Round  33
Device 10 	 Train loss 0.0246 	 LR 0.0010 	 Train images 1250 	 Round  34
Device 10 	 Train loss 0.0212 	 LR 0.0010 	 Train images 1250 	 Round  35
Device 10 	 Train loss 0.0185 	 LR 0.0009 	 Train images 1250 	 Round  36
Device 10 	 Train loss 0.0189 	 LR 0.0009 	 Train images 1250 	 Round  37
Device 10 	 Train loss 0.0197 	 LR 0.0009 	 Train images 1250 	 Round  38
