Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=2, n_data=2000, Pro_dev=5, device_id=0)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
1
cuda:0
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=2, n_data=2000, Pro_dev=5, device_id=0)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=8, DevNum=2, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  2 	 Train loss 2.3082 	 LR 0.0099 	 Train images 1563 	 Round   1
Device  2 	 Train loss 2.0407 	 LR 0.0098 	 Train images 1563 	 Round   2
Device  2 	 Train loss 1.8303 	 LR 0.0097 	 Train images 1563 	 Round   3
Device  2 	 Train loss 1.6582 	 LR 0.0096 	 Train images 1563 	 Round   4
Device  2 	 Train loss 1.6011 	 LR 0.0095 	 Train images 1563 	 Round   5
Device  2 	 Train loss 1.3630 	 LR 0.0094 	 Train images 1563 	 Round   6
Device  2 	 Train loss 1.1904 	 LR 0.0093 	 Train images 1563 	 Round   7
Device  2 	 Train loss 1.0731 	 LR 0.0092 	 Train images 1563 	 Round   8
Device  2 	 Train loss 1.0090 	 LR 0.0091 	 Train images 1563 	 Round   9
Device  2 	 Train loss 0.8416 	 LR 0.0090 	 Train images 1563 	 Round  10
Device  2 	 Train loss 0.6895 	 LR 0.0090 	 Train images 1563 	 Round  11
Device  2 	 Train loss 0.7139 	 LR 0.0089 	 Train images 1563 	 Round  12
Device  2 	 Train loss 0.5291 	 LR 0.0087 	 Train images 1563 	 Round  14
Device  2 	 Train loss 0.5784 	 LR 0.0086 	 Train images 1563 	 Round  15
Device  2 	 Train loss 0.3881 	 LR 0.0085 	 Train images 1563 	 Round  16
Device  2 	 Train loss 0.2777 	 LR 0.0084 	 Train images 1563 	 Round  17
Device  2 	 Train loss 0.3328 	 LR 0.0083 	 Train images 1563 	 Round  19
Device  2 	 Train loss 0.1956 	 LR 0.0082 	 Train images 1563 	 Round  20
Device  2 	 Train loss 0.1142 	 LR 0.0081 	 Train images 1563 	 Round  21
Device  2 	 Train loss 0.1155 	 LR 0.0079 	 Train images 1563 	 Round  23
Device  2 	 Train loss 0.0795 	 LR 0.0079 	 Train images 1563 	 Round  24
Device  2 	 Train loss 0.0540 	 LR 0.0078 	 Train images 1563 	 Round  25
Device  2 	 Train loss 0.0446 	 LR 0.0077 	 Train images 1563 	 Round  26
Device  2 	 Train loss 0.0272 	 LR 0.0076 	 Train images 1563 	 Round  27
Device  2 	 Train loss 0.0254 	 LR 0.0075 	 Train images 1563 	 Round  28
Device  2 	 Train loss 0.0247 	 LR 0.0075 	 Train images 1563 	 Round  29
Device  2 	 Train loss 0.0151 	 LR 0.0010 	 Train images 1563 	 Round  30
Device  2 	 Train loss 0.0134 	 LR 0.0010 	 Train images 1563 	 Round  32
Device  2 	 Train loss 0.0124 	 LR 0.0010 	 Train images 1563 	 Round  33
Device  2 	 Train loss 0.0106 	 LR 0.0010 	 Train images 1563 	 Round  34
Device  2 	 Train loss 0.0092 	 LR 0.0010 	 Train images 1563 	 Round  35
Device  2 	 Train loss 0.0094 	 LR 0.0009 	 Train images 1563 	 Round  36
Device  2 	 Train loss 0.0102 	 LR 0.0009 	 Train images 1563 	 Round  37
Device  2 	 Train loss 0.0078 	 LR 0.0009 	 Train images 1563 	 Round  38
Device  2 	 Train loss 0.0075 	 LR 0.0009 	 Train images 1563 	 Round  39
Device  2 	 Train loss 0.0084 	 LR 0.0009 	 Train images 1563 	 Round  41
Device  2 	 Train loss 0.0083 	 LR 0.0009 	 Train images 1563 	 Round  42
