Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=5, n_data=2000, Pro_dev=5)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  5 	 Train loss 2.4001 	 LR 0.0099 	 Train images 1250 	 Round   1
Device  5 	 Train loss 2.0837 	 LR 0.0098 	 Train images 1250 	 Round   2
Device  5 	 Train loss 1.8729 	 LR 0.0097 	 Train images 1250 	 Round   3
Device  5 	 Train loss 1.7789 	 LR 0.0096 	 Train images 1250 	 Round   4
Device  5 	 Train loss 1.6027 	 LR 0.0095 	 Train images 1250 	 Round   5
Device  5 	 Train loss 1.4103 	 LR 0.0094 	 Train images 1250 	 Round   6
Device  5 	 Train loss 1.3273 	 LR 0.0093 	 Train images 1250 	 Round   7
Device  5 	 Train loss 1.2782 	 LR 0.0092 	 Train images 1250 	 Round   8
Device  5 	 Train loss 1.0782 	 LR 0.0091 	 Train images 1250 	 Round   9
Device  5 	 Train loss 1.0361 	 LR 0.0090 	 Train images 1250 	 Round  10
Device  5 	 Train loss 0.9486 	 LR 0.0090 	 Train images 1250 	 Round  11
Device  5 	 Train loss 0.8717 	 LR 0.0089 	 Train images 1250 	 Round  12
Device  5 	 Train loss 0.9150 	 LR 0.0088 	 Train images 1250 	 Round  13
Device  5 	 Train loss 0.8038 	 LR 0.0087 	 Train images 1250 	 Round  14
Device  5 	 Train loss 0.7544 	 LR 0.0086 	 Train images 1250 	 Round  15
Device  5 	 Train loss 0.6918 	 LR 0.0085 	 Train images 1250 	 Round  16
Device  5 	 Train loss 0.5310 	 LR 0.0084 	 Train images 1250 	 Round  17
Device  5 	 Train loss 0.4872 	 LR 0.0083 	 Train images 1250 	 Round  18
Device  5 	 Train loss 0.5086 	 LR 0.0083 	 Train images 1250 	 Round  19
Device  5 	 Train loss 0.4167 	 LR 0.0082 	 Train images 1250 	 Round  20
Device  5 	 Train loss 0.3993 	 LR 0.0081 	 Train images 1250 	 Round  21
Device  5 	 Train loss 0.3467 	 LR 0.0080 	 Train images 1250 	 Round  22
Device  5 	 Train loss 0.2921 	 LR 0.0079 	 Train images 1250 	 Round  23
Device  5 	 Train loss 0.2687 	 LR 0.0079 	 Train images 1250 	 Round  24
Device  5 	 Train loss 0.2135 	 LR 0.0078 	 Train images 1250 	 Round  25
Device  5 	 Train loss 0.1752 	 LR 0.0077 	 Train images 1250 	 Round  26
