Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=9, n_data=2000, Pro_dev=5, device_id=1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
1
cuda:1
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=9, n_data=2000, Pro_dev=5, device_id=1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=8, DevNum=9, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=8, DevNum=9, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=9, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  9 	 Train loss 2.3790 	 LR 0.0099 	 Train images 1250 	 Round   1
Device  9 	 Train loss 2.1027 	 LR 0.0098 	 Train images 1250 	 Round   2
Device  9 	 Train loss 1.8805 	 LR 0.0097 	 Train images 1250 	 Round   3
Device  9 	 Train loss 1.7280 	 LR 0.0096 	 Train images 1250 	 Round   4
Device  9 	 Train loss 1.6202 	 LR 0.0095 	 Train images 1250 	 Round   5
Device  9 	 Train loss 1.4710 	 LR 0.0094 	 Train images 1250 	 Round   6
Device  9 	 Train loss 1.3315 	 LR 0.0093 	 Train images 1250 	 Round   7
Device  9 	 Train loss 1.2788 	 LR 0.0092 	 Train images 1250 	 Round   8
Device  9 	 Train loss 1.1421 	 LR 0.0091 	 Train images 1250 	 Round   9
Device  9 	 Train loss 1.0623 	 LR 0.0090 	 Train images 1250 	 Round  10
Device  9 	 Train loss 0.9820 	 LR 0.0090 	 Train images 1250 	 Round  11
Device  9 	 Train loss 0.9344 	 LR 0.0089 	 Train images 1250 	 Round  12
Device  9 	 Train loss 0.8009 	 LR 0.0088 	 Train images 1250 	 Round  13
Device  9 	 Train loss 0.7133 	 LR 0.0087 	 Train images 1250 	 Round  14
Device  9 	 Train loss 0.6938 	 LR 0.0086 	 Train images 1250 	 Round  15
Device  9 	 Train loss 0.6474 	 LR 0.0085 	 Train images 1250 	 Round  16
Device  9 	 Train loss 0.5984 	 LR 0.0084 	 Train images 1250 	 Round  17
Device  9 	 Train loss 0.5136 	 LR 0.0083 	 Train images 1250 	 Round  18
Device  9 	 Train loss 0.4497 	 LR 0.0083 	 Train images 1250 	 Round  19
Device  9 	 Train loss 0.3583 	 LR 0.0082 	 Train images 1250 	 Round  20
Device  9 	 Train loss 0.3373 	 LR 0.0081 	 Train images 1250 	 Round  21
Device  9 	 Train loss 0.3189 	 LR 0.0080 	 Train images 1250 	 Round  22
Device  9 	 Train loss 0.2809 	 LR 0.0079 	 Train images 1250 	 Round  23
Device  9 	 Train loss 0.3160 	 LR 0.0079 	 Train images 1250 	 Round  24
Device  9 	 Train loss 0.2679 	 LR 0.0078 	 Train images 1250 	 Round  25
Device  9 	 Train loss 0.2216 	 LR 0.0077 	 Train images 1250 	 Round  26
Device  9 	 Train loss 0.1989 	 LR 0.0076 	 Train images 1250 	 Round  27
Device  9 	 Train loss 0.2165 	 LR 0.0075 	 Train images 1250 	 Round  28
Device  9 	 Train loss 0.1794 	 LR 0.0075 	 Train images 1250 	 Round  29
Device  9 	 Train loss 0.0405 	 LR 0.0010 	 Train images 1250 	 Round  30
Device  9 	 Train loss 0.0278 	 LR 0.0010 	 Train images 1250 	 Round  31
Device  9 	 Train loss 0.0269 	 LR 0.0010 	 Train images 1250 	 Round  32
Device  9 	 Train loss 0.0213 	 LR 0.0010 	 Train images 1250 	 Round  33
Device  9 	 Train loss 0.0240 	 LR 0.0010 	 Train images 1250 	 Round  34
Device  9 	 Train loss 0.0230 	 LR 0.0010 	 Train images 1250 	 Round  35
Device  9 	 Train loss 0.0250 	 LR 0.0009 	 Train images 1250 	 Round  36
Device  9 	 Train loss 0.0212 	 LR 0.0009 	 Train images 1250 	 Round  37
Device  9 	 Train loss 0.0172 	 LR 0.0009 	 Train images 1250 	 Round  38
Device  9 	 Train loss 0.0172 	 LR 0.0009 	 Train images 1250 	 Round  39
Device  9 	 Train loss 0.0175 	 LR 0.0009 	 Train images 1250 	 Round  40
Device  9 	 Train loss 0.0179 	 LR 0.0009 	 Train images 1250 	 Round  41
Device  9 	 Train loss 0.0141 	 LR 0.0009 	 Train images 1250 	 Round  42
Device  9 	 Train loss 0.0150 	 LR 0.0009 	 Train images 1250 	 Round  43
Device  9 	 Train loss 0.0153 	 LR 0.0009 	 Train images 1250 	 Round  44
Device  9 	 Train loss 0.0127 	 LR 0.0009 	 Train images 1250 	 Round  45
Device  9 	 Train loss 0.0116 	 LR 0.0009 	 Train images 1250 	 Round  46
Device  9 	 Train loss 0.0105 	 LR 0.0008 	 Train images 1250 	 Round  47
