S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
11.7788,2.3836,12.4178,2.3844,11.2664,2.397,11.6776,2.3815,10.6908,2.3664,11.9243,2.3657,11.5954,2.4078,12.8289,2.3681,9.8684,2.4098,9.6217,2.3898,11.5954,2.3947
23.2572,2.1777,23.273,2.1698,23.4375,2.2017,22.4507,2.1556,23.273,2.1543,24.3421,2.1799,21.875,2.2193,23.1908,2.1466,22.1217,2.2072,21.2171,2.2007,23.0263,2.226
40.8954,1.6253,41.1184,1.6141,38.6513,1.629,40.2138,1.5913,42.5987,1.5835,41.6941,1.6379,40.3783,1.6479,40.7072,1.6009,40.7072,1.6022,38.3224,1.6194,39.1447,1.6471
46.5645,1.4468,46.9572,1.4364,48.5197,1.422,48.273,1.4058,49.6711,1.4027,49.4243,1.4351,46.7928,1.4304,48.8487,1.4079,49.5066,1.4173,47.3684,1.4104,46.3816,1.4583
49.1887,1.3837,50.3289,1.3612,50.3289,1.3514,51.398,1.3277,52.7138,1.3279,51.8914,1.3559,50.5757,1.3665,50.0822,1.3536,52.2204,1.3159,48.9309,1.3492,48.7664,1.3692
51.5525,1.3433,51.9737,1.3198,53.8651,1.2987,56.0033,1.2495,55.1809,1.2674,54.0296,1.3104,52.3026,1.3296,51.398,1.3005,54.7697,1.2677,51.5625,1.2838,53.2072,1.3302
53.4856,1.2776,54.7697,1.2423,56.5789,1.2377,58.8816,1.1893,56.9079,1.1873,57.7303,1.205,55.8388,1.259,55.0987,1.2298,58.6349,1.164,55.5099,1.1927,56.4967,1.2585
56.5304,1.2177,58.3882,1.1591,60.0329,1.146,61.0197,1.1076,60.2796,1.1219,61.5954,1.1328,58.3882,1.1591,58.9638,1.1515,62.6645,1.0751,58.7993,1.1144,58.2237,1.168
59.0845,1.1472,61.5954,1.0912,63.0757,1.0454,64.9671,1.0138,64.7204,1.0293,65.0493,1.0172,61.7599,1.0709,62.6645,1.0637,66.1184,0.9974,64.3914,1.0178,61.4309,1.0726
59.5753,1.1426,63.7336,1.032,62.9934,1.0615,66.6118,0.9897,63.4868,1.0049,65.1316,1.0039,62.1711,1.0562,64.3092,1.0482,66.6118,0.9696,63.4046,1.0102,61.6776,1.08
