Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=90, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=3, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  3 	 Train loss 0.9435 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  3 	 Train loss 0.9686 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  3 	 Train loss 0.7326 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  3 	 Train loss 0.9413 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  3 	 Train loss 0.5767 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  3 	 Train loss 0.5160 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  3 	 Train loss 0.5771 	 LR 0.0093 	 Train images 4000 	 Round   7
Device  3 	 Train loss 0.5104 	 LR 0.0092 	 Train images 4000 	 Round   8
Device  3 	 Train loss 0.5259 	 LR 0.0091 	 Train images 4000 	 Round   9
Device  3 	 Train loss 0.4946 	 LR 0.0090 	 Train images 4000 	 Round  10
Device  3 	 Train loss 0.4742 	 LR 0.0090 	 Train images 4000 	 Round  11
Device  3 	 Train loss 0.4766 	 LR 0.0089 	 Train images 4000 	 Round  12
Device  3 	 Train loss 0.4375 	 LR 0.0088 	 Train images 4000 	 Round  13
Device  3 	 Train loss 0.4729 	 LR 0.0087 	 Train images 4000 	 Round  14
