S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
12.9407,7.8147,28.1754,7.7932,38.6593,1.3081,27.0161,7.8124,0.0,11.9747,0.0,8.3482,28.7298,3.7102,12.9284,2.9513,27.1169,4.1423,27.4194,5.1613,27.2933,2.6261
12.9006,4.0456,33.8962,1.5552,0.0,4.308,34.3246,1.5466,54.3599,1.251,28.7046,2.2356,1.1845,3.4031,4.4103,3.103,0.0,3.7529,36.6179,1.5234,12.3992,1.8288
13.2812,4.2388,0.0504,2.9184,67.2883,0.7791,0.0504,2.9337,0.0,4.0716,0.0,3.8829,47.1522,2.3,21.0938,2.2981,47.4798,1.7067,0.0252,3.5846,0.0756,2.9363
12.5,5.1372,61.6179,0.7561,0.0,6.2993,61.9204,0.7479,17.4395,1.9548,0.0,3.7715,0.0,5.3472,0.0,4.8122,0.0,5.461,45.1865,1.6923,45.3629,1.891
14.9639,4.2326,0.0,5.3665,76.3105,0.7336,0.0,5.396,0.4788,3.7215,0.6552,2.6961,46.2702,1.6174,31.2752,1.7033,45.4889,1.6484,0.6048,4.1688,0.1008,4.0955
12.0693,5.1472,60.0554,0.7449,0.0,6.0622,60.1058,0.7396,13.1048,2.1497,0.0,4.0968,0.0,5.5204,0.0,4.9564,0.0,5.3873,48.6139,1.7776,48.4123,1.9415
15.8053,3.6382,0.0,4.0219,68.5988,0.9548,0.0,4.0376,2.3185,2.7655,2.3942,2.2955,47.3538,1.5139,29.7883,1.6171,47.3538,1.5269,2.5706,3.2682,8.8962,3.1654
13.5617,4.274,68.1452,0.714,0.0,4.0497,67.8427,0.7117,25.63,1.7582,0.7056,3.3582,0.0,4.0206,0.0,3.7225,0.0,3.9759,44.0524,1.5859,43.6744,1.8544
16.897,3.5784,0.0756,3.402,71.1946,0.8946,0.0252,3.4129,2.7218,2.6479,2.9486,2.3585,46.623,1.4965,35.1814,1.5882,46.2954,1.5555,2.8478,2.7799,9.7782,2.6851
14.0725,4.1999,68.2208,0.7334,0.0252,3.8344,68.5484,0.7283,25.1764,1.688,2.3942,3.101,0.1512,3.8533,0.0,3.4936,0.0504,3.7548,47.4546,1.421,45.8417,1.7218
17.9287,3.5677,0.3528,3.1572,74.4204,0.8567,0.4032,3.17,5.746,2.3958,5.5444,2.2812,45.8921,1.4907,39.7177,1.5633,44.8085,1.5349,5.3931,2.7059,8.9214,2.6805
14.363,4.2142,67.5403,0.761,0.0756,3.7494,68.5232,0.7539,25.5796,1.6911,4.2843,3.0559,0.1764,3.7147,0.0,3.3677,0.0504,3.644,50.1512,1.3572,46.5474,1.5592
18.2792,3.5416,2.3438,2.9282,75.5796,0.8325,2.2933,2.9414,8.9466,2.2039,6.7288,2.28,46.1189,1.4961,39.0373,1.6112,44.6825,1.5346,7.1825,2.6502,6.88,2.7034
15.1743,4.0434,66.4818,0.8081,0.5544,3.4887,67.6663,0.8035,28.7298,1.6153,7.8125,2.8347,0.4536,3.4292,0.0756,3.1157,0.4284,3.3765,54.0071,1.2426,46.4214,1.4154
20.1322,3.4717,8.3921,2.5865,73.5131,0.8946,8.2409,2.5973,17.1623,1.9957,9.2238,2.2494,46.497,1.4749,40.7006,1.6429,45.4385,1.533,9.9798,2.4561,11.2903,2.5204
15.8454,3.8952,65.1714,0.8841,2.2681,3.0544,66.129,0.8795,30.8468,1.6255,12.122,2.6252,2.0161,3.1222,0.2016,2.881,1.5373,3.012,59.5262,1.1655,47.379,1.3895
22.5561,3.4203,16.0282,2.3006,73.1351,0.9148,15.8518,2.3082,26.5121,1.8209,13.1048,2.1541,45.5897,1.5365,44.0272,1.6063,44.8085,1.5199,15.373,2.2697,16.129,2.3604
16.7568,3.887,67.0867,0.8578,3.2258,2.8974,68.3216,0.8511,34.7026,1.5648,13.6089,2.5706,3.3014,2.9805,0.5544,2.8031,2.7218,2.8836,60.5847,1.1494,46.8246,1.3858
23.3874,3.4526,19.38,2.1996,72.8831,0.918,18.4728,2.2039,27.2681,1.8111,13.7349,2.1797,45.7913,1.5216,45.0353,1.594,45.2369,1.5343,18.3216,2.1797,20.3881,2.247
17.5982,3.8392,67.9939,0.8638,4.3095,2.7703,68.9768,0.8604,37.7772,1.5182,15.4486,2.4604,3.9567,2.9021,1.3357,2.6869,3.3518,2.7801,62.1724,1.1123,47.0262,1.3718
24.4491,3.4913,24.5464,2.1131,72.631,0.9164,23.7147,2.1215,31.9556,1.748,15.373,2.1666,45.1109,1.5653,47.001,1.5431,44.7329,1.5324,20.6149,2.1474,23.2611,2.1778
17.8486,3.8361,67.2631,0.9023,4.6119,2.7727,68.372,0.8985,39.4405,1.5281,17.4647,2.4183,4.1583,2.8145,2.3185,2.6557,3.6794,2.7491,65.3226,1.0606,48.3115,1.3026
25.2003,3.484,25.8064,2.0894,72.631,0.9214,24.7732,2.0935,34.627,1.6751,16.5827,2.1524,45.0605,1.5449,46.6734,1.5461,44.6321,1.5575,22.379,2.1152,23.6391,2.1838
18.5797,3.777,65.877,0.9463,6.9808,2.6082,66.8095,0.9401,40.0454,1.5384,20.3629,2.3404,6.3256,2.7163,2.999,2.5848,5.8216,2.5971,67.5907,1.0222,48.4375,1.2898
25.9315,3.4738,30.2419,1.9248,70.9929,0.9353,29.9395,1.935,37.5,1.6066,17.3891,2.1372,44.2792,1.5867,43.6996,1.5786,44.6321,1.5556,25.252,2.0148,23.3871,2.1211
