Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='cp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 6.6145 	 FL_acc 10.0361 	 Test images 10000
Round 002 	 FL_loss 5.8904 	 FL_acc 10.1663 	 Test images 10000
Round 003 	 FL_loss 6.4338 	 FL_acc 10.0861 	 Test images 10000
Round 004 	 FL_loss 3.8621 	 FL_acc 11.2480 	 Test images 10000
Round 005 	 FL_loss 5.8720 	 FL_acc 10.0160 	 Test images 10000
Round 006 	 FL_loss 3.5710 	 FL_acc 14.2728 	 Test images 10000
Round 007 	 FL_loss 5.4610 	 FL_acc 10.0361 	 Test images 10000
Round 008 	 FL_loss 3.5147 	 FL_acc 15.0140 	 Test images 10000
Round 009 	 FL_loss 4.9753 	 FL_acc 10.1362 	 Test images 10000
Round 010 	 FL_loss 3.4502 	 FL_acc 16.5365 	 Test images 10000
Round 011 	 FL_loss 4.7389 	 FL_acc 10.4267 	 Test images 10000
Round 012 	 FL_loss 3.4326 	 FL_acc 16.8670 	 Test images 10000
Round 013 	 FL_loss 4.5850 	 FL_acc 10.7672 	 Test images 10000
Round 014 	 FL_loss 3.3736 	 FL_acc 20.2524 	 Test images 10000
Round 015 	 FL_loss 4.5407 	 FL_acc 11.6687 	 Test images 10000
Round 016 	 FL_loss 3.3121 	 FL_acc 22.9667 	 Test images 10000
Round 017 	 FL_loss 4.3637 	 FL_acc 12.7304 	 Test images 10000
Round 018 	 FL_loss 3.3000 	 FL_acc 24.3590 	 Test images 10000
Round 019 	 FL_loss 4.2554 	 FL_acc 13.6318 	 Test images 10000
Round 020 	 FL_loss 3.2947 	 FL_acc 25.6711 	 Test images 10000
Round 021 	 FL_loss 4.2038 	 FL_acc 15.0741 	 Test images 10000
Round 022 	 FL_loss 3.3046 	 FL_acc 26.7328 	 Test images 10000
Round 023 	 FL_loss 4.2613 	 FL_acc 16.2460 	 Test images 10000
Round 024 	 FL_loss 3.2581 	 FL_acc 27.2736 	 Test images 10000
Round 025 	 FL_loss 4.2536 	 FL_acc 16.2861 	 Test images 10000
Round 026 	 FL_loss 3.2436 	 FL_acc 27.8646 	 Test images 10000
Round 027 	 FL_loss 4.1051 	 FL_acc 17.6182 	 Test images 10000
Round 028 	 FL_loss 3.2743 	 FL_acc 28.0649 	 Test images 10000
Round 029 	 FL_loss 3.9890 	 FL_acc 18.7099 	 Test images 10000
Round 030 	 FL_loss 3.5908 	 FL_acc 25.1502 	 Test images 10000
Round 031 	 FL_loss 3.6749 	 FL_acc 25.2304 	 Test images 10000
Round 032 	 FL_loss 3.7155 	 FL_acc 25.2103 	 Test images 10000
Round 033 	 FL_loss 3.7508 	 FL_acc 25.3405 	 Test images 10000
Round 034 	 FL_loss 3.7744 	 FL_acc 25.4808 	 Test images 10000
Round 035 	 FL_loss 3.8050 	 FL_acc 25.5509 	 Test images 10000
Round 036 	 FL_loss 3.8134 	 FL_acc 25.7712 	 Test images 10000
Round 037 	 FL_loss 3.8322 	 FL_acc 25.8614 	 Test images 10000
Round 038 	 FL_loss 3.8500 	 FL_acc 25.9014 	 Test images 10000
Round 039 	 FL_loss 3.8641 	 FL_acc 25.9515 	 Test images 10000
Round 040 	 FL_loss 3.8691 	 FL_acc 26.0517 	 Test images 10000
Round 041 	 FL_loss 3.8943 	 FL_acc 25.8113 	 Test images 10000
Round 042 	 FL_loss 3.8846 	 FL_acc 26.1318 	 Test images 10000
Round 043 	 FL_loss 3.9177 	 FL_acc 25.9315 	 Test images 10000
Round 044 	 FL_loss 3.9108 	 FL_acc 26.0517 	 Test images 10000
Round 045 	 FL_loss 3.9329 	 FL_acc 26.0517 	 Test images 10000
Round 046 	 FL_loss 3.9421 	 FL_acc 25.9816 	 Test images 10000
Round 047 	 FL_loss 3.9418 	 FL_acc 26.0517 	 Test images 10000
Round 048 	 FL_loss 3.9403 	 FL_acc 26.2420 	 Test images 10000
Round 049 	 FL_loss 3.9614 	 FL_acc 26.0617 	 Test images 10000
Round 050 	 FL_loss 3.9508 	 FL_acc 26.1819 	 Test images 10000
Best FL accuracy: 28.064903259277344 on round 28
Defense Method:  cp
Finished computations with time: 0:18:02.489433

Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='cp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.001, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 7.8147 	 FL_acc 12.9407 	 Test images 10000
Round 002 	 FL_loss 4.0456 	 FL_acc 12.9006 	 Test images 10000
Round 003 	 FL_loss 4.2388 	 FL_acc 13.2812 	 Test images 10000
Round 004 	 FL_loss 5.1372 	 FL_acc 12.5000 	 Test images 10000
Round 005 	 FL_loss 4.2326 	 FL_acc 14.9639 	 Test images 10000
Round 006 	 FL_loss 5.1472 	 FL_acc 12.0693 	 Test images 10000
Round 007 	 FL_loss 3.6382 	 FL_acc 15.8053 	 Test images 10000
Round 008 	 FL_loss 4.2740 	 FL_acc 13.5617 	 Test images 10000
Round 009 	 FL_loss 3.5784 	 FL_acc 16.8970 	 Test images 10000
Round 010 	 FL_loss 4.1999 	 FL_acc 14.0725 	 Test images 10000
Round 011 	 FL_loss 3.5677 	 FL_acc 17.9287 	 Test images 10000
Round 012 	 FL_loss 4.2142 	 FL_acc 14.3630 	 Test images 10000
Round 013 	 FL_loss 3.5416 	 FL_acc 18.2792 	 Test images 10000
Round 014 	 FL_loss 4.0434 	 FL_acc 15.1743 	 Test images 10000
Round 015 	 FL_loss 3.4717 	 FL_acc 20.1322 	 Test images 10000
Round 016 	 FL_loss 3.8952 	 FL_acc 15.8454 	 Test images 10000
Round 017 	 FL_loss 3.4203 	 FL_acc 22.5561 	 Test images 10000
Round 018 	 FL_loss 3.8870 	 FL_acc 16.7568 	 Test images 10000
Round 019 	 FL_loss 3.4526 	 FL_acc 23.3874 	 Test images 10000
Round 020 	 FL_loss 3.8392 	 FL_acc 17.5982 	 Test images 10000
Round 021 	 FL_loss 3.4913 	 FL_acc 24.4491 	 Test images 10000
Round 022 	 FL_loss 3.8361 	 FL_acc 17.8486 	 Test images 10000
Round 023 	 FL_loss 3.4840 	 FL_acc 25.2003 	 Test images 10000
Round 024 	 FL_loss 3.7770 	 FL_acc 18.5797 	 Test images 10000
Round 025 	 FL_loss 3.4738 	 FL_acc 25.9315 	 Test images 10000
Round 026 	 FL_loss 3.8356 	 FL_acc 18.3393 	 Test images 10000
Round 027 	 FL_loss 3.4922 	 FL_acc 25.7312 	 Test images 10000
Round 028 	 FL_loss 3.8406 	 FL_acc 18.0990 	 Test images 10000
Round 029 	 FL_loss 3.4567 	 FL_acc 27.2336 	 Test images 10000
Round 030 	 FL_loss 3.4471 	 FL_acc 28.6959 	 Test images 10000
Round 031 	 FL_loss 3.5579 	 FL_acc 27.9547 	 Test images 10000
Round 032 	 FL_loss 3.6288 	 FL_acc 27.9848 	 Test images 10000
Round 033 	 FL_loss 3.6833 	 FL_acc 28.1951 	 Test images 10000
Round 034 	 FL_loss 3.7298 	 FL_acc 28.1550 	 Test images 10000
Round 035 	 FL_loss 3.7689 	 FL_acc 28.1450 	 Test images 10000
Round 036 	 FL_loss 3.7992 	 FL_acc 28.1851 	 Test images 10000
Round 037 	 FL_loss 3.8226 	 FL_acc 28.3554 	 Test images 10000
Round 038 	 FL_loss 3.8486 	 FL_acc 28.3954 	 Test images 10000
Round 039 	 FL_loss 3.8701 	 FL_acc 28.4155 	 Test images 10000
Round 040 	 FL_loss 3.8840 	 FL_acc 28.5657 	 Test images 10000
Round 041 	 FL_loss 3.9026 	 FL_acc 28.4856 	 Test images 10000
Round 042 	 FL_loss 3.9156 	 FL_acc 28.6659 	 Test images 10000
Round 043 	 FL_loss 3.9262 	 FL_acc 28.6859 	 Test images 10000
Round 044 	 FL_loss 3.9383 	 FL_acc 28.6659 	 Test images 10000
Round 045 	 FL_loss 3.9545 	 FL_acc 28.6358 	 Test images 10000
Round 046 	 FL_loss 3.9586 	 FL_acc 28.7159 	 Test images 10000
Round 047 	 FL_loss 3.9663 	 FL_acc 28.8161 	 Test images 10000
Round 048 	 FL_loss 3.9751 	 FL_acc 28.7059 	 Test images 10000
Round 049 	 FL_loss 3.9813 	 FL_acc 28.8361 	 Test images 10000
Round 050 	 FL_loss 3.9832 	 FL_acc 28.9062 	 Test images 10000
Best FL accuracy: 28.90625 on round 50
Defense Method:  cp
Finished computations with time: 0:17:58.668149

Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='cp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=100, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
