Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=3, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  3 	 Train loss 1.0583 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  3 	 Train loss 0.9218 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  3 	 Train loss 0.6972 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  3 	 Train loss 0.7550 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  3 	 Train loss 0.6266 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  3 	 Train loss 0.7232 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  3 	 Train loss 0.6152 	 LR 0.0093 	 Train images 4000 	 Round   7
Device  3 	 Train loss 0.7883 	 LR 0.0092 	 Train images 4000 	 Round   8
Device  3 	 Train loss 0.6287 	 LR 0.0091 	 Train images 4000 	 Round   9
Device  3 	 Train loss 0.7238 	 LR 0.0090 	 Train images 4000 	 Round  10
Device  3 	 Train loss 0.5735 	 LR 0.0090 	 Train images 4000 	 Round  11
Device  3 	 Train loss 0.6744 	 LR 0.0089 	 Train images 4000 	 Round  12
Device  3 	 Train loss 0.5411 	 LR 0.0088 	 Train images 4000 	 Round  13
Device  3 	 Train loss 0.6520 	 LR 0.0087 	 Train images 4000 	 Round  14
Device  3 	 Train loss 0.5534 	 LR 0.0086 	 Train images 4000 	 Round  15
Device  3 	 Train loss 0.6231 	 LR 0.0085 	 Train images 4000 	 Round  16
Device  3 	 Train loss 0.5325 	 LR 0.0084 	 Train images 4000 	 Round  17
Device  3 	 Train loss 0.6053 	 LR 0.0083 	 Train images 4000 	 Round  18
Device  3 	 Train loss 0.5254 	 LR 0.0083 	 Train images 4000 	 Round  19
Device  3 	 Train loss 0.5847 	 LR 0.0082 	 Train images 4000 	 Round  20
Device  3 	 Train loss 0.4955 	 LR 0.0081 	 Train images 4000 	 Round  21
Device  3 	 Train loss 0.5698 	 LR 0.0080 	 Train images 4000 	 Round  22
Device  3 	 Train loss 0.4892 	 LR 0.0079 	 Train images 4000 	 Round  23
Device  3 	 Train loss 0.5705 	 LR 0.0079 	 Train images 4000 	 Round  24
Device  3 	 Train loss 0.4773 	 LR 0.0078 	 Train images 4000 	 Round  25
Device  3 	 Train loss 0.5590 	 LR 0.0077 	 Train images 4000 	 Round  26
Device  3 	 Train loss 0.4810 	 LR 0.0076 	 Train images 4000 	 Round  27
Device  3 	 Train loss 0.5060 	 LR 0.0075 	 Train images 4000 	 Round  28
Device  3 	 Train loss 0.4584 	 LR 0.0075 	 Train images 4000 	 Round  29
Device  3 	 Train loss 0.6648 	 LR 0.0010 	 Train images 4000 	 Round  30
Device  3 	 Train loss 0.5413 	 LR 0.0010 	 Train images 4000 	 Round  31
Device  3 	 Train loss 0.5392 	 LR 0.0010 	 Train images 4000 	 Round  32
Device  3 	 Train loss 0.5337 	 LR 0.0010 	 Train images 4000 	 Round  33
Device  3 	 Train loss 0.5290 	 LR 0.0010 	 Train images 4000 	 Round  34
Device  3 	 Train loss 0.5261 	 LR 0.0010 	 Train images 4000 	 Round  35
Device  3 	 Train loss 0.5239 	 LR 0.0009 	 Train images 4000 	 Round  36
Device  3 	 Train loss 0.5128 	 LR 0.0009 	 Train images 4000 	 Round  37
Device  3 	 Train loss 0.5135 	 LR 0.0009 	 Train images 4000 	 Round  38
Device  3 	 Train loss 0.5067 	 LR 0.0009 	 Train images 4000 	 Round  39
Device  3 	 Train loss 0.5035 	 LR 0.0009 	 Train images 4000 	 Round  40
Device  3 	 Train loss 0.5029 	 LR 0.0009 	 Train images 4000 	 Round  41
Device  3 	 Train loss 0.5010 	 LR 0.0009 	 Train images 4000 	 Round  42
Device  3 	 Train loss 0.4991 	 LR 0.0009 	 Train images 4000 	 Round  43
Device  3 	 Train loss 0.4983 	 LR 0.0009 	 Train images 4000 	 Round  44
Device  3 	 Train loss 0.4891 	 LR 0.0009 	 Train images 4000 	 Round  45
Device  3 	 Train loss 0.4951 	 LR 0.0009 	 Train images 4000 	 Round  46
Device  3 	 Train loss 0.4916 	 LR 0.0008 	 Train images 4000 	 Round  47
Device  3 	 Train loss 0.4843 	 LR 0.0008 	 Train images 4000 	 Round  48
Device  3 	 Train loss 0.4843 	 LR 0.0008 	 Train images 4000 	 Round  49
Device  3 	 Train loss 0.4793 	 LR 0.0008 	 Train images 4000 	 Round  50
Defense dcs on Dataset CIFAR10.
Finished computations with time: 2:38:12.003302

