Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=9, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  9 	 Train loss 1.0096 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  9 	 Train loss 0.6695 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  9 	 Train loss 0.5529 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  9 	 Train loss 0.5581 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  9 	 Train loss 0.4456 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  9 	 Train loss 0.5400 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  9 	 Train loss 0.4360 	 LR 0.0093 	 Train images 4000 	 Round   7
Device  9 	 Train loss 0.6059 	 LR 0.0092 	 Train images 4000 	 Round   8
Device  9 	 Train loss 0.4731 	 LR 0.0091 	 Train images 4000 	 Round   9
Device  9 	 Train loss 0.5432 	 LR 0.0090 	 Train images 4000 	 Round  10
Device  9 	 Train loss 0.4505 	 LR 0.0090 	 Train images 4000 	 Round  11
Device  9 	 Train loss 0.4907 	 LR 0.0089 	 Train images 4000 	 Round  12
Device  9 	 Train loss 0.4085 	 LR 0.0088 	 Train images 4000 	 Round  13
