S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
9.6554,5.5072,41.4819,5.2141,8.6694,2.0749,41.5575,5.2218,0.0,7.8195,0.0,5.7549,0.0,3.7583,8.5938,2.2839,0.0,4.157,41.5575,3.2118,42.2379,1.8246
11.5084,3.8405,49.3448,1.771,0.0,4.396,49.5716,1.7623,56.9304,0.8824,7.6613,2.6597,0.0,2.9623,0.0,4.5467,0.0,3.3999,7.1573,2.1111,0.0,2.9874
16.877,3.2649,27.3689,2.9885,46.4214,1.4344,28.5786,2.9887,0.0,4.3232,10.9627,2.8111,38.1552,2.3882,8.997,1.8701,48.0847,1.3793,29.3095,2.7341,28.3266,1.73
14.9339,3.3159,48.3871,1.1104,0.0,3.2674,47.0514,1.11,68.372,0.9793,28.5786,2.7145,0.0,2.9359,0.0,3.1787,0.0,3.6467,35.7107,1.3067,7.7873,2.136
13.3113,3.3657,0.0,3.6442,67.4647,0.7945,0.0,3.6618,0.0,3.6455,0.0,3.1808,47.9587,1.7022,19.38,1.965,47.5302,1.6729,0.0,3.4053,0.0,3.0686
10.4768,4.5987,51.6381,0.9773,0.0,6.4105,52.0917,0.971,2.2177,2.3129,0.0,4.0814,0.0,5.9798,0.0,4.4077,0.0,5.975,50.0504,1.592,50.0504,1.4766
15.605,3.1759,0.0,3.7814,78.3266,0.8059,0.0,3.7879,0.1008,2.6132,0.1512,2.2954,44.9345,1.5535,33.4677,2.1638,43.8508,1.3091,0.0504,3.5817,0.0,3.9598
10.3165,3.9777,50.8569,0.9857,0.0,4.8166,51.1089,0.986,1.4113,2.2918,0.0,3.9734,0.0,4.6333,0.0,3.7417,0.0,4.7855,50.0504,1.6602,49.9748,1.3864
13.7821,3.0582,0.0252,3.4679,66.6079,1.0103,0.1512,3.4826,2.6462,2.3207,3.3266,2.0851,48.3115,1.3776,18.4728,2.191,49.1179,1.3496,2.3185,2.9835,0.0,3.4402
12.2997,3.5456,61.0887,0.8394,0.0,3.8259,61.1139,0.8425,13.8357,1.8227,0.2016,3.2987,0.0,4.1836,0.0,3.0533,0.0,4.0653,48.5635,1.4446,48.7399,1.4206
17.498,2.829,2.1673,3.0128,74.496,0.9902,2.369,3.0142,12.5252,2.1216,11.2399,2.0092,45.2117,1.3589,30.5444,2.0367,45.1613,1.4587,10.0554,2.4679,0.0252,2.9723
12.4099,3.4834,61.0635,0.8487,0.0,3.6724,61.2399,0.8445,14.1381,1.788,0.8065,3.0258,0.0,4.1051,0.0,3.0072,0.0,3.6954,48.6643,1.3698,48.5635,1.367
17.0272,2.8354,6.124,2.8804,71.7994,0.9929,6.0988,2.8924,17.0615,1.9058,11.0635,2.0021,46.1694,1.4451,26.4365,2.0626,46.5222,1.4814,9.9798,2.4995,0.0504,3.0483
12.6603,3.333,61.3659,0.9014,0.0,3.4493,61.3407,0.8994,14.8942,1.7597,2.4446,2.8078,0.0,3.8304,0.0,2.8091,0.0,3.4668,50.9829,1.2671,49.0171,1.2761
19.401,2.7125,11.5675,2.5807,71.3458,1.0533,11.4667,2.5885,27.0665,1.7745,16.3054,1.9098,46.0181,1.3967,27.0413,2.0748,46.1694,1.4532,14.869,2.257,1.0081,2.8282
13.5317,3.2411,63.1048,0.8874,0.0252,3.0073,63.4325,0.8846,20.8165,1.6634,6.3256,2.6917,0.0252,3.4911,0.0,2.7427,0.1008,3.1097,54.3851,1.1911,48.7651,1.3373
20.8534,2.6634,14.5161,2.4651,72.8579,1.0421,13.8861,2.4736,30.9476,1.7368,19.3044,1.8165,45.0353,1.4414,30.3427,1.9862,46.0685,1.3832,18.246,2.1901,2.2177,2.7077
14.2628,3.2792,64.5917,0.8502,0.0,3.1021,65.1462,0.8472,24.2944,1.5685,7.0312,2.6715,0.0,3.6055,0.0252,2.7757,0.0,3.2346,55.1159,1.1356,48.4627,1.3737
20.3526,2.6723,13.1804,2.5862,72.7571,1.017,13.2308,2.589,25.0,1.8341,15.247,1.8965,46.4466,1.3744,31.7792,1.8885,46.7994,1.3716,14.1633,2.3475,3.7802,2.7056
15.7953,3.1705,66.8095,0.8275,0.3024,2.9747,67.0363,0.8216,33.2409,1.4367,13.1552,2.5079,0.0504,3.5471,0.1512,2.684,0.1512,3.1394,60.2319,1.0637,47.4294,1.4112
22.1454,2.5785,17.1371,2.2819,75.8821,1.0172,17.5151,2.281,27.2429,1.7667,18.5484,1.8385,44.2036,1.4327,35.3327,1.8721,46.9254,1.3646,19.9597,2.0886,7.2329,2.4804
16.8269,3.0406,63.7349,0.9273,1.1341,2.7916,64.4657,0.9137,35.1814,1.483,19.4556,2.2951,0.9577,3.1419,0.252,2.607,0.8569,2.7943,67.7167,0.9809,48.4375,1.2965
24.399,2.5608,26.0837,2.0653,71.3962,1.089,27.0917,2.0615,41.9355,1.5338,26.1845,1.7404,42.8427,1.5222,32.7369,1.894,45.1361,1.4017,32.3085,1.8892,10.8871,2.3684
18.0389,2.924,64.7429,0.9606,4.3599,2.4318,65.625,0.9446,37.7016,1.485,20.7157,2.1777,4.6875,2.8703,0.8317,2.4209,4.2591,2.4848,68.5736,1.0021,48.5635,1.3011
26.1418,2.5356,33.3669,1.8768,69.3548,1.1197,33.4173,1.8751,50.4536,1.4197,30.6452,1.6999,40.0202,1.5963,33.0393,1.8804,43.624,1.4278,40.0706,1.766,14.5413,2.2619
18.4295,2.9243,63.9617,0.9701,5.62,2.3952,64.4909,0.9505,37.878,1.5187,21.2198,2.2097,6.3004,2.8189,1.5877,2.3934,5.6704,2.4791,68.8004,1.005,48.6139,1.2735
25.9014,2.5615,30.0403,1.9455,69.7833,1.0879,30.2923,1.9409,49.6976,1.4126,31.754,1.6695,40.1966,1.6362,32.4849,1.9219,43.498,1.4049,39.4657,1.7713,12.5252,2.355
18.0288,2.9792,63.2056,0.9758,6.6028,2.3718,64.0373,0.9567,34.1986,1.5729,18.6492,2.2301,6.754,2.9252,1.4113,2.4228,6.3004,2.4678,67.5907,1.0091,48.7903,1.3037
