Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='dcs', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.001, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 5.5072 	 FL_acc 9.6554 	 Test images 10000
Round 002 	 FL_loss 3.8405 	 FL_acc 11.5084 	 Test images 10000
Round 003 	 FL_loss 3.2649 	 FL_acc 16.8770 	 Test images 10000
Round 004 	 FL_loss 3.3159 	 FL_acc 14.9339 	 Test images 10000
Round 005 	 FL_loss 3.3657 	 FL_acc 13.3113 	 Test images 10000
Round 006 	 FL_loss 4.5987 	 FL_acc 10.4768 	 Test images 10000
Round 007 	 FL_loss 3.1759 	 FL_acc 15.6050 	 Test images 10000
Round 008 	 FL_loss 3.9777 	 FL_acc 10.3165 	 Test images 10000
Round 009 	 FL_loss 3.0582 	 FL_acc 13.7821 	 Test images 10000
Round 010 	 FL_loss 3.5456 	 FL_acc 12.2997 	 Test images 10000
Round 011 	 FL_loss 2.8290 	 FL_acc 17.4980 	 Test images 10000
Round 012 	 FL_loss 3.4834 	 FL_acc 12.4099 	 Test images 10000
Round 013 	 FL_loss 2.8354 	 FL_acc 17.0272 	 Test images 10000
Round 014 	 FL_loss 3.3330 	 FL_acc 12.6603 	 Test images 10000
Round 015 	 FL_loss 2.7125 	 FL_acc 19.4010 	 Test images 10000
Round 016 	 FL_loss 3.2411 	 FL_acc 13.5317 	 Test images 10000
Round 017 	 FL_loss 2.6634 	 FL_acc 20.8534 	 Test images 10000
Round 018 	 FL_loss 3.2792 	 FL_acc 14.2628 	 Test images 10000
Round 019 	 FL_loss 2.6723 	 FL_acc 20.3526 	 Test images 10000
Round 020 	 FL_loss 3.1705 	 FL_acc 15.7953 	 Test images 10000
Round 021 	 FL_loss 2.5785 	 FL_acc 22.1454 	 Test images 10000
