Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='dp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.001, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device 10 	 Train loss 0.7448 	 LR 0.0099 	 Train images 4000 	 Round   1
Device 10 	 Train loss 0.6441 	 LR 0.0098 	 Train images 4000 	 Round   2
Device 10 	 Train loss 0.7906 	 LR 0.0097 	 Train images 4000 	 Round   3
Device 10 	 Train loss 0.5841 	 LR 0.0096 	 Train images 4000 	 Round   4
Device 10 	 Train loss 0.6536 	 LR 0.0095 	 Train images 4000 	 Round   5
Device 10 	 Train loss 0.5025 	 LR 0.0094 	 Train images 4000 	 Round   6
Device 10 	 Train loss 0.6556 	 LR 0.0093 	 Train images 4000 	 Round   7
Device 10 	 Train loss 0.6216 	 LR 0.0092 	 Train images 4000 	 Round   8
Device 10 	 Train loss 0.8225 	 LR 0.0091 	 Train images 4000 	 Round   9
Device 10 	 Train loss 0.5749 	 LR 0.0090 	 Train images 4000 	 Round  10
Device 10 	 Train loss 0.5487 	 LR 0.0090 	 Train images 4000 	 Round  11
Device 10 	 Train loss 0.5125 	 LR 0.0089 	 Train images 4000 	 Round  12
Device 10 	 Train loss 0.4620 	 LR 0.0088 	 Train images 4000 	 Round  13
Device 10 	 Train loss 0.4845 	 LR 0.0087 	 Train images 4000 	 Round  14
Device 10 	 Train loss 0.5579 	 LR 0.0086 	 Train images 4000 	 Round  15
Device 10 	 Train loss 0.4209 	 LR 0.0085 	 Train images 4000 	 Round  16
Device 10 	 Train loss 0.4973 	 LR 0.0084 	 Train images 4000 	 Round  17
Device 10 	 Train loss 0.4299 	 LR 0.0083 	 Train images 4000 	 Round  18
Device 10 	 Train loss 0.4407 	 LR 0.0083 	 Train images 4000 	 Round  19
Device 10 	 Train loss 0.4504 	 LR 0.0082 	 Train images 4000 	 Round  20
Device 10 	 Train loss 0.4286 	 LR 0.0081 	 Train images 4000 	 Round  21
Device 10 	 Train loss 0.4513 	 LR 0.0080 	 Train images 4000 	 Round  22
Device 10 	 Train loss 0.3926 	 LR 0.0079 	 Train images 4000 	 Round  23
Device 10 	 Train loss 0.4271 	 LR 0.0079 	 Train images 4000 	 Round  24
Device 10 	 Train loss 0.3987 	 LR 0.0078 	 Train images 4000 	 Round  25
Device 10 	 Train loss 0.3772 	 LR 0.0077 	 Train images 4000 	 Round  26
Device 10 	 Train loss 0.3815 	 LR 0.0076 	 Train images 4000 	 Round  27
Device 10 	 Train loss 0.3869 	 LR 0.0075 	 Train images 4000 	 Round  28
Device 10 	 Train loss 0.3576 	 LR 0.0075 	 Train images 4000 	 Round  29
Device 10 	 Train loss 0.4149 	 LR 0.0010 	 Train images 4000 	 Round  30
Device 10 	 Train loss 0.3938 	 LR 0.0010 	 Train images 4000 	 Round  31
Device 10 	 Train loss 0.3896 	 LR 0.0010 	 Train images 4000 	 Round  32
Device 10 	 Train loss 0.3857 	 LR 0.0010 	 Train images 4000 	 Round  33
Device 10 	 Train loss 0.3832 	 LR 0.0010 	 Train images 4000 	 Round  34
Device 10 	 Train loss 0.3795 	 LR 0.0010 	 Train images 4000 	 Round  35
Device 10 	 Train loss 0.3816 	 LR 0.0009 	 Train images 4000 	 Round  36
Device 10 	 Train loss 0.3769 	 LR 0.0009 	 Train images 4000 	 Round  37
Device 10 	 Train loss 0.3739 	 LR 0.0009 	 Train images 4000 	 Round  38
Device 10 	 Train loss 0.3715 	 LR 0.0009 	 Train images 4000 	 Round  39
Device 10 	 Train loss 0.3712 	 LR 0.0009 	 Train images 4000 	 Round  40
Device 10 	 Train loss 0.3700 	 LR 0.0009 	 Train images 4000 	 Round  41
Device 10 	 Train loss 0.3708 	 LR 0.0009 	 Train images 4000 	 Round  42
Device 10 	 Train loss 0.3595 	 LR 0.0009 	 Train images 4000 	 Round  43
Device 10 	 Train loss 0.3566 	 LR 0.0009 	 Train images 4000 	 Round  44
Device 10 	 Train loss 0.3652 	 LR 0.0009 	 Train images 4000 	 Round  45
Device 10 	 Train loss 0.3606 	 LR 0.0009 	 Train images 4000 	 Round  46
Device 10 	 Train loss 0.3571 	 LR 0.0008 	 Train images 4000 	 Round  47
Device 10 	 Train loss 0.3592 	 LR 0.0008 	 Train images 4000 	 Round  48
Device 10 	 Train loss 0.3622 	 LR 0.0008 	 Train images 4000 	 Round  49
Device 10 	 Train loss 0.3535 	 LR 0.0008 	 Train images 4000 	 Round  50
Defense dp on Dataset CIFAR10.
Finished computations with time: 0:17:03.986600

Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='dp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.001, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device 10 	 Train loss 0.7525 	 LR 0.0099 	 Train images 4000 	 Round   1
Device 10 	 Train loss 0.6725 	 LR 0.0098 	 Train images 4000 	 Round   2
Device 10 	 Train loss 0.7364 	 LR 0.0097 	 Train images 4000 	 Round   3
Device 10 	 Train loss 0.5946 	 LR 0.0096 	 Train images 4000 	 Round   4
Device 10 	 Train loss 0.5936 	 LR 0.0095 	 Train images 4000 	 Round   5
Device 10 	 Train loss 0.6271 	 LR 0.0094 	 Train images 4000 	 Round   6
