S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
10.006,3.4366,0.0,5.1539,49.9244,1.5032,50.0756,1.8781,0.0,3.3746,0.0,3.3745,49.9244,2.8069,0.0,2.4449,50.0756,1.2029,0.0,2.8226,49.9244,1.2048
9.996,3.0016,0.0,3.7293,0.0,3.0591,49.9496,2.5612,49.9496,1.7647,49.9748,1.7646,0.0,3.9971,0.126,1.843,0.0,3.4117,49.9748,1.3449,0.0,3.4111
10.006,2.9389,0.0,3.4309,50.0252,1.4944,49.9748,1.9956,0.0,3.2136,0.0,3.2146,50.0252,1.8515,0.0,2.9136,49.9748,1.2393,0.0,3.387,50.0252,1.2455
10.5769,2.5793,3.2006,2.6492,0.0,2.193,50.0504,1.9211,50.4536,1.9861,50.1764,1.9908,0.0,2.7735,0.0,2.0059,0.0,2.412,50.0,1.7117,0.0,2.4162
10.5469,2.925,0.0,3.2498,49.9244,1.3175,49.9748,1.6217,0.0,3.1712,0.0,3.1359,49.8488,1.6902,0.0,2.487,53.7802,1.1886,0.0,2.7796,53.0746,1.2191
12.8205,2.6033,12.1472,2.3069,0.9073,2.2693,49.9496,1.8127,48.9667,1.9188,48.9919,1.8989,0.9577,2.9036,0.4536,2.0208,1.0333,2.4844,49.748,1.5699,1.0585,2.5108
10.4167,3.6431,0.0,4.66,50.0252,1.2197,49.9748,1.9596,0.0,3.7196,0.0,3.715,50.0252,1.6296,0.0,3.0847,52.7218,1.1358,0.0,3.7891,52.7218,1.171
10.2063,2.8095,0.0252,2.9967,0.1008,2.4897,50.0,1.9428,51.1089,1.6801,51.3105,1.6753,0.0504,3.1111,0.1764,1.9274,0.126,2.8212,50.126,1.3694,0.126,2.8381
12.1094,3.2924,0.0,3.6851,50.63,1.0168,49.9496,1.4927,0.0,3.4863,0.0,3.4551,50.0,1.5032,0.6804,2.8668,61.2651,0.8872,0.0,3.3105,60.9627,0.9201
10.5068,2.7337,0.6804,2.5399,0.8569,2.4136,50.7812,1.7169,49.7732,1.7885,49.7732,1.7654,0.6552,3.0242,1.1089,2.0938,0.9073,2.6315,51.1341,1.4009,0.7812,2.6644
12.7905,3.3488,0.0,3.4492,50.7056,1.0344,50.0,1.6063,0.0,3.3938,0.0,3.3885,50.0,1.5374,0.756,3.2418,64.6673,0.8431,0.0,3.757,63.9365,0.8779
14.6635,2.5948,11.9456,2.2781,12.6764,2.0336,61.0887,1.4003,49.9748,1.6964,50.0756,1.6886,11.2651,2.6618,0.6552,2.0704,11.9456,2.2783,50.4536,1.4038,11.0383,2.3077
19.0805,3.043,0.0252,3.514,68.9264,0.793,49.874,1.4017,0.0252,3.0019,0.0252,3.0013,49.9748,1.1875,19.128,2.3797,78.8054,0.6241,0.0504,2.9643,76.8901,0.6427
16.226,2.5418,5.0151,2.411,21.9758,1.8017,70.5645,1.1309,50.252,1.6487,50.2772,1.652,21.6734,2.4391,5.9728,1.9239,22.9839,1.857,55.6452,1.2362,22.0514,1.8828
20.5228,2.9705,0.0252,2.8395,70.0605,0.7465,49.874,1.5459,0.0252,3.2178,0.0756,3.2274,50.1512,1.1927,20.6905,2.7002,85.1562,0.5331,0.0504,3.4701,84.0978,0.5453
20.0421,2.4746,11.9204,2.2928,30.0907,1.7811,79.0575,0.9117,49.8992,1.552,49.6724,1.561,30.7712,2.1373,8.9718,2.0429,31.2752,1.6813,58.3165,1.1576,31.5272,1.6965
21.4243,3.0323,0.0252,2.9148,78.3014,0.6176,49.8488,1.589,0.0252,3.2953,0.0252,3.3103,50.126,1.1996,29.6119,2.554,79.4355,0.6102,0.0504,3.5074,77.8478,0.6312
19.6915,2.4915,11.7188,2.1957,30.2671,1.8026,79.3347,0.8841,49.874,1.5586,50.0504,1.5689,30.6452,2.09,8.2409,2.0957,32.3337,1.6573,57.9637,1.1668,31.9052,1.6861
23.4475,2.9362,0.2016,2.73,81.3508,0.5636,49.6472,1.599,0.0252,3.2167,0.0252,3.2348,50.252,1.1597,32.5857,2.3852,86.87,0.4979,0.0504,3.4035,86.5927,0.5142
20.7632,2.5576,15.5494,2.2017,29.5615,1.9985,78.5786,0.8585,50.0504,1.446,50.126,1.4606,29.9647,2.1664,9.4506,2.2853,33.1149,1.6232,58.9718,1.1352,32.8881,1.6443
22.3057,3.1194,0.2268,2.808,76.3105,0.6051,49.9244,1.6282,0.126,3.3198,0.1512,3.3436,51.1593,1.2206,26.8649,2.472,85.5595,0.4765,0.1008,3.4644,84.9798,0.4915
