Namespace(seed=42, output_dir='./logs', cnt=2, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='dp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 3.4366 	 FL_acc 10.0060 	 Test images 10000
Round 002 	 FL_loss 3.0016 	 FL_acc 9.9960 	 Test images 10000
Round 003 	 FL_loss 2.9389 	 FL_acc 10.0060 	 Test images 10000
Round 004 	 FL_loss 2.5793 	 FL_acc 10.5769 	 Test images 10000
Round 005 	 FL_loss 2.9250 	 FL_acc 10.5469 	 Test images 10000
Round 006 	 FL_loss 2.6033 	 FL_acc 12.8205 	 Test images 10000
Round 007 	 FL_loss 3.6431 	 FL_acc 10.4167 	 Test images 10000
Round 008 	 FL_loss 2.8095 	 FL_acc 10.2063 	 Test images 10000
Round 009 	 FL_loss 3.2924 	 FL_acc 12.1094 	 Test images 10000
Round 010 	 FL_loss 2.7337 	 FL_acc 10.5068 	 Test images 10000
Round 011 	 FL_loss 3.3488 	 FL_acc 12.7905 	 Test images 10000
Round 012 	 FL_loss 2.5948 	 FL_acc 14.6635 	 Test images 10000
Round 013 	 FL_loss 3.0430 	 FL_acc 19.0805 	 Test images 10000
Round 014 	 FL_loss 2.5418 	 FL_acc 16.2260 	 Test images 10000
Round 015 	 FL_loss 2.9705 	 FL_acc 20.5228 	 Test images 10000
Round 016 	 FL_loss 2.4746 	 FL_acc 20.0421 	 Test images 10000
Round 017 	 FL_loss 3.0323 	 FL_acc 21.4243 	 Test images 10000
Round 018 	 FL_loss 2.4915 	 FL_acc 19.6915 	 Test images 10000
Round 019 	 FL_loss 2.9362 	 FL_acc 23.4475 	 Test images 10000
Round 020 	 FL_loss 2.5576 	 FL_acc 20.7632 	 Test images 10000
Round 021 	 FL_loss 3.1194 	 FL_acc 22.3057 	 Test images 10000
Round 022 	 FL_loss 2.5042 	 FL_acc 19.2107 	 Test images 10000
Round 023 	 FL_loss 3.0769 	 FL_acc 22.9667 	 Test images 10000
Round 024 	 FL_loss 2.5100 	 FL_acc 23.4876 	 Test images 10000
Round 025 	 FL_loss 3.0004 	 FL_acc 24.5693 	 Test images 10000
Round 026 	 FL_loss 2.4641 	 FL_acc 24.3690 	 Test images 10000
Round 027 	 FL_loss 2.9386 	 FL_acc 25.9014 	 Test images 10000
Round 028 	 FL_loss 2.4867 	 FL_acc 25.0701 	 Test images 10000
Round 029 	 FL_loss 2.9476 	 FL_acc 27.4139 	 Test images 10000
Round 030 	 FL_loss 2.3958 	 FL_acc 38.0509 	 Test images 10000
Round 031 	 FL_loss 2.5215 	 FL_acc 39.3830 	 Test images 10000
Round 032 	 FL_loss 2.5489 	 FL_acc 40.1843 	 Test images 10000
Round 033 	 FL_loss 2.5766 	 FL_acc 40.8053 	 Test images 10000
Round 034 	 FL_loss 2.5949 	 FL_acc 40.9956 	 Test images 10000
Round 035 	 FL_loss 2.6013 	 FL_acc 41.3962 	 Test images 10000
Round 036 	 FL_loss 2.6161 	 FL_acc 41.1859 	 Test images 10000
Round 037 	 FL_loss 2.6298 	 FL_acc 41.6066 	 Test images 10000
Round 038 	 FL_loss 2.6391 	 FL_acc 41.7167 	 Test images 10000
Round 039 	 FL_loss 2.6564 	 FL_acc 41.8970 	 Test images 10000
Round 040 	 FL_loss 2.6701 	 FL_acc 42.1975 	 Test images 10000
Round 041 	 FL_loss 2.6642 	 FL_acc 42.5080 	 Test images 10000
Round 042 	 FL_loss 2.6821 	 FL_acc 42.6883 	 Test images 10000
Round 043 	 FL_loss 2.6922 	 FL_acc 42.6583 	 Test images 10000
Round 044 	 FL_loss 2.7154 	 FL_acc 42.7985 	 Test images 10000
Round 045 	 FL_loss 2.7223 	 FL_acc 42.6382 	 Test images 10000
Round 046 	 FL_loss 2.7206 	 FL_acc 42.9988 	 Test images 10000
Round 047 	 FL_loss 2.7383 	 FL_acc 43.2692 	 Test images 10000
Round 048 	 FL_loss 2.7366 	 FL_acc 42.9688 	 Test images 10000
Round 049 	 FL_loss 2.7451 	 FL_acc 43.5196 	 Test images 10000
Round 050 	 FL_loss 2.7581 	 FL_acc 43.6799 	 Test images 10000
Best FL accuracy: 43.67988967895508 on round 50
Defense Method:  dp
Finished computations with time: 0:22:49.167659

