Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=1, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=1, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=1, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  1 	 Train loss 0.8865 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  1 	 Train loss 0.8490 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  1 	 Train loss 0.7406 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  1 	 Train loss 0.7418 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  1 	 Train loss 0.5939 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  1 	 Train loss 0.6793 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  1 	 Train loss 0.5539 	 LR 0.0093 	 Train images 4000 	 Round   7
Device  1 	 Train loss 0.7000 	 LR 0.0092 	 Train images 4000 	 Round   8
Device  1 	 Train loss 0.5618 	 LR 0.0091 	 Train images 4000 	 Round   9
Device  1 	 Train loss 0.6163 	 LR 0.0090 	 Train images 4000 	 Round  10
Device  1 	 Train loss 0.5360 	 LR 0.0090 	 Train images 4000 	 Round  11
Device  1 	 Train loss 0.6571 	 LR 0.0089 	 Train images 4000 	 Round  12
Device  1 	 Train loss 0.5509 	 LR 0.0088 	 Train images 4000 	 Round  13
Device  1 	 Train loss 0.5988 	 LR 0.0087 	 Train images 4000 	 Round  14
Device  1 	 Train loss 0.5346 	 LR 0.0086 	 Train images 4000 	 Round  15
Device  1 	 Train loss 0.5852 	 LR 0.0085 	 Train images 4000 	 Round  16
Device  1 	 Train loss 0.5277 	 LR 0.0084 	 Train images 4000 	 Round  17
Device  1 	 Train loss 0.5596 	 LR 0.0083 	 Train images 4000 	 Round  18
Device  1 	 Train loss 0.5329 	 LR 0.0083 	 Train images 4000 	 Round  19
Device  1 	 Train loss 0.5460 	 LR 0.0082 	 Train images 4000 	 Round  20
Device  1 	 Train loss 0.5318 	 LR 0.0081 	 Train images 4000 	 Round  21
Device  1 	 Train loss 0.5449 	 LR 0.0080 	 Train images 4000 	 Round  22
Device  1 	 Train loss 0.5233 	 LR 0.0079 	 Train images 4000 	 Round  23
Device  1 	 Train loss 0.5616 	 LR 0.0079 	 Train images 4000 	 Round  24
Device  1 	 Train loss 0.5217 	 LR 0.0078 	 Train images 4000 	 Round  25
Device  1 	 Train loss 0.5445 	 LR 0.0077 	 Train images 4000 	 Round  26
Device  1 	 Train loss 0.4938 	 LR 0.0076 	 Train images 4000 	 Round  27
Device  1 	 Train loss 0.5305 	 LR 0.0075 	 Train images 4000 	 Round  28
Device  1 	 Train loss 0.4907 	 LR 0.0075 	 Train images 4000 	 Round  29
Device  1 	 Train loss 0.7999 	 LR 0.0010 	 Train images 4000 	 Round  30
Device  1 	 Train loss 0.7306 	 LR 0.0010 	 Train images 4000 	 Round  31
Device  1 	 Train loss 0.7219 	 LR 0.0010 	 Train images 4000 	 Round  32
Device  1 	 Train loss 0.7215 	 LR 0.0010 	 Train images 4000 	 Round  33
Device  1 	 Train loss 0.7055 	 LR 0.0010 	 Train images 4000 	 Round  34
Device  1 	 Train loss 0.7037 	 LR 0.0010 	 Train images 4000 	 Round  35
Device  1 	 Train loss 0.6971 	 LR 0.0009 	 Train images 4000 	 Round  36
Device  1 	 Train loss 0.6919 	 LR 0.0009 	 Train images 4000 	 Round  37
Device  1 	 Train loss 0.6823 	 LR 0.0009 	 Train images 4000 	 Round  38
Device  1 	 Train loss 0.6840 	 LR 0.0009 	 Train images 4000 	 Round  39
Device  1 	 Train loss 0.6734 	 LR 0.0009 	 Train images 4000 	 Round  40
Device  1 	 Train loss 0.6717 	 LR 0.0009 	 Train images 4000 	 Round  41
Device  1 	 Train loss 0.6676 	 LR 0.0009 	 Train images 4000 	 Round  42
Device  1 	 Train loss 0.6664 	 LR 0.0009 	 Train images 4000 	 Round  43
Device  1 	 Train loss 0.6672 	 LR 0.0009 	 Train images 4000 	 Round  44
Device  1 	 Train loss 0.6615 	 LR 0.0009 	 Train images 4000 	 Round  45
Device  1 	 Train loss 0.6615 	 LR 0.0009 	 Train images 4000 	 Round  46
Device  1 	 Train loss 0.6594 	 LR 0.0008 	 Train images 4000 	 Round  47
Device  1 	 Train loss 0.6598 	 LR 0.0008 	 Train images 4000 	 Round  48
Device  1 	 Train loss 0.6540 	 LR 0.0008 	 Train images 4000 	 Round  49
Device  1 	 Train loss 0.6592 	 LR 0.0008 	 Train images 4000 	 Round  50
Defense none on Dataset CIFAR10.
Finished computations with time: 0:08:39.393764

Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=1, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  1 	 Train loss 0.8180 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  1 	 Train loss 0.7921 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  1 	 Train loss 0.7151 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  1 	 Train loss 0.6266 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  1 	 Train loss 0.6292 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  1 	 Train loss 0.5900 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  1 	 Train loss 0.5892 	 LR 0.0093 	 Train images 4000 	 Round   7
Device  1 	 Train loss 0.5818 	 LR 0.0092 	 Train images 4000 	 Round   8
Device  1 	 Train loss 0.5756 	 LR 0.0091 	 Train images 4000 	 Round   9
Device  1 	 Train loss 0.6292 	 LR 0.0090 	 Train images 4000 	 Round  10
Device  1 	 Train loss 0.5371 	 LR 0.0090 	 Train images 4000 	 Round  11
Device  1 	 Train loss 0.6179 	 LR 0.0089 	 Train images 4000 	 Round  12
Device  1 	 Train loss 0.5504 	 LR 0.0088 	 Train images 4000 	 Round  13
Device  1 	 Train loss 0.5680 	 LR 0.0087 	 Train images 4000 	 Round  14
Device  1 	 Train loss 0.5588 	 LR 0.0086 	 Train images 4000 	 Round  15
Device  1 	 Train loss 0.5552 	 LR 0.0085 	 Train images 4000 	 Round  16
Device  1 	 Train loss 0.5324 	 LR 0.0084 	 Train images 4000 	 Round  17
Device  1 	 Train loss 0.5600 	 LR 0.0083 	 Train images 4000 	 Round  18
Device  1 	 Train loss 0.5271 	 LR 0.0083 	 Train images 4000 	 Round  19
Device  1 	 Train loss 0.5548 	 LR 0.0082 	 Train images 4000 	 Round  20
Device  1 	 Train loss 0.5085 	 LR 0.0081 	 Train images 4000 	 Round  21
Device  1 	 Train loss 0.5600 	 LR 0.0080 	 Train images 4000 	 Round  22
Device  1 	 Train loss 0.5031 	 LR 0.0079 	 Train images 4000 	 Round  23
Device  1 	 Train loss 0.5705 	 LR 0.0079 	 Train images 4000 	 Round  24
Device  1 	 Train loss 0.5070 	 LR 0.0078 	 Train images 4000 	 Round  25
Device  1 	 Train loss 0.5607 	 LR 0.0077 	 Train images 4000 	 Round  26
