Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=2, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=2, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  2 	 Train loss 0.9614 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  2 	 Train loss 0.5085 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  2 	 Train loss 0.8259 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  2 	 Train loss 0.4330 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  2 	 Train loss 0.5648 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  2 	 Train loss 0.5434 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  2 	 Train loss 0.5187 	 LR 0.0093 	 Train images 4000 	 Round   7
Device  2 	 Train loss 0.5605 	 LR 0.0092 	 Train images 4000 	 Round   8
Device  2 	 Train loss 0.4609 	 LR 0.0091 	 Train images 4000 	 Round   9
Device  2 	 Train loss 0.4134 	 LR 0.0090 	 Train images 4000 	 Round  10
Device  2 	 Train loss 0.4246 	 LR 0.0090 	 Train images 4000 	 Round  11
Device  2 	 Train loss 0.3785 	 LR 0.0089 	 Train images 4000 	 Round  12
Device  2 	 Train loss 0.4228 	 LR 0.0088 	 Train images 4000 	 Round  13
Device  2 	 Train loss 0.3381 	 LR 0.0087 	 Train images 4000 	 Round  14
Device  2 	 Train loss 0.3844 	 LR 0.0086 	 Train images 4000 	 Round  15
Device  2 	 Train loss 0.3215 	 LR 0.0085 	 Train images 4000 	 Round  16
Device  2 	 Train loss 0.3662 	 LR 0.0084 	 Train images 4000 	 Round  17
Device  2 	 Train loss 0.3153 	 LR 0.0083 	 Train images 4000 	 Round  18
Device  2 	 Train loss 0.3409 	 LR 0.0083 	 Train images 4000 	 Round  19
Device  2 	 Train loss 0.3170 	 LR 0.0082 	 Train images 4000 	 Round  20
Device  2 	 Train loss 0.3321 	 LR 0.0081 	 Train images 4000 	 Round  21
Device  2 	 Train loss 0.2942 	 LR 0.0080 	 Train images 4000 	 Round  22
Device  2 	 Train loss 0.3133 	 LR 0.0079 	 Train images 4000 	 Round  23
Device  2 	 Train loss 0.2933 	 LR 0.0079 	 Train images 4000 	 Round  24
Device  2 	 Train loss 0.3168 	 LR 0.0078 	 Train images 4000 	 Round  25
Device  2 	 Train loss 0.3031 	 LR 0.0077 	 Train images 4000 	 Round  26
Device  2 	 Train loss 0.2975 	 LR 0.0076 	 Train images 4000 	 Round  27
Device  2 	 Train loss 0.2875 	 LR 0.0075 	 Train images 4000 	 Round  28
Device  2 	 Train loss 0.2893 	 LR 0.0075 	 Train images 4000 	 Round  29
Device  2 	 Train loss 0.3705 	 LR 0.0010 	 Train images 4000 	 Round  30
Device  2 	 Train loss 0.3848 	 LR 0.0010 	 Train images 4000 	 Round  31
Device  2 	 Train loss 0.3856 	 LR 0.0010 	 Train images 4000 	 Round  32
Device  2 	 Train loss 0.3776 	 LR 0.0010 	 Train images 4000 	 Round  33
Device  2 	 Train loss 0.3782 	 LR 0.0010 	 Train images 4000 	 Round  34
Device  2 	 Train loss 0.3686 	 LR 0.0010 	 Train images 4000 	 Round  35
Device  2 	 Train loss 0.3669 	 LR 0.0009 	 Train images 4000 	 Round  36
Device  2 	 Train loss 0.3643 	 LR 0.0009 	 Train images 4000 	 Round  37
Device  2 	 Train loss 0.3589 	 LR 0.0009 	 Train images 4000 	 Round  38
Device  2 	 Train loss 0.3557 	 LR 0.0009 	 Train images 4000 	 Round  39
Device  2 	 Train loss 0.3581 	 LR 0.0009 	 Train images 4000 	 Round  40
Device  2 	 Train loss 0.3527 	 LR 0.0009 	 Train images 4000 	 Round  41
Device  2 	 Train loss 0.3483 	 LR 0.0009 	 Train images 4000 	 Round  42
Device  2 	 Train loss 0.3467 	 LR 0.0009 	 Train images 4000 	 Round  43
Device  2 	 Train loss 0.3426 	 LR 0.0009 	 Train images 4000 	 Round  44
Device  2 	 Train loss 0.3490 	 LR 0.0009 	 Train images 4000 	 Round  45
Device  2 	 Train loss 0.3502 	 LR 0.0009 	 Train images 4000 	 Round  46
Device  2 	 Train loss 0.3385 	 LR 0.0008 	 Train images 4000 	 Round  47
Device  2 	 Train loss 0.3410 	 LR 0.0008 	 Train images 4000 	 Round  48
Device  2 	 Train loss 0.3427 	 LR 0.0008 	 Train images 4000 	 Round  49
Device  2 	 Train loss 0.3490 	 LR 0.0008 	 Train images 4000 	 Round  50
Defense none on Dataset CIFAR10.
Finished computations with time: 0:08:34.411892

Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=2, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  2 	 Train loss 0.6987 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  2 	 Train loss 0.6637 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  2 	 Train loss 1.0184 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  2 	 Train loss 0.5847 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  2 	 Train loss 0.5631 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  2 	 Train loss 0.8261 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  2 	 Train loss 0.7799 	 LR 0.0093 	 Train images 4000 	 Round   7
Device  2 	 Train loss 0.3818 	 LR 0.0092 	 Train images 4000 	 Round   8
Device  2 	 Train loss 0.6076 	 LR 0.0091 	 Train images 4000 	 Round   9
Device  2 	 Train loss 0.3679 	 LR 0.0090 	 Train images 4000 	 Round  10
Device  2 	 Train loss 0.5712 	 LR 0.0090 	 Train images 4000 	 Round  11
Device  2 	 Train loss 0.3868 	 LR 0.0089 	 Train images 4000 	 Round  12
Device  2 	 Train loss 0.5089 	 LR 0.0088 	 Train images 4000 	 Round  13
Device  2 	 Train loss 0.3491 	 LR 0.0087 	 Train images 4000 	 Round  14
Device  2 	 Train loss 0.4233 	 LR 0.0086 	 Train images 4000 	 Round  15
Device  2 	 Train loss 0.3446 	 LR 0.0085 	 Train images 4000 	 Round  16
Device  2 	 Train loss 0.4132 	 LR 0.0084 	 Train images 4000 	 Round  17
Device  2 	 Train loss 0.3397 	 LR 0.0083 	 Train images 4000 	 Round  18
Device  2 	 Train loss 0.3338 	 LR 0.0083 	 Train images 4000 	 Round  19
Device  2 	 Train loss 0.2965 	 LR 0.0082 	 Train images 4000 	 Round  20
Device  2 	 Train loss 0.3374 	 LR 0.0081 	 Train images 4000 	 Round  21
Device  2 	 Train loss 0.2774 	 LR 0.0080 	 Train images 4000 	 Round  22
Device  2 	 Train loss 0.3601 	 LR 0.0079 	 Train images 4000 	 Round  23
Device  2 	 Train loss 0.2925 	 LR 0.0079 	 Train images 4000 	 Round  24
Device  2 	 Train loss 0.3718 	 LR 0.0078 	 Train images 4000 	 Round  25
Device  2 	 Train loss 0.2983 	 LR 0.0077 	 Train images 4000 	 Round  26
Device  2 	 Train loss 0.3246 	 LR 0.0076 	 Train images 4000 	 Round  27
Device  2 	 Train loss 0.2752 	 LR 0.0075 	 Train images 4000 	 Round  28
Device  2 	 Train loss 0.3036 	 LR 0.0075 	 Train images 4000 	 Round  29
Device  2 	 Train loss 0.2939 	 LR 0.0010 	 Train images 4000 	 Round  30
Device  2 	 Train loss 0.3382 	 LR 0.0010 	 Train images 4000 	 Round  31
Device  2 	 Train loss 0.3399 	 LR 0.0010 	 Train images 4000 	 Round  32
Device  2 	 Train loss 0.3376 	 LR 0.0010 	 Train images 4000 	 Round  33
Device  2 	 Train loss 0.3423 	 LR 0.0010 	 Train images 4000 	 Round  34
Device  2 	 Train loss 0.3316 	 LR 0.0010 	 Train images 4000 	 Round  35
Device  2 	 Train loss 0.3274 	 LR 0.0009 	 Train images 4000 	 Round  36
Device  2 	 Train loss 0.3247 	 LR 0.0009 	 Train images 4000 	 Round  37
Device  2 	 Train loss 0.3244 	 LR 0.0009 	 Train images 4000 	 Round  38
Device  2 	 Train loss 0.3220 	 LR 0.0009 	 Train images 4000 	 Round  39
Device  2 	 Train loss 0.3236 	 LR 0.0009 	 Train images 4000 	 Round  40
Device  2 	 Train loss 0.3134 	 LR 0.0009 	 Train images 4000 	 Round  41
Device  2 	 Train loss 0.3106 	 LR 0.0009 	 Train images 4000 	 Round  42
Device  2 	 Train loss 0.3065 	 LR 0.0009 	 Train images 4000 	 Round  43
Device  2 	 Train loss 0.2991 	 LR 0.0009 	 Train images 4000 	 Round  44
Device  2 	 Train loss 0.3117 	 LR 0.0009 	 Train images 4000 	 Round  45
Device  2 	 Train loss 0.3035 	 LR 0.0009 	 Train images 4000 	 Round  46
Device  2 	 Train loss 0.2935 	 LR 0.0008 	 Train images 4000 	 Round  47
Device  2 	 Train loss 0.3016 	 LR 0.0008 	 Train images 4000 	 Round  48
Device  2 	 Train loss 0.2978 	 LR 0.0008 	 Train images 4000 	 Round  49
Device  2 	 Train loss 0.3049 	 LR 0.0008 	 Train images 4000 	 Round  50
Defense none on Dataset CIFAR10.
Finished computations with time: 0:08:35.383463

Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=2, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
