Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=6, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  6 	 Train loss 0.7813 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  6 	 Train loss 0.6167 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  6 	 Train loss 0.7951 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  6 	 Train loss 0.5462 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  6 	 Train loss 0.5935 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  6 	 Train loss 0.6304 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  6 	 Train loss 0.5922 	 LR 0.0093 	 Train images 4000 	 Round   7
Device  6 	 Train loss 0.5294 	 LR 0.0092 	 Train images 4000 	 Round   8
Device  6 	 Train loss 0.5445 	 LR 0.0091 	 Train images 4000 	 Round   9
Device  6 	 Train loss 0.5001 	 LR 0.0090 	 Train images 4000 	 Round  10
Device  6 	 Train loss 0.5455 	 LR 0.0090 	 Train images 4000 	 Round  11
Device  6 	 Train loss 0.4899 	 LR 0.0089 	 Train images 4000 	 Round  12
Device  6 	 Train loss 0.5222 	 LR 0.0088 	 Train images 4000 	 Round  13
Device  6 	 Train loss 0.4597 	 LR 0.0087 	 Train images 4000 	 Round  14
Device  6 	 Train loss 0.4833 	 LR 0.0086 	 Train images 4000 	 Round  15
Device  6 	 Train loss 0.4380 	 LR 0.0085 	 Train images 4000 	 Round  16
Device  6 	 Train loss 0.4785 	 LR 0.0084 	 Train images 4000 	 Round  17
Device  6 	 Train loss 0.4172 	 LR 0.0083 	 Train images 4000 	 Round  18
Device  6 	 Train loss 0.4512 	 LR 0.0083 	 Train images 4000 	 Round  19
Device  6 	 Train loss 0.4110 	 LR 0.0082 	 Train images 4000 	 Round  20
Device  6 	 Train loss 0.4269 	 LR 0.0081 	 Train images 4000 	 Round  21
Device  6 	 Train loss 0.4191 	 LR 0.0080 	 Train images 4000 	 Round  22
Device  6 	 Train loss 0.4237 	 LR 0.0079 	 Train images 4000 	 Round  23
Device  6 	 Train loss 0.4174 	 LR 0.0079 	 Train images 4000 	 Round  24
Device  6 	 Train loss 0.4326 	 LR 0.0078 	 Train images 4000 	 Round  25
Device  6 	 Train loss 0.3901 	 LR 0.0077 	 Train images 4000 	 Round  26
Device  6 	 Train loss 0.4145 	 LR 0.0076 	 Train images 4000 	 Round  27
Device  6 	 Train loss 0.3851 	 LR 0.0075 	 Train images 4000 	 Round  28
Device  6 	 Train loss 0.4019 	 LR 0.0075 	 Train images 4000 	 Round  29
Device  6 	 Train loss 0.5139 	 LR 0.0010 	 Train images 4000 	 Round  30
Device  6 	 Train loss 0.5266 	 LR 0.0010 	 Train images 4000 	 Round  31
Device  6 	 Train loss 0.5302 	 LR 0.0010 	 Train images 4000 	 Round  32
Device  6 	 Train loss 0.5197 	 LR 0.0010 	 Train images 4000 	 Round  33
Device  6 	 Train loss 0.5223 	 LR 0.0010 	 Train images 4000 	 Round  34
Device  6 	 Train loss 0.5074 	 LR 0.0010 	 Train images 4000 	 Round  35
Device  6 	 Train loss 0.4935 	 LR 0.0009 	 Train images 4000 	 Round  36
Device  6 	 Train loss 0.4989 	 LR 0.0009 	 Train images 4000 	 Round  37
Device  6 	 Train loss 0.4961 	 LR 0.0009 	 Train images 4000 	 Round  38
Device  6 	 Train loss 0.4895 	 LR 0.0009 	 Train images 4000 	 Round  39
Device  6 	 Train loss 0.4940 	 LR 0.0009 	 Train images 4000 	 Round  40
Device  6 	 Train loss 0.4854 	 LR 0.0009 	 Train images 4000 	 Round  41
Device  6 	 Train loss 0.4875 	 LR 0.0009 	 Train images 4000 	 Round  42
Device  6 	 Train loss 0.4756 	 LR 0.0009 	 Train images 4000 	 Round  43
Device  6 	 Train loss 0.4785 	 LR 0.0009 	 Train images 4000 	 Round  44
Device  6 	 Train loss 0.4786 	 LR 0.0009 	 Train images 4000 	 Round  45
Device  6 	 Train loss 0.4888 	 LR 0.0009 	 Train images 4000 	 Round  46
Device  6 	 Train loss 0.4834 	 LR 0.0008 	 Train images 4000 	 Round  47
Device  6 	 Train loss 0.4880 	 LR 0.0008 	 Train images 4000 	 Round  48
Device  6 	 Train loss 0.4750 	 LR 0.0008 	 Train images 4000 	 Round  49
Device  6 	 Train loss 0.4781 	 LR 0.0008 	 Train images 4000 	 Round  50
Defense none on Dataset CIFAR10.
Finished computations with time: 0:08:14.421281

Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR10', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=6, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.cifar.CIFAR10'>
Device  6 	 Train loss 0.6975 	 LR 0.0099 	 Train images 4000 	 Round   1
Device  6 	 Train loss 0.6176 	 LR 0.0098 	 Train images 4000 	 Round   2
Device  6 	 Train loss 0.9437 	 LR 0.0097 	 Train images 4000 	 Round   3
Device  6 	 Train loss 0.5864 	 LR 0.0096 	 Train images 4000 	 Round   4
Device  6 	 Train loss 0.6008 	 LR 0.0095 	 Train images 4000 	 Round   5
Device  6 	 Train loss 0.6690 	 LR 0.0094 	 Train images 4000 	 Round   6
Device  6 	 Train loss 0.8685 	 LR 0.0093 	 Train images 4000 	 Round   7
