S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
10.006,3.6477,0.0,5.8671,49.9244,1.6454,50.0756,1.504,0.0,2.7359,0.0,2.7359,49.9244,3.1741,0.0,2.7272,50.0756,1.2461,0.0,2.589,49.9244,1.2481
9.986,3.5704,0.0,4.6266,0.0,4.0468,49.9496,3.2262,49.9496,1.3477,49.9496,1.348,0.0,5.3047,0.0,2.1729,0.0,4.5132,49.9496,1.3548,0.0,4.5145
10.016,3.2919,0.0,4.0489,50.0252,1.5077,49.9748,2.4587,0.0,3.8563,0.0,3.8518,50.0252,2.0558,0.0,2.8598,49.9748,1.0679,0.0,3.7999,50.0252,1.0663
10.0361,3.094,0.0,3.4767,0.0,3.2403,50.1008,2.1997,50.5544,1.2663,50.4788,1.2686,0.0,3.6634,0.0,2.416,0.0,3.7205,50.1008,1.3666,0.0,3.7308
10.8674,3.0819,0.0,3.5038,50.0252,1.1597,50.0504,2.1045,0.0,3.5626,0.0,3.5342,49.9496,1.6559,0.0252,2.2763,55.2419,1.1034,0.0,3.2119,54.8891,1.1363
10.1863,3.2511,0.0,3.2324,0.0,4.1461,49.7984,2.8411,50.1008,1.1776,50.252,1.1683,0.0,4.584,0.7308,2.6668,0.0,4.0523,50.756,1.3657,0.0,4.0612
10.0361,3.5981,0.0,3.9182,50.0252,1.3316,49.9748,2.462,0.0,4.2781,0.0,4.2873,50.0252,1.8954,0.0,2.9998,50.252,1.1858,0.0,4.0999,50.3528,1.2058
10.3566,2.9963,0.0,3.0922,0.0,3.1868,49.9748,1.9148,51.9657,1.1495,52.1925,1.1449,0.0,3.6625,0.0504,2.4767,0.0,2.938,50.0756,1.1937,0.0,2.949
12.53,3.3547,0.0,3.5286,57.6109,0.9074,49.9748,2.0508,0.0,3.904,0.0,3.904,50.0,1.4037,7.6865,2.3389,56.4516,1.0402,0.0,3.433,56.2752,1.0658
10.2464,3.0109,0.0,3.0958,0.0,3.3741,50.0756,2.0028,50.5544,1.1585,50.6552,1.1532,0.0,3.6573,0.8821,2.7024,0.0,3.0956,51.2601,1.3261,0.0,3.1094
12.8305,3.1505,0.0,3.502,56.5272,0.9456,50.126,1.6424,0.1764,3.1197,0.0756,3.1325,50.0,1.45,6.3004,2.3281,60.4083,0.9342,0.0504,2.9824,59.9294,0.9662
10.9876,3.0112,0.2016,2.9825,3.6038,3.0311,53.503,1.4964,52.3185,1.1062,52.495,1.1038,3.0746,3.2886,0.2268,2.7845,3.4526,2.6633,50.2772,1.2422,3.3014,2.6823
17.5381,2.9756,0.0252,2.9724,64.0877,0.8426,49.6976,1.7591,0.0,3.2763,0.0252,3.2739,50.5796,1.1204,14.4153,2.1086,76.2349,0.6895,0.0,2.9983,74.9496,0.7118
11.4884,2.8671,0.2016,2.8488,1.8145,2.9784,51.3861,1.7623,57.2581,1.0462,57.3589,1.0458,1.5625,3.2665,0.8317,2.5232,2.8478,2.6572,50.8317,1.2953,2.7974,2.6755
18.5497,3.1243,0.5292,3.1272,70.0353,0.7531,50.2772,1.674,0.2772,3.3857,0.1008,3.3824,50.1512,1.1761,20.2621,2.2578,72.7318,0.7072,0.1764,3.1487,71.0938,0.7389
12.9607,2.9838,1.1341,2.8987,9.2742,2.9166,58.997,1.3379,53.4526,1.121,53.6542,1.1168,9.1734,3.065,1.0585,2.871,11.3659,2.3333,50.9577,1.2858,10.3831,2.3399
21.4744,3.0304,0.2268,2.8779,72.1774,0.7079,49.8488,1.7874,0.0756,3.4354,0.0,3.4281,53.6038,1.037,23.4375,2.199,82.9385,0.5482,0.0504,3.2579,80.7208,0.5787
13.6218,2.9634,0.7812,2.977,10.2319,2.8001,59.627,1.3646,57.1825,1.0264,57.9133,1.0201,10.2319,3.0588,2.0665,2.6463,13.1804,2.3468,51.6381,1.2029,12.4496,2.3746
25.0701,2.9455,1.0333,2.7197,79.6623,0.6351,49.9244,1.7906,0.1512,3.4407,0.0756,3.4314,59.6774,0.9237,29.9395,2.0821,86.6179,0.4728,0.0504,3.2169,85.0806,0.4991
15.1342,3.0926,1.3357,3.0115,15.373,2.8752,64.4909,1.2039,60.2066,0.9344,61.1643,0.9327,15.121,3.0673,1.7641,2.8914,17.8175,2.2972,51.3357,1.2195,16.6835,2.3165
25.611,3.1126,3.251,2.6683,81.3508,0.5647,50.2016,1.8579,0.3024,3.5584,0.2268,3.5476,58.7702,0.9751,32.6865,2.0529,85.4587,0.464,0.4536,3.3178,84.1482,0.4851
15.4647,2.9407,1.0333,2.8829,7.0565,2.9283,57.3841,1.5008,62.7016,0.9179,64.1381,0.9163,7.6361,3.1451,2.7218,2.5716,16.8347,2.4222,52.2933,1.1511,14.6925,2.4527
25.9315,2.9929,4.1835,2.5566,78.2762,0.608,50.5544,1.6896,0.5796,3.3728,0.6048,3.3701,61.5927,0.9231,29.5111,2.1204,87.3236,0.4283,0.9073,3.1754,86.7188,0.4512
