Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 6.4837 	 FL_acc 10.0060 	 Test images 10000
Round 002 	 FL_loss 7.3833 	 FL_acc 9.9860 	 Test images 10000
Round 003 	 FL_loss 6.4572 	 FL_acc 10.3966 	 Test images 10000
Round 004 	 FL_loss 4.1513 	 FL_acc 9.7556 	 Test images 10000
Round 005 	 FL_loss 6.0450 	 FL_acc 10.3766 	 Test images 10000
Round 006 	 FL_loss 3.4595 	 FL_acc 13.5216 	 Test images 10000
Round 007 	 FL_loss 5.0155 	 FL_acc 10.4868 	 Test images 10000
Round 008 	 FL_loss 3.5700 	 FL_acc 13.8021 	 Test images 10000
Round 009 	 FL_loss 4.6765 	 FL_acc 10.2764 	 Test images 10000
Round 010 	 FL_loss 3.7466 	 FL_acc 12.5401 	 Test images 10000
Round 011 	 FL_loss 4.5477 	 FL_acc 10.5168 	 Test images 10000
Round 012 	 FL_loss 3.7732 	 FL_acc 11.8590 	 Test images 10000
Round 013 	 FL_loss 4.2081 	 FL_acc 11.5084 	 Test images 10000
Round 014 	 FL_loss 3.7308 	 FL_acc 14.2929 	 Test images 10000
Round 015 	 FL_loss 4.0830 	 FL_acc 12.7103 	 Test images 10000
Round 016 	 FL_loss 3.6894 	 FL_acc 15.9155 	 Test images 10000
Round 017 	 FL_loss 3.9960 	 FL_acc 13.9223 	 Test images 10000
Round 018 	 FL_loss 3.7300 	 FL_acc 17.0172 	 Test images 10000
Round 019 	 FL_loss 3.9875 	 FL_acc 15.8954 	 Test images 10000
Round 020 	 FL_loss 3.6854 	 FL_acc 18.0889 	 Test images 10000
Round 021 	 FL_loss 3.9228 	 FL_acc 17.1875 	 Test images 10000
Round 022 	 FL_loss 3.6409 	 FL_acc 19.1707 	 Test images 10000
Round 023 	 FL_loss 4.0268 	 FL_acc 17.9988 	 Test images 10000
Round 024 	 FL_loss 3.5331 	 FL_acc 21.1038 	 Test images 10000
Round 025 	 FL_loss 3.9498 	 FL_acc 18.1390 	 Test images 10000
Round 026 	 FL_loss 3.5528 	 FL_acc 21.6446 	 Test images 10000
Round 027 	 FL_loss 3.9324 	 FL_acc 19.1006 	 Test images 10000
Round 028 	 FL_loss 3.6223 	 FL_acc 21.6046 	 Test images 10000
Round 029 	 FL_loss 3.8614 	 FL_acc 20.2324 	 Test images 10000
Round 030 	 FL_loss 3.6287 	 FL_acc 25.5809 	 Test images 10000
Round 031 	 FL_loss 3.7887 	 FL_acc 24.9299 	 Test images 10000
Round 032 	 FL_loss 3.8450 	 FL_acc 25.1002 	 Test images 10000
Round 033 	 FL_loss 3.8860 	 FL_acc 25.1903 	 Test images 10000
Round 034 	 FL_loss 3.9211 	 FL_acc 25.2905 	 Test images 10000
Round 035 	 FL_loss 3.9539 	 FL_acc 25.3706 	 Test images 10000
Round 036 	 FL_loss 3.9653 	 FL_acc 25.6410 	 Test images 10000
Round 037 	 FL_loss 3.9928 	 FL_acc 25.6711 	 Test images 10000
Round 038 	 FL_loss 4.0132 	 FL_acc 25.6410 	 Test images 10000
Round 039 	 FL_loss 4.0285 	 FL_acc 25.7312 	 Test images 10000
Round 040 	 FL_loss 4.0326 	 FL_acc 25.8213 	 Test images 10000
Round 041 	 FL_loss 4.0615 	 FL_acc 25.8013 	 Test images 10000
Round 042 	 FL_loss 4.0486 	 FL_acc 26.0016 	 Test images 10000
Round 043 	 FL_loss 4.0976 	 FL_acc 25.8213 	 Test images 10000
Round 044 	 FL_loss 4.0865 	 FL_acc 25.9115 	 Test images 10000
Round 045 	 FL_loss 4.1080 	 FL_acc 25.9515 	 Test images 10000
Round 046 	 FL_loss 4.1109 	 FL_acc 26.0116 	 Test images 10000
Round 047 	 FL_loss 4.1111 	 FL_acc 26.0717 	 Test images 10000
Round 048 	 FL_loss 4.1150 	 FL_acc 26.1619 	 Test images 10000
Round 049 	 FL_loss 4.1373 	 FL_acc 26.0417 	 Test images 10000
Round 050 	 FL_loss 4.1206 	 FL_acc 26.2821 	 Test images 10000
Best FL accuracy: 26.28205108642578 on round 50
Defense Method:  none
Finished computations with time: 0:08:44.613844

Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 5.6030 	 FL_acc 9.7256 	 Test images 10000
Round 002 	 FL_loss 7.4284 	 FL_acc 9.9860 	 Test images 10000
Round 003 	 FL_loss 5.7488 	 FL_acc 10.8173 	 Test images 10000
Round 004 	 FL_loss 4.8980 	 FL_acc 10.0461 	 Test images 10000
Round 005 	 FL_loss 6.9977 	 FL_acc 10.0060 	 Test images 10000
Round 006 	 FL_loss 5.2777 	 FL_acc 9.9860 	 Test images 10000
Round 007 	 FL_loss 4.9525 	 FL_acc 9.9960 	 Test images 10000
Round 008 	 FL_loss 4.4205 	 FL_acc 9.9860 	 Test images 10000
Round 009 	 FL_loss 5.0879 	 FL_acc 10.0060 	 Test images 10000
Round 010 	 FL_loss 3.6641 	 FL_acc 10.1562 	 Test images 10000
Round 011 	 FL_loss 4.3116 	 FL_acc 10.0060 	 Test images 10000
Round 012 	 FL_loss 3.8450 	 FL_acc 9.9960 	 Test images 10000
Round 013 	 FL_loss 3.9489 	 FL_acc 10.5268 	 Test images 10000
Round 014 	 FL_loss 3.3617 	 FL_acc 10.3265 	 Test images 10000
Round 015 	 FL_loss 3.7544 	 FL_acc 10.4567 	 Test images 10000
Round 016 	 FL_loss 3.1260 	 FL_acc 11.5385 	 Test images 10000
Round 017 	 FL_loss 3.4866 	 FL_acc 11.4984 	 Test images 10000
Round 018 	 FL_loss 2.9511 	 FL_acc 15.6350 	 Test images 10000
Round 019 	 FL_loss 3.4902 	 FL_acc 12.0893 	 Test images 10000
Round 020 	 FL_loss 2.9459 	 FL_acc 16.1158 	 Test images 10000
Round 021 	 FL_loss 3.6124 	 FL_acc 13.1711 	 Test images 10000
Round 022 	 FL_loss 3.0191 	 FL_acc 15.4046 	 Test images 10000
Round 023 	 FL_loss 3.6968 	 FL_acc 12.5701 	 Test images 10000
Round 024 	 FL_loss 2.9979 	 FL_acc 15.4147 	 Test images 10000
Round 025 	 FL_loss 3.6177 	 FL_acc 13.8922 	 Test images 10000
Round 026 	 FL_loss 2.9660 	 FL_acc 16.5966 	 Test images 10000
Round 027 	 FL_loss 3.4582 	 FL_acc 15.3045 	 Test images 10000
Round 028 	 FL_loss 2.8858 	 FL_acc 17.7985 	 Test images 10000
Round 029 	 FL_loss 3.1502 	 FL_acc 20.7632 	 Test images 10000
Round 030 	 FL_loss 2.7574 	 FL_acc 25.4006 	 Test images 10000
Round 031 	 FL_loss 2.8427 	 FL_acc 25.2003 	 Test images 10000
Round 032 	 FL_loss 2.8565 	 FL_acc 25.4908 	 Test images 10000
Round 033 	 FL_loss 2.8620 	 FL_acc 25.6811 	 Test images 10000
Round 034 	 FL_loss 2.8709 	 FL_acc 25.7312 	 Test images 10000
Round 035 	 FL_loss 2.8736 	 FL_acc 25.9615 	 Test images 10000
Round 036 	 FL_loss 2.8626 	 FL_acc 26.1719 	 Test images 10000
Round 037 	 FL_loss 2.8704 	 FL_acc 26.1819 	 Test images 10000
Round 038 	 FL_loss 2.8755 	 FL_acc 26.4323 	 Test images 10000
Round 039 	 FL_loss 2.8762 	 FL_acc 26.3221 	 Test images 10000
Round 040 	 FL_loss 2.8647 	 FL_acc 26.5224 	 Test images 10000
Round 041 	 FL_loss 2.8782 	 FL_acc 26.3622 	 Test images 10000
Round 042 	 FL_loss 2.8756 	 FL_acc 26.6727 	 Test images 10000
Round 043 	 FL_loss 2.8924 	 FL_acc 26.4623 	 Test images 10000
Round 044 	 FL_loss 2.8953 	 FL_acc 26.4223 	 Test images 10000
Round 045 	 FL_loss 2.8994 	 FL_acc 26.4423 	 Test images 10000
Round 046 	 FL_loss 2.9057 	 FL_acc 26.5024 	 Test images 10000
Round 047 	 FL_loss 2.9006 	 FL_acc 26.5825 	 Test images 10000
Round 048 	 FL_loss 2.8858 	 FL_acc 26.8029 	 Test images 10000
Round 049 	 FL_loss 2.8974 	 FL_acc 26.7829 	 Test images 10000
Round 050 	 FL_loss 2.8920 	 FL_acc 26.8730 	 Test images 10000
Best FL accuracy: 26.872997283935547 on round 50
Defense Method:  none
Finished computations with time: 0:08:45.771415

Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.001, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 7.2279 	 FL_acc 12.7103 	 Test images 10000
Round 002 	 FL_loss 4.6779 	 FL_acc 10.6270 	 Test images 10000
Round 003 	 FL_loss 4.1632 	 FL_acc 16.3862 	 Test images 10000
Round 004 	 FL_loss 3.3927 	 FL_acc 17.5180 	 Test images 10000
Round 005 	 FL_loss 3.4562 	 FL_acc 19.4511 	 Test images 10000
Round 006 	 FL_loss 3.6396 	 FL_acc 18.0889 	 Test images 10000
Round 007 	 FL_loss 3.6541 	 FL_acc 19.0905 	 Test images 10000
Round 008 	 FL_loss 4.1559 	 FL_acc 15.6150 	 Test images 10000
Round 009 	 FL_loss 3.9683 	 FL_acc 17.0573 	 Test images 10000
Round 010 	 FL_loss 4.7357 	 FL_acc 13.2512 	 Test images 10000
Round 011 	 FL_loss 3.6783 	 FL_acc 19.0104 	 Test images 10000
Round 012 	 FL_loss 3.6979 	 FL_acc 16.2059 	 Test images 10000
Round 013 	 FL_loss 3.2183 	 FL_acc 22.7063 	 Test images 10000
Round 014 	 FL_loss 3.9662 	 FL_acc 17.0272 	 Test images 10000
Round 015 	 FL_loss 3.5228 	 FL_acc 22.4860 	 Test images 10000
Round 016 	 FL_loss 4.1692 	 FL_acc 16.2460 	 Test images 10000
Round 017 	 FL_loss 3.4398 	 FL_acc 23.0369 	 Test images 10000
Round 018 	 FL_loss 3.9282 	 FL_acc 18.0489 	 Test images 10000
Round 019 	 FL_loss 3.3766 	 FL_acc 23.7680 	 Test images 10000
Round 020 	 FL_loss 3.8398 	 FL_acc 19.1707 	 Test images 10000
Round 021 	 FL_loss 3.4221 	 FL_acc 24.5192 	 Test images 10000
Round 022 	 FL_loss 3.8536 	 FL_acc 19.8117 	 Test images 10000
Round 023 	 FL_loss 3.4352 	 FL_acc 24.4191 	 Test images 10000
Round 024 	 FL_loss 3.7776 	 FL_acc 20.2624 	 Test images 10000
Round 025 	 FL_loss 3.4243 	 FL_acc 25.7412 	 Test images 10000
Round 026 	 FL_loss 3.8104 	 FL_acc 20.3926 	 Test images 10000
Round 027 	 FL_loss 3.4867 	 FL_acc 25.5008 	 Test images 10000
Round 028 	 FL_loss 3.8221 	 FL_acc 20.0020 	 Test images 10000
Round 029 	 FL_loss 3.4914 	 FL_acc 26.8229 	 Test images 10000
Round 030 	 FL_loss 3.3945 	 FL_acc 30.4487 	 Test images 10000
Round 031 	 FL_loss 3.5371 	 FL_acc 29.7175 	 Test images 10000
Round 032 	 FL_loss 3.6221 	 FL_acc 29.5373 	 Test images 10000
Round 033 	 FL_loss 3.6864 	 FL_acc 29.7476 	 Test images 10000
Round 034 	 FL_loss 3.7418 	 FL_acc 29.8277 	 Test images 10000
Round 035 	 FL_loss 3.7908 	 FL_acc 29.8678 	 Test images 10000
Round 036 	 FL_loss 3.8301 	 FL_acc 29.8077 	 Test images 10000
Round 037 	 FL_loss 3.8620 	 FL_acc 29.9780 	 Test images 10000
Round 038 	 FL_loss 3.8936 	 FL_acc 30.0481 	 Test images 10000
Round 039 	 FL_loss 3.9224 	 FL_acc 30.0982 	 Test images 10000
Round 040 	 FL_loss 3.9422 	 FL_acc 30.1883 	 Test images 10000
Round 041 	 FL_loss 3.9653 	 FL_acc 30.1482 	 Test images 10000
Round 042 	 FL_loss 3.9822 	 FL_acc 30.2183 	 Test images 10000
Round 043 	 FL_loss 3.9965 	 FL_acc 30.3586 	 Test images 10000
Round 044 	 FL_loss 4.0116 	 FL_acc 30.3285 	 Test images 10000
Round 045 	 FL_loss 4.0286 	 FL_acc 30.2684 	 Test images 10000
Round 046 	 FL_loss 4.0354 	 FL_acc 30.4187 	 Test images 10000
Round 047 	 FL_loss 4.0494 	 FL_acc 30.4287 	 Test images 10000
Round 048 	 FL_loss 4.0563 	 FL_acc 30.4487 	 Test images 10000
Round 049 	 FL_loss 4.0653 	 FL_acc 30.5188 	 Test images 10000
Round 050 	 FL_loss 4.0724 	 FL_acc 30.5489 	 Test images 10000
Best FL accuracy: 30.548877716064453 on round 50
Defense Method:  none
Finished computations with time: 0:08:47.860759

Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.001, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 5.2499 	 FL_acc 9.6955 	 Test images 10000
Round 002 	 FL_loss 3.8475 	 FL_acc 10.2163 	 Test images 10000
Round 003 	 FL_loss 3.2699 	 FL_acc 12.1995 	 Test images 10000
Round 004 	 FL_loss 3.9741 	 FL_acc 11.4984 	 Test images 10000
Round 005 	 FL_loss 3.4894 	 FL_acc 12.9307 	 Test images 10000
Round 006 	 FL_loss 3.9662 	 FL_acc 13.4215 	 Test images 10000
Round 007 	 FL_loss 3.1751 	 FL_acc 18.6799 	 Test images 10000
Round 008 	 FL_loss 4.0443 	 FL_acc 12.0192 	 Test images 10000
Round 009 	 FL_loss 3.4446 	 FL_acc 14.0425 	 Test images 10000
Round 010 	 FL_loss 3.4172 	 FL_acc 14.4732 	 Test images 10000
Round 011 	 FL_loss 3.0987 	 FL_acc 20.6530 	 Test images 10000
Round 012 	 FL_loss 3.5629 	 FL_acc 13.4315 	 Test images 10000
Round 013 	 FL_loss 3.0487 	 FL_acc 21.6546 	 Test images 10000
