Namespace(seed=42, output_dir='./logs', cnt=2, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 3.3878 	 FL_acc 10.0060 	 Test images 10000
Round 002 	 FL_loss 3.5609 	 FL_acc 9.9860 	 Test images 10000
Round 003 	 FL_loss 3.0470 	 FL_acc 10.2564 	 Test images 10000
Round 004 	 FL_loss 2.9115 	 FL_acc 11.9591 	 Test images 10000
Round 005 	 FL_loss 2.9823 	 FL_acc 15.4247 	 Test images 10000
Round 006 	 FL_loss 3.0358 	 FL_acc 10.0962 	 Test images 10000
Round 007 	 FL_loss 3.4690 	 FL_acc 10.0260 	 Test images 10000
Round 008 	 FL_loss 2.7930 	 FL_acc 10.5268 	 Test images 10000
Round 009 	 FL_loss 3.2559 	 FL_acc 11.5785 	 Test images 10000
Round 010 	 FL_loss 2.8573 	 FL_acc 10.1663 	 Test images 10000
Round 011 	 FL_loss 3.1129 	 FL_acc 10.8574 	 Test images 10000
Round 012 	 FL_loss 2.8302 	 FL_acc 11.3081 	 Test images 10000
Round 013 	 FL_loss 2.9100 	 FL_acc 18.7200 	 Test images 10000
Round 014 	 FL_loss 2.8106 	 FL_acc 11.7488 	 Test images 10000
Round 015 	 FL_loss 3.1006 	 FL_acc 16.9271 	 Test images 10000
Round 016 	 FL_loss 2.7815 	 FL_acc 15.1042 	 Test images 10000
Round 017 	 FL_loss 2.9050 	 FL_acc 20.0621 	 Test images 10000
Round 018 	 FL_loss 2.8830 	 FL_acc 15.7752 	 Test images 10000
Round 019 	 FL_loss 2.8533 	 FL_acc 22.5761 	 Test images 10000
Round 020 	 FL_loss 2.9203 	 FL_acc 16.8369 	 Test images 10000
Round 021 	 FL_loss 3.0091 	 FL_acc 21.7849 	 Test images 10000
Round 022 	 FL_loss 2.8185 	 FL_acc 16.3762 	 Test images 10000
Round 023 	 FL_loss 2.8926 	 FL_acc 22.9567 	 Test images 10000
Round 024 	 FL_loss 2.6658 	 FL_acc 21.4744 	 Test images 10000
Round 025 	 FL_loss 2.9427 	 FL_acc 23.8482 	 Test images 10000
Round 026 	 FL_loss 2.7173 	 FL_acc 19.7616 	 Test images 10000
Round 027 	 FL_loss 2.8757 	 FL_acc 26.2720 	 Test images 10000
Round 028 	 FL_loss 2.8569 	 FL_acc 21.6146 	 Test images 10000
Round 029 	 FL_loss 2.7520 	 FL_acc 28.7861 	 Test images 10000
Round 030 	 FL_loss 2.3368 	 FL_acc 38.9323 	 Test images 10000
Round 031 	 FL_loss 2.5231 	 FL_acc 38.9423 	 Test images 10000
Round 032 	 FL_loss 2.5908 	 FL_acc 40.1042 	 Test images 10000
Round 033 	 FL_loss 2.6483 	 FL_acc 40.5950 	 Test images 10000
