S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
0.9315,4.614,0.4112,4.6159,1.398,4.6108,0.8224,4.6117,1.2336,4.6136,1.2336,4.6136,1.3158,4.6119,1.3158,4.6181,1.2336,4.6132,1.4803,4.6089,1.0691,4.6133
2.1334,4.5561,2.2204,4.5717,2.3026,4.5331,1.8914,4.5407,2.2204,4.545,2.4671,4.542,2.7961,4.5187,1.9737,4.5544,2.2204,4.5503,2.2204,4.5489,1.8092,4.5553
4.2768,4.3401,4.9342,4.3428,5.0164,4.2843,4.6053,4.3058,4.9342,4.3097,3.7007,4.3308,4.6875,4.2856,5.2632,4.3153,4.9342,4.2931,4.6875,4.3425,4.4408,4.3067
8.113,4.0675,8.8816,4.0369,10.2796,3.9176,10.0329,3.9583,9.1283,3.9751,7.3191,4.1043,9.0461,3.9755,9.9507,3.995,9.5395,3.9617,9.8684,3.9991,9.2105,3.9703
11.5284,3.8544,13.9803,3.7081,15.7895,3.5966,12.9934,3.6881,13.6513,3.6978,10.3618,3.9051,14.4737,3.6899,13.8158,3.6947,13.898,3.6816,14.3092,3.7302,14.3092,3.6327
13.8321,3.6943,17.7632,3.4363,20.3125,3.3389,18.1743,3.4062,18.4211,3.3862,12.4178,3.7532,18.6678,3.4187,19.6546,3.4322,17.8454,3.4034,18.9967,3.4091,17.352,3.3815
16.0156,3.6048,21.6283,3.2334,24.1776,3.1391,23.0263,3.1858,23.0263,3.2199,14.9671,3.6722,23.1908,3.2037,21.2993,3.2454,23.1908,3.2218,23.8487,3.1984,24.2599,3.1597
17.7684,3.5115,27.4671,2.987,29.1941,2.9267,28.9474,2.9452,27.8783,2.9905,16.2007,3.5743,28.0428,3.015,26.5625,3.0207,26.398,2.965,28.3717,2.9771,25.3289,2.955
18.5296,3.4836,31.25,2.7877,34.4572,2.7216,31.9079,2.8064,30.9211,2.7823,17.1875,3.5515,31.9079,2.8113,31.4967,2.8043,30.2632,2.8121,32.0724,2.8047,31.8257,2.7548
19.5413,3.4414,36.2664,2.5864,38.3224,2.541,36.102,2.6024,35.4441,2.607,17.7632,3.4932,35.4441,2.6332,35.6086,2.6491,35.1974,2.5911,35.1151,2.6081,33.5526,2.6232
20.2724,3.4039,40.3783,2.3857,43.5855,2.3141,42.1053,2.3472,41.5296,2.3882,18.5033,3.4873,40.5428,2.4148,39.227,2.4495,40.7072,2.3925,41.0362,2.3862,40.0493,2.384
21.6446,3.3765,47.2862,2.169,49.8355,2.1154,47.3684,2.1929,46.2993,2.1696,19.3257,3.4603,46.7928,2.2293,45.3947,2.2362,45.3125,2.1937,46.2171,2.1856,45.8059,2.1722
21.7248,3.366,51.2336,1.9638,52.4671,1.934,50.9868,1.998,51.1513,1.989,19.1612,3.462,49.0132,2.045,49.7533,2.0562,50.9868,2.0248,52.0559,1.9984,49.5888,1.9999
21.5445,3.387,55.5921,1.7842,57.2368,1.7687,56.0033,1.7885,55.5921,1.8069,19.9013,3.4642,53.4539,1.8583,53.7007,1.8952,55.6743,1.8217,54.852,1.8258,54.1941,1.8265
21.865,3.3999,63.6513,1.5576,62.4178,1.5747,63.2401,1.57,60.6086,1.6116,21.1349,3.506,59.4572,1.6688,58.3882,1.6997,60.9375,1.6284,61.5954,1.5853,61.1842,1.6032
21.7047,3.431,66.9408,1.4147,66.9408,1.4243,66.9408,1.4026,65.3783,1.4389,19.8191,3.5243,65.0493,1.5025,62.3355,1.5337,62.8289,1.4874,64.4737,1.475,62.9934,1.494
22.7163,3.4441,71.2171,1.2174,73.1908,1.2034,69.3257,1.2531,72.3684,1.2028,20.477,3.5366,67.5164,1.333,67.2697,1.3431,70.477,1.2698,69.0789,1.3141,69.2434,1.2703
22.3658,3.4677,78.9474,1.0106,76.5625,1.0482,75.4934,1.0766,75.4934,1.0742,20.8882,3.5498,74.5066,1.1119,73.273,1.1533,75.1645,1.1178,74.6711,1.0926,75.2467,1.0867
22.4459,3.5043,83.4704,0.8642,80.6743,0.9146,80.6743,0.9139,80.9211,0.9251,21.4638,3.5882,78.3717,0.9756,79.0296,0.9817,80.1809,0.932,79.2763,0.9644,81.0033,0.9289
22.5461,3.5441,85.9375,0.7319,84.1283,0.7885,83.1414,0.8026,83.4704,0.809,21.2993,3.6849,82.4013,0.8567,81.0855,0.864,84.0461,0.7771,82.4013,0.8234,83.6349,0.8187
22.6663,3.5505,91.1184,0.5925,89.0625,0.6355,89.227,0.6571,87.7467,0.6806,19.9013,3.6922,87.7467,0.6899,87.0066,0.6941,88.0757,0.6486,85.3618,0.7063,87.5822,0.671
22.6362,3.6104,92.6809,0.5079,90.9539,0.5381,90.625,0.5397,90.9539,0.5597,20.477,3.7806,87.7467,0.6465,88.0757,0.6129,89.5559,0.5571,89.3092,0.5767,90.0493,0.5412
22.4459,3.6282,94.9836,0.399,92.1875,0.4593,93.1743,0.4433,92.7632,0.4532,21.6283,3.7501,92.7632,0.4599,91.4474,0.4977,93.0921,0.4416,91.9408,0.4989,92.6809,0.4484
22.7364,3.647,96.3816,0.3293,94.8191,0.3421,95.2303,0.3688,95.2303,0.3607,20.8882,3.7865,95.3125,0.3986,94.2434,0.3819,96.1349,0.3473,94.3257,0.4064,94.7368,0.3673
22.8866,3.6939,97.9441,0.2508,96.3816,0.2779,96.7928,0.2878,96.2171,0.2957,21.1349,3.8555,96.4638,0.3061,95.0658,0.3175,97.3684,0.2735,95.9704,0.296,96.7105,0.279
22.6462,3.7173,99.0954,0.1963,97.7796,0.2129,97.9441,0.2201,97.4507,0.2449,21.2171,3.8672,97.5329,0.2545,96.6283,0.2527,97.9441,0.2147,97.5329,0.2474,97.2862,0.2402
22.8866,3.7362,99.2599,0.1515,98.5197,0.1706,98.8487,0.1709,97.9441,0.19,20.6414,3.9053,98.1086,0.1946,98.3553,0.1934,99.2599,0.1665,98.1908,0.1978,98.4375,0.185
22.7364,3.7602,99.5888,0.1342,99.4243,0.1267,98.6842,0.1413,98.7664,0.1401,20.8059,3.9138,98.9309,0.1578,99.4243,0.1533,99.0954,0.1311,99.0954,0.1417,99.4243,0.1369
22.7364,3.7899,99.5066,0.0971,99.3421,0.1073,99.5888,0.1078,99.4243,0.1048,20.8059,3.9818,99.4243,0.1119,99.5066,0.1046,99.7533,0.0958,99.3421,0.1179,99.7533,0.1018
22.9667,3.8214,99.7533,0.0753,99.8355,0.0808,99.7533,0.0833,99.5066,0.0838,20.477,3.9978,99.6711,0.0864,99.7533,0.0829,99.9178,0.0754,99.6711,0.0919,99.9178,0.0796
