Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR100', num_workers=2, batch_size=64, num_sen=64, defense='dcs', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=3, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  3 	 Train loss 4.8088 	 LR 0.0099 	 Train images 1250 	 Round   1
Device  3 	 Train loss 4.3946 	 LR 0.0098 	 Train images 1250 	 Round   2
Device  3 	 Train loss 4.1187 	 LR 0.0097 	 Train images 1250 	 Round   3
Device  3 	 Train loss 3.9315 	 LR 0.0096 	 Train images 1250 	 Round   4
Device  3 	 Train loss 3.7603 	 LR 0.0095 	 Train images 1250 	 Round   5
Device  3 	 Train loss 3.5973 	 LR 0.0094 	 Train images 1250 	 Round   6
Device  3 	 Train loss 3.4583 	 LR 0.0093 	 Train images 1250 	 Round   7
Device  3 	 Train loss 3.3386 	 LR 0.0092 	 Train images 1250 	 Round   8
Device  3 	 Train loss 3.1623 	 LR 0.0091 	 Train images 1250 	 Round   9
Device  3 	 Train loss 2.9958 	 LR 0.0090 	 Train images 1250 	 Round  10
Device  3 	 Train loss 2.8826 	 LR 0.0090 	 Train images 1250 	 Round  11
Device  3 	 Train loss 2.7899 	 LR 0.0089 	 Train images 1250 	 Round  12
Device  3 	 Train loss 2.7168 	 LR 0.0088 	 Train images 1250 	 Round  13
Device  3 	 Train loss 2.5458 	 LR 0.0087 	 Train images 1250 	 Round  14
Device  3 	 Train loss 2.4708 	 LR 0.0086 	 Train images 1250 	 Round  15
Device  3 	 Train loss 2.3481 	 LR 0.0085 	 Train images 1250 	 Round  16
Device  3 	 Train loss 2.2582 	 LR 0.0084 	 Train images 1250 	 Round  17
Device  3 	 Train loss 2.1878 	 LR 0.0083 	 Train images 1250 	 Round  18
Device  3 	 Train loss 2.0718 	 LR 0.0083 	 Train images 1250 	 Round  19
Device  3 	 Train loss 2.0179 	 LR 0.0082 	 Train images 1250 	 Round  20
Device  3 	 Train loss 1.9354 	 LR 0.0081 	 Train images 1250 	 Round  21
Device  3 	 Train loss 1.8073 	 LR 0.0080 	 Train images 1250 	 Round  22
