Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR100', num_workers=2, batch_size=64, num_sen=64, defense='dp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.001, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=2, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  2 	 Train loss 4.7281 	 LR 0.0099 	 Train images 1250 	 Round   1
Device  2 	 Train loss 4.4697 	 LR 0.0098 	 Train images 1250 	 Round   2
Device  2 	 Train loss 4.2261 	 LR 0.0097 	 Train images 1250 	 Round   3
Device  2 	 Train loss 3.9210 	 LR 0.0096 	 Train images 1250 	 Round   4
Device  2 	 Train loss 3.6848 	 LR 0.0095 	 Train images 1250 	 Round   5
Device  2 	 Train loss 3.4724 	 LR 0.0094 	 Train images 1250 	 Round   6
Device  2 	 Train loss 3.3060 	 LR 0.0093 	 Train images 1250 	 Round   7
Device  2 	 Train loss 3.0831 	 LR 0.0092 	 Train images 1250 	 Round   8
Device  2 	 Train loss 2.9017 	 LR 0.0091 	 Train images 1250 	 Round   9
Device  2 	 Train loss 2.7059 	 LR 0.0090 	 Train images 1250 	 Round  10
Device  2 	 Train loss 2.4884 	 LR 0.0090 	 Train images 1250 	 Round  11
Device  2 	 Train loss 2.2791 	 LR 0.0089 	 Train images 1250 	 Round  12
Device  2 	 Train loss 2.1033 	 LR 0.0088 	 Train images 1250 	 Round  13
Device  2 	 Train loss 1.9331 	 LR 0.0087 	 Train images 1250 	 Round  14
Device  2 	 Train loss 1.8302 	 LR 0.0086 	 Train images 1250 	 Round  15
Device  2 	 Train loss 1.6594 	 LR 0.0085 	 Train images 1250 	 Round  16
Device  2 	 Train loss 1.4499 	 LR 0.0084 	 Train images 1250 	 Round  17
Device  2 	 Train loss 1.3184 	 LR 0.0083 	 Train images 1250 	 Round  18
Device  2 	 Train loss 1.1815 	 LR 0.0083 	 Train images 1250 	 Round  19
Device  2 	 Train loss 1.0290 	 LR 0.0082 	 Train images 1250 	 Round  20
Device  2 	 Train loss 0.8647 	 LR 0.0081 	 Train images 1250 	 Round  21
Device  2 	 Train loss 0.7993 	 LR 0.0080 	 Train images 1250 	 Round  22
Device  2 	 Train loss 0.6363 	 LR 0.0079 	 Train images 1250 	 Round  23
Device  2 	 Train loss 0.5578 	 LR 0.0079 	 Train images 1250 	 Round  24
Device  2 	 Train loss 0.5216 	 LR 0.0078 	 Train images 1250 	 Round  25
