S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
1.0016,4.6911,0.9868,4.6725,0.4112,4.6784,0.7401,4.6934,0.9046,4.7055,1.0691,4.6998,0.9868,4.6801,0.9868,4.6969,1.0691,4.7005,1.2336,4.6787,0.9868,4.6875
0.8914,4.9594,0.7401,4.9385,1.0691,4.9394,1.1513,4.9311,0.8224,4.9936,0.7401,4.9933,0.5757,4.9315,0.4934,5.0072,1.1513,4.9866,0.9868,4.9636,0.9046,4.9501
2.2236,4.6331,2.3026,4.5947,2.3026,4.5811,2.3026,4.6249,2.6316,4.622,1.6447,4.6369,1.398,4.6045,1.9737,4.6569,1.8914,4.6104,2.2204,4.5881,1.8914,4.5954
5.8894,4.3368,7.2368,4.1406,7.977,4.1513,6.4145,4.2259,6.5789,4.2095,5.8388,4.3358,7.4013,4.1836,6.4967,4.2208,6.3322,4.218,6.9079,4.1754,8.2237,4.1532
11.4683,4.1043,17.1875,3.5939,16.8586,3.633,14.9671,3.7316,13.6513,3.6282,12.0888,4.0595,14.8026,3.6488,15.2138,3.6902,15.7895,3.6595,14.3914,3.6701,16.5296,3.5938
14.5633,4.143,22.0395,3.2874,24.2599,3.3118,23.273,3.2778,21.0526,3.2845,14.227,4.1097,22.1217,3.3156,20.9704,3.3463,20.9704,3.3049,21.3816,3.319,22.7796,3.2776
17.7484,4.0367,32.8125,2.7235,32.4013,2.7935,32.5658,2.7286,31.9079,2.7092,17.9276,4.048,30.7566,2.7379,30.4276,2.7662,31.1678,2.7225,30.6743,2.7421,31.0855,2.739
19.6014,4.0318,37.8289,2.3652,37.7467,2.4042,39.3914,2.3101,39.4737,2.2811,19.6546,4.0398,38.2401,2.3305,38.0757,2.3549,39.4737,2.2759,39.0625,2.3237,37.3355,2.3302
20.5629,4.0312,45.477,2.0248,44.6546,2.0527,47.8618,1.915,48.273,1.8737,20.8882,4.0222,46.7928,1.9404,47.6151,1.9627,48.4375,1.958,46.5461,1.9338,48.3553,1.8969
21.6647,4.0534,55.4276,1.6181,52.7961,1.6615,58.3882,1.5275,57.2368,1.5126,21.5461,4.0242,55.0164,1.5543,54.4408,1.6227,56.7434,1.5641,55.5099,1.5483,56.5789,1.5116
22.0753,4.1258,62.9934,1.3221,62.0066,1.3481,66.2007,1.2185,63.7336,1.2276,22.0395,4.1496,61.5132,1.2857,63.4868,1.2855,64.6382,1.2736,64.8026,1.2423,64.8026,1.1975
22.6362,4.1781,70.7237,1.0376,69.2434,1.0708,72.9441,0.9393,72.3684,0.9346,23.7664,4.1455,70.3125,0.9992,70.8059,0.9996,71.875,0.9641,71.2171,0.9875,73.3553,0.9436
22.2857,4.2719,78.125,0.7588,76.4803,0.8151,80.8388,0.6749,79.9342,0.6949,23.7664,4.2151,78.8651,0.7129,79.2763,0.7446,80.3454,0.7061,79.523,0.7018,79.3586,0.6867
22.8466,4.3371,85.6086,0.5284,84.6217,0.5608,87.6645,0.4418,87.6645,0.4492,24.3421,4.2885,86.5954,0.4812,84.5395,0.5389,86.1842,0.4804,86.102,0.4701,85.3618,0.4944
23.0068,4.4595,90.625,0.3418,91.0362,0.3606,93.1743,0.2689,93.2566,0.278,24.9178,4.4297,93.3388,0.2896,91.6118,0.3253,92.9276,0.3,90.9539,0.3071,92.8454,0.2719
23.107,4.5237,96.5461,0.1698,95.8882,0.1906,96.875,0.1538,96.875,0.1522,24.5888,4.5327,96.875,0.1662,95.2303,0.1909,96.9572,0.1561,96.3816,0.1565,96.7928,0.1488
23.0569,4.5877,98.3553,0.0907,98.273,0.0886,98.7664,0.0845,99.1776,0.0703,24.6711,4.621,98.5197,0.0967,98.0263,0.1022,98.5197,0.0811,99.2599,0.0781,99.0954,0.0702
23.4075,4.6346,98.9309,0.0428,99.4243,0.0422,99.4243,0.041,99.8355,0.0356,23.9309,4.6507,99.5066,0.0464,99.7533,0.0346,99.5066,0.04,99.5888,0.0469,99.6711,0.0368
23.1971,4.6854,99.8355,0.0205,99.9178,0.0179,99.9178,0.02,100.0,0.0159,24.0954,4.7221,99.7533,0.0224,99.9178,0.0163,100.0,0.0182,100.0,0.0211,100.0,0.0156
22.7564,4.7126,100.0,0.0114,100.0,0.0108,100.0,0.0121,100.0,0.0114,23.7664,4.7848,99.9178,0.0132,99.9178,0.0104,100.0,0.0111,100.0,0.0126,100.0,0.0096
22.6963,4.7046,100.0,0.0077,100.0,0.0082,100.0,0.0084,100.0,0.0072,24.0132,4.7176,100.0,0.0072,99.9178,0.0079,100.0,0.0078,100.0,0.0079,100.0,0.0066
22.7464,4.7029,100.0,0.0056,100.0,0.0063,100.0,0.0059,100.0,0.0051,23.5197,4.7532,99.9178,0.0078,99.9178,0.0065,100.0,0.0058,100.0,0.0058,100.0,0.0053
22.8065,4.6812,100.0,0.0046,100.0,0.0051,99.9178,0.0085,100.0,0.0042,24.0132,4.696,100.0,0.0046,99.9178,0.0058,100.0,0.0047,100.0,0.005,100.0,0.0044
22.6963,4.6738,100.0,0.0044,100.0,0.0046,100.0,0.0041,100.0,0.0038,23.9309,4.7286,99.9178,0.0052,99.9178,0.005,100.0,0.0042,100.0,0.0042,100.0,0.0038
22.6262,4.6582,100.0,0.0037,100.0,0.004,100.0,0.0036,100.0,0.0034,24.2599,4.6803,100.0,0.0039,99.9178,0.0047,100.0,0.0037,100.0,0.0037,100.0,0.0033
22.6763,4.6418,100.0,0.0033,100.0,0.0036,99.9178,0.0065,100.0,0.0032,23.8487,4.6863,100.0,0.0032,99.9178,0.0045,100.0,0.0034,100.0,0.0034,100.0,0.0031
22.6362,4.6216,100.0,0.003,100.0,0.0033,100.0,0.003,100.0,0.0028,23.8487,4.6426,99.9178,0.005,99.9178,0.0043,100.0,0.0032,100.0,0.0031,100.0,0.0029
22.5661,4.6034,100.0,0.0028,100.0,0.0029,99.9178,0.0034,100.0,0.0026,23.7664,4.6651,100.0,0.003,99.9178,0.0041,100.0,0.003,100.0,0.0029,100.0,0.0027
22.6162,4.5899,100.0,0.0026,100.0,0.0028,100.0,0.0026,100.0,0.0025,23.1086,4.6482,99.9178,0.004,99.9178,0.0039,100.0,0.0027,100.0,0.0027,100.0,0.0025
22.5761,4.6134,100.0,0.0024,100.0,0.0026,100.0,0.0024,100.0,0.0022,23.3553,4.6556,99.9178,0.0033,99.9178,0.0035,100.0,0.0025,100.0,0.0024,100.0,0.0023
22.6062,4.6135,100.0,0.0023,100.0,0.0024,100.0,0.0023,100.0,0.0021,23.6842,4.645,100.0,0.0029,99.9178,0.0035,100.0,0.0024,100.0,0.0023,100.0,0.0022
22.5861,4.6126,100.0,0.0022,100.0,0.0024,100.0,0.0023,100.0,0.0021,24.0954,4.6421,100.0,0.0026,99.9178,0.0034,100.0,0.0024,100.0,0.0023,100.0,0.0022
22.516,4.612,100.0,0.0022,100.0,0.0023,100.0,0.0022,100.0,0.0021,24.0954,4.6315,100.0,0.0025,99.9178,0.0034,100.0,0.0023,100.0,0.0022,100.0,0.0022
22.6562,4.6115,100.0,0.0022,100.0,0.0023,100.0,0.0022,100.0,0.002,24.3421,4.627,100.0,0.0024,99.9178,0.0034,100.0,0.0022,100.0,0.0022,100.0,0.0021
22.6162,4.6102,100.0,0.0021,100.0,0.0022,100.0,0.0021,100.0,0.002,23.6842,4.6419,100.0,0.0024,99.9178,0.0033,100.0,0.0022,100.0,0.0022,100.0,0.0021
22.516,4.6109,100.0,0.0021,100.0,0.0022,100.0,0.0021,100.0,0.0019,23.8487,4.6523,100.0,0.0023,99.9178,0.0028,100.0,0.0021,100.0,0.0021,100.0,0.002
