Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR100', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 4.8033 	 LR 0.0099 	 Train images 1250 	 Round   1
Device 10 	 Train loss 4.4145 	 LR 0.0098 	 Train images 1250 	 Round   2
Device 10 	 Train loss 4.1934 	 LR 0.0097 	 Train images 1250 	 Round   3
Device 10 	 Train loss 3.9905 	 LR 0.0096 	 Train images 1250 	 Round   4
Device 10 	 Train loss 3.8180 	 LR 0.0095 	 Train images 1250 	 Round   5
Device 10 	 Train loss 3.6682 	 LR 0.0094 	 Train images 1250 	 Round   6
Device 10 	 Train loss 3.5196 	 LR 0.0093 	 Train images 1250 	 Round   7
Device 10 	 Train loss 3.2925 	 LR 0.0092 	 Train images 1250 	 Round   8
Device 10 	 Train loss 3.1556 	 LR 0.0091 	 Train images 1250 	 Round   9
Device 10 	 Train loss 3.0415 	 LR 0.0090 	 Train images 1250 	 Round  10
Device 10 	 Train loss 2.9865 	 LR 0.0090 	 Train images 1250 	 Round  11
Device 10 	 Train loss 2.7872 	 LR 0.0089 	 Train images 1250 	 Round  12
Device 10 	 Train loss 2.6788 	 LR 0.0088 	 Train images 1250 	 Round  13
Device 10 	 Train loss 2.6113 	 LR 0.0087 	 Train images 1250 	 Round  14
Device 10 	 Train loss 2.5007 	 LR 0.0086 	 Train images 1250 	 Round  15
Device 10 	 Train loss 2.3923 	 LR 0.0085 	 Train images 1250 	 Round  16
Device 10 	 Train loss 2.2540 	 LR 0.0084 	 Train images 1250 	 Round  17
Device 10 	 Train loss 2.1906 	 LR 0.0083 	 Train images 1250 	 Round  18
Device 10 	 Train loss 2.0652 	 LR 0.0083 	 Train images 1250 	 Round  19
Device 10 	 Train loss 2.0780 	 LR 0.0082 	 Train images 1250 	 Round  20
Device 10 	 Train loss 1.9222 	 LR 0.0081 	 Train images 1250 	 Round  21
Device 10 	 Train loss 1.8784 	 LR 0.0080 	 Train images 1250 	 Round  22
Device 10 	 Train loss 1.7924 	 LR 0.0079 	 Train images 1250 	 Round  23
Device 10 	 Train loss 1.6978 	 LR 0.0079 	 Train images 1250 	 Round  24
Device 10 	 Train loss 1.5575 	 LR 0.0078 	 Train images 1250 	 Round  25
Device 10 	 Train loss 1.4975 	 LR 0.0077 	 Train images 1250 	 Round  26
Device 10 	 Train loss 1.4675 	 LR 0.0076 	 Train images 1250 	 Round  27
Device 10 	 Train loss 1.3383 	 LR 0.0075 	 Train images 1250 	 Round  28
Device 10 	 Train loss 1.3093 	 LR 0.0075 	 Train images 1250 	 Round  29
Device 10 	 Train loss 1.0785 	 LR 0.0010 	 Train images 1250 	 Round  30
Defense none on Dataset CIFAR100.
Finished computations with time: 0:03:38.706039

Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR100', num_workers=2, batch_size=64, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 4.7011 	 LR 0.0099 	 Train images 1250 	 Round   1
Device 10 	 Train loss 4.6040 	 LR 0.0098 	 Train images 1250 	 Round   2
Device 10 	 Train loss 4.5111 	 LR 0.0097 	 Train images 1250 	 Round   3
Device 10 	 Train loss 4.3881 	 LR 0.0096 	 Train images 1250 	 Round   4
Device 10 	 Train loss 4.3029 	 LR 0.0095 	 Train images 1250 	 Round   5
Device 10 	 Train loss 4.2459 	 LR 0.0094 	 Train images 1250 	 Round   6
Device 10 	 Train loss 4.1587 	 LR 0.0093 	 Train images 1250 	 Round   7
Device 10 	 Train loss 4.0735 	 LR 0.0092 	 Train images 1250 	 Round   8
Device 10 	 Train loss 4.0335 	 LR 0.0091 	 Train images 1250 	 Round   9
Device 10 	 Train loss 3.9640 	 LR 0.0090 	 Train images 1250 	 Round  10
Device 10 	 Train loss 3.9729 	 LR 0.0090 	 Train images 1250 	 Round  11
Device 10 	 Train loss 3.9031 	 LR 0.0089 	 Train images 1250 	 Round  12
Device 10 	 Train loss 3.8265 	 LR 0.0088 	 Train images 1250 	 Round  13
Device 10 	 Train loss 3.7941 	 LR 0.0087 	 Train images 1250 	 Round  14
Device 10 	 Train loss 3.7713 	 LR 0.0086 	 Train images 1250 	 Round  15
Device 10 	 Train loss 3.6970 	 LR 0.0085 	 Train images 1250 	 Round  16
Device 10 	 Train loss 3.6563 	 LR 0.0084 	 Train images 1250 	 Round  17
Device 10 	 Train loss 3.6067 	 LR 0.0083 	 Train images 1250 	 Round  18
Device 10 	 Train loss 3.5448 	 LR 0.0083 	 Train images 1250 	 Round  19
Device 10 	 Train loss 3.5977 	 LR 0.0082 	 Train images 1250 	 Round  20
Device 10 	 Train loss 3.4983 	 LR 0.0081 	 Train images 1250 	 Round  21
Device 10 	 Train loss 3.4610 	 LR 0.0080 	 Train images 1250 	 Round  22
Device 10 	 Train loss 3.3981 	 LR 0.0079 	 Train images 1250 	 Round  23
