Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR100', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 4.6153 	 FL_acc 1.0016 	 Test images 10000
Round 002 	 FL_loss 4.5431 	 FL_acc 2.3037 	 Test images 10000
Round 003 	 FL_loss 4.3575 	 FL_acc 5.2885 	 Test images 10000
Round 004 	 FL_loss 4.2214 	 FL_acc 6.0096 	 Test images 10000
Round 005 	 FL_loss 4.1303 	 FL_acc 7.5921 	 Test images 10000
Round 006 	 FL_loss 4.0570 	 FL_acc 9.0044 	 Test images 10000
Round 007 	 FL_loss 4.0049 	 FL_acc 9.7456 	 Test images 10000
Round 008 	 FL_loss 3.9281 	 FL_acc 10.8073 	 Test images 10000
Round 009 	 FL_loss 3.8847 	 FL_acc 11.7788 	 Test images 10000
Round 010 	 FL_loss 3.8401 	 FL_acc 12.6703 	 Test images 10000
Round 011 	 FL_loss 3.7681 	 FL_acc 13.7620 	 Test images 10000
Round 012 	 FL_loss 3.7247 	 FL_acc 15.0240 	 Test images 10000
Round 013 	 FL_loss 3.6940 	 FL_acc 14.3329 	 Test images 10000
Round 014 	 FL_loss 3.6424 	 FL_acc 16.3562 	 Test images 10000
Round 015 	 FL_loss 3.5989 	 FL_acc 16.5264 	 Test images 10000
Round 016 	 FL_loss 3.5446 	 FL_acc 16.4864 	 Test images 10000
Round 017 	 FL_loss 3.5228 	 FL_acc 17.8586 	 Test images 10000
Round 018 	 FL_loss 3.4887 	 FL_acc 18.3794 	 Test images 10000
Round 019 	 FL_loss 3.4359 	 FL_acc 18.9804 	 Test images 10000
Round 020 	 FL_loss 3.4242 	 FL_acc 19.2208 	 Test images 10000
Round 021 	 FL_loss 3.3762 	 FL_acc 19.6114 	 Test images 10000
Round 022 	 FL_loss 3.3365 	 FL_acc 20.7532 	 Test images 10000
Round 023 	 FL_loss 3.3147 	 FL_acc 21.4443 	 Test images 10000
Round 024 	 FL_loss 3.2887 	 FL_acc 21.2941 	 Test images 10000
Round 025 	 FL_loss 3.2391 	 FL_acc 22.2456 	 Test images 10000
Round 026 	 FL_loss 3.2244 	 FL_acc 22.4159 	 Test images 10000
Round 027 	 FL_loss 3.1728 	 FL_acc 23.4175 	 Test images 10000
Round 028 	 FL_loss 3.1693 	 FL_acc 23.5777 	 Test images 10000
Round 029 	 FL_loss 3.1057 	 FL_acc 24.7897 	 Test images 10000
Round 030 	 FL_loss 3.0707 	 FL_acc 26.4724 	 Test images 10000
Round 031 	 FL_loss 3.0580 	 FL_acc 26.6827 	 Test images 10000
Round 032 	 FL_loss 3.0468 	 FL_acc 27.0232 	 Test images 10000
Round 033 	 FL_loss 3.0360 	 FL_acc 27.3237 	 Test images 10000
Round 034 	 FL_loss 3.0296 	 FL_acc 27.3538 	 Test images 10000
Round 035 	 FL_loss 3.0209 	 FL_acc 27.4940 	 Test images 10000
Round 036 	 FL_loss 3.0130 	 FL_acc 27.7845 	 Test images 10000
Round 037 	 FL_loss 3.0063 	 FL_acc 27.7344 	 Test images 10000
Round 038 	 FL_loss 3.0006 	 FL_acc 27.7444 	 Test images 10000
Round 039 	 FL_loss 2.9910 	 FL_acc 27.9547 	 Test images 10000
Round 040 	 FL_loss 2.9869 	 FL_acc 28.2853 	 Test images 10000
Round 041 	 FL_loss 2.9825 	 FL_acc 28.3954 	 Test images 10000
Round 042 	 FL_loss 2.9729 	 FL_acc 28.6759 	 Test images 10000
Round 043 	 FL_loss 2.9698 	 FL_acc 28.7059 	 Test images 10000
Round 044 	 FL_loss 2.9622 	 FL_acc 28.9663 	 Test images 10000
Round 045 	 FL_loss 2.9573 	 FL_acc 28.9864 	 Test images 10000
Round 046 	 FL_loss 2.9564 	 FL_acc 29.0765 	 Test images 10000
Round 047 	 FL_loss 2.9457 	 FL_acc 29.0264 	 Test images 10000
Round 048 	 FL_loss 2.9390 	 FL_acc 29.2368 	 Test images 10000
Round 049 	 FL_loss 2.9342 	 FL_acc 29.5974 	 Test images 10000
Round 050 	 FL_loss 2.9332 	 FL_acc 29.5473 	 Test images 10000
Best FL accuracy: 29.59735679626465 on round 49
Defense Method:  none
Finished computations with time: 0:06:53.638409

Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR100', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 4.6194 	 FL_acc 1.0216 	 Test images 10000
Round 002 	 FL_loss 4.4834 	 FL_acc 2.6843 	 Test images 10000
Round 003 	 FL_loss 4.1037 	 FL_acc 8.8241 	 Test images 10000
Round 004 	 FL_loss 3.9136 	 FL_acc 10.8574 	 Test images 10000
Round 005 	 FL_loss 3.6654 	 FL_acc 15.1542 	 Test images 10000
Round 006 	 FL_loss 3.5458 	 FL_acc 17.3978 	 Test images 10000
Round 007 	 FL_loss 3.4131 	 FL_acc 18.9904 	 Test images 10000
Round 008 	 FL_loss 3.2846 	 FL_acc 21.0236 	 Test images 10000
Round 009 	 FL_loss 3.2325 	 FL_acc 22.2656 	 Test images 10000
Round 010 	 FL_loss 3.1423 	 FL_acc 23.6779 	 Test images 10000
Round 011 	 FL_loss 3.1054 	 FL_acc 24.6194 	 Test images 10000
Round 012 	 FL_loss 3.0202 	 FL_acc 26.3522 	 Test images 10000
Round 013 	 FL_loss 2.9801 	 FL_acc 26.9131 	 Test images 10000
Round 014 	 FL_loss 2.8785 	 FL_acc 28.6558 	 Test images 10000
Round 015 	 FL_loss 2.8662 	 FL_acc 29.4271 	 Test images 10000
Round 016 	 FL_loss 2.7902 	 FL_acc 31.2200 	 Test images 10000
Round 017 	 FL_loss 2.7632 	 FL_acc 31.3802 	 Test images 10000
Round 018 	 FL_loss 2.7242 	 FL_acc 32.1615 	 Test images 10000
Round 019 	 FL_loss 2.6972 	 FL_acc 32.7624 	 Test images 10000
Round 020 	 FL_loss 2.6691 	 FL_acc 33.3534 	 Test images 10000
Round 021 	 FL_loss 2.6044 	 FL_acc 34.8357 	 Test images 10000
Round 022 	 FL_loss 2.6244 	 FL_acc 34.6454 	 Test images 10000
Round 023 	 FL_loss 2.6234 	 FL_acc 34.7656 	 Test images 10000
Round 024 	 FL_loss 2.5712 	 FL_acc 35.6671 	 Test images 10000
Round 025 	 FL_loss 2.5762 	 FL_acc 35.6070 	 Test images 10000
Round 026 	 FL_loss 2.5234 	 FL_acc 37.0393 	 Test images 10000
Round 027 	 FL_loss 2.5045 	 FL_acc 37.3898 	 Test images 10000
Round 028 	 FL_loss 2.5114 	 FL_acc 37.4499 	 Test images 10000
Round 029 	 FL_loss 2.5045 	 FL_acc 37.4700 	 Test images 10000
Round 030 	 FL_loss 2.4008 	 FL_acc 39.6735 	 Test images 10000
Round 031 	 FL_loss 2.3879 	 FL_acc 39.6334 	 Test images 10000
Round 032 	 FL_loss 2.3853 	 FL_acc 39.8538 	 Test images 10000
Round 033 	 FL_loss 2.3823 	 FL_acc 39.9239 	 Test images 10000
Round 034 	 FL_loss 2.3810 	 FL_acc 39.9038 	 Test images 10000
Round 035 	 FL_loss 2.3785 	 FL_acc 39.9940 	 Test images 10000
Round 036 	 FL_loss 2.3776 	 FL_acc 39.9639 	 Test images 10000
Round 037 	 FL_loss 2.3765 	 FL_acc 39.9439 	 Test images 10000
Round 038 	 FL_loss 2.3751 	 FL_acc 39.9439 	 Test images 10000
Round 039 	 FL_loss 2.3731 	 FL_acc 40.0441 	 Test images 10000
Round 040 	 FL_loss 2.3736 	 FL_acc 40.0140 	 Test images 10000
Round 041 	 FL_loss 2.3744 	 FL_acc 40.0341 	 Test images 10000
Round 042 	 FL_loss 2.3724 	 FL_acc 40.1242 	 Test images 10000
Round 043 	 FL_loss 2.3720 	 FL_acc 40.2244 	 Test images 10000
Round 044 	 FL_loss 2.3721 	 FL_acc 40.1442 	 Test images 10000
Round 045 	 FL_loss 2.3715 	 FL_acc 40.2444 	 Test images 10000
Round 046 	 FL_loss 2.3691 	 FL_acc 40.4347 	 Test images 10000
Round 047 	 FL_loss 2.3741 	 FL_acc 40.1242 	 Test images 10000
Round 048 	 FL_loss 2.3694 	 FL_acc 40.1943 	 Test images 10000
Round 049 	 FL_loss 2.3727 	 FL_acc 40.0040 	 Test images 10000
Round 050 	 FL_loss 2.3695 	 FL_acc 40.2143 	 Test images 10000
Best FL accuracy: 40.434696197509766 on round 46
Defense Method:  none
Finished computations with time: 0:06:55.460568

Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR100', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 4.6306 	 FL_acc 0.9415 	 Test images 10000
Round 002 	 FL_loss 4.6585 	 FL_acc 1.3121 	 Test images 10000
Round 003 	 FL_loss 4.5015 	 FL_acc 2.6743 	 Test images 10000
Round 004 	 FL_loss 4.2428 	 FL_acc 5.1282 	 Test images 10000
Round 005 	 FL_loss 4.0725 	 FL_acc 7.6422 	 Test images 10000
Round 006 	 FL_loss 3.9368 	 FL_acc 8.9343 	 Test images 10000
Round 007 	 FL_loss 3.8308 	 FL_acc 11.7588 	 Test images 10000
Round 008 	 FL_loss 3.7496 	 FL_acc 12.7103 	 Test images 10000
Round 009 	 FL_loss 3.6808 	 FL_acc 13.6118 	 Test images 10000
Round 010 	 FL_loss 3.6242 	 FL_acc 15.1242 	 Test images 10000
Round 011 	 FL_loss 3.5930 	 FL_acc 15.9355 	 Test images 10000
Round 012 	 FL_loss 3.5338 	 FL_acc 17.1575 	 Test images 10000
Round 013 	 FL_loss 3.4973 	 FL_acc 17.5681 	 Test images 10000
Round 014 	 FL_loss 3.5156 	 FL_acc 17.5180 	 Test images 10000
Round 015 	 FL_loss 3.4877 	 FL_acc 19.0104 	 Test images 10000
Round 016 	 FL_loss 3.4601 	 FL_acc 19.3009 	 Test images 10000
Round 017 	 FL_loss 3.4899 	 FL_acc 19.6414 	 Test images 10000
Round 018 	 FL_loss 3.4793 	 FL_acc 20.3325 	 Test images 10000
Round 019 	 FL_loss 3.4624 	 FL_acc 20.7332 	 Test images 10000
Round 020 	 FL_loss 3.5334 	 FL_acc 20.5128 	 Test images 10000
Round 021 	 FL_loss 3.5518 	 FL_acc 20.8734 	 Test images 10000
Round 022 	 FL_loss 3.5506 	 FL_acc 21.3442 	 Test images 10000
Round 023 	 FL_loss 3.5356 	 FL_acc 21.9050 	 Test images 10000
Round 024 	 FL_loss 3.6489 	 FL_acc 21.0337 	 Test images 10000
Round 025 	 FL_loss 3.6127 	 FL_acc 22.3958 	 Test images 10000
Round 026 	 FL_loss 3.7042 	 FL_acc 21.6246 	 Test images 10000
Round 027 	 FL_loss 3.6881 	 FL_acc 22.4359 	 Test images 10000
Round 028 	 FL_loss 3.7838 	 FL_acc 22.3257 	 Test images 10000
Round 029 	 FL_loss 3.7592 	 FL_acc 22.4960 	 Test images 10000
Round 030 	 FL_loss 3.6984 	 FL_acc 23.3574 	 Test images 10000
Round 031 	 FL_loss 3.7181 	 FL_acc 23.3874 	 Test images 10000
Round 032 	 FL_loss 3.7348 	 FL_acc 23.5377 	 Test images 10000
Round 033 	 FL_loss 3.7528 	 FL_acc 23.3173 	 Test images 10000
Round 034 	 FL_loss 3.7730 	 FL_acc 23.1871 	 Test images 10000
Round 035 	 FL_loss 3.7879 	 FL_acc 23.2071 	 Test images 10000
Round 036 	 FL_loss 3.8061 	 FL_acc 22.9768 	 Test images 10000
Round 037 	 FL_loss 3.8150 	 FL_acc 23.0369 	 Test images 10000
Round 038 	 FL_loss 3.8349 	 FL_acc 22.8566 	 Test images 10000
Round 039 	 FL_loss 3.8480 	 FL_acc 22.9868 	 Test images 10000
Round 040 	 FL_loss 3.8636 	 FL_acc 22.8766 	 Test images 10000
Round 041 	 FL_loss 3.8797 	 FL_acc 22.8265 	 Test images 10000
Round 042 	 FL_loss 3.8915 	 FL_acc 22.7163 	 Test images 10000
Round 043 	 FL_loss 3.9018 	 FL_acc 22.8666 	 Test images 10000
Round 044 	 FL_loss 3.9162 	 FL_acc 22.6663 	 Test images 10000
Round 045 	 FL_loss 3.9284 	 FL_acc 22.7264 	 Test images 10000
Round 046 	 FL_loss 3.9377 	 FL_acc 22.7264 	 Test images 10000
Round 047 	 FL_loss 3.9480 	 FL_acc 22.6362 	 Test images 10000
Round 048 	 FL_loss 3.9595 	 FL_acc 22.6162 	 Test images 10000
Round 049 	 FL_loss 3.9717 	 FL_acc 22.6863 	 Test images 10000
Round 050 	 FL_loss 3.9811 	 FL_acc 22.5060 	 Test images 10000
Best FL accuracy: 23.537660598754883 on round 32
Defense Method:  none
Finished computations with time: 0:10:24.589619

Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR100', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 4.8296 	 FL_acc 1.0016 	 Test images 10000
Round 002 	 FL_loss 4.7516 	 FL_acc 1.3221 	 Test images 10000
Round 003 	 FL_loss 4.3789 	 FL_acc 4.2067 	 Test images 10000
Round 004 	 FL_loss 4.0961 	 FL_acc 8.0329 	 Test images 10000
Round 005 	 FL_loss 3.9351 	 FL_acc 10.5369 	 Test images 10000
Round 006 	 FL_loss 3.8359 	 FL_acc 11.5986 	 Test images 10000
Round 007 	 FL_loss 3.7939 	 FL_acc 12.6302 	 Test images 10000
Round 008 	 FL_loss 3.7628 	 FL_acc 13.4215 	 Test images 10000
Round 009 	 FL_loss 3.7354 	 FL_acc 13.7520 	 Test images 10000
Round 010 	 FL_loss 3.7843 	 FL_acc 13.1310 	 Test images 10000
Round 011 	 FL_loss 3.7106 	 FL_acc 14.0625 	 Test images 10000
Round 012 	 FL_loss 3.6889 	 FL_acc 14.9339 	 Test images 10000
Round 013 	 FL_loss 3.7062 	 FL_acc 14.4832 	 Test images 10000
Round 014 	 FL_loss 3.7138 	 FL_acc 14.7135 	 Test images 10000
Round 015 	 FL_loss 3.7127 	 FL_acc 14.6635 	 Test images 10000
Round 016 	 FL_loss 3.6737 	 FL_acc 15.3646 	 Test images 10000
Round 017 	 FL_loss 3.6951 	 FL_acc 15.1643 	 Test images 10000
Round 018 	 FL_loss 3.6902 	 FL_acc 16.0757 	 Test images 10000
Round 019 	 FL_loss 3.6412 	 FL_acc 15.9255 	 Test images 10000
Round 020 	 FL_loss 3.6621 	 FL_acc 15.9255 	 Test images 10000
Round 021 	 FL_loss 3.7107 	 FL_acc 15.7151 	 Test images 10000
Round 022 	 FL_loss 3.7088 	 FL_acc 15.2143 	 Test images 10000
Round 023 	 FL_loss 3.6438 	 FL_acc 16.6166 	 Test images 10000
Round 024 	 FL_loss 3.6978 	 FL_acc 15.5048 	 Test images 10000
Round 025 	 FL_loss 3.6645 	 FL_acc 16.4163 	 Test images 10000
Round 026 	 FL_loss 3.7354 	 FL_acc 15.9956 	 Test images 10000
Round 027 	 FL_loss 3.7008 	 FL_acc 16.1659 	 Test images 10000
Round 028 	 FL_loss 3.7267 	 FL_acc 15.8654 	 Test images 10000
Round 029 	 FL_loss 3.7642 	 FL_acc 15.6350 	 Test images 10000
