Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='CIFAR100', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=50, layer_num=60, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=500.0, lambda_y=0.7, project=True, startpoint='none', mixup=False, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 4.7636 	 LR 0.0099 	 Train images 1250 	 Round   1
Device 10 	 Train loss 4.5345 	 LR 0.0098 	 Train images 1250 	 Round   2
Device 10 	 Train loss 4.2919 	 LR 0.0097 	 Train images 1250 	 Round   3
Device 10 	 Train loss 3.9319 	 LR 0.0096 	 Train images 1250 	 Round   4
Device 10 	 Train loss 3.6931 	 LR 0.0095 	 Train images 1250 	 Round   5
Device 10 	 Train loss 3.4548 	 LR 0.0094 	 Train images 1250 	 Round   6
Device 10 	 Train loss 3.3550 	 LR 0.0093 	 Train images 1250 	 Round   7
Device 10 	 Train loss 3.1023 	 LR 0.0092 	 Train images 1250 	 Round   8
Device 10 	 Train loss 2.9342 	 LR 0.0091 	 Train images 1250 	 Round   9
Device 10 	 Train loss 2.7238 	 LR 0.0090 	 Train images 1250 	 Round  10
Device 10 	 Train loss 2.5749 	 LR 0.0090 	 Train images 1250 	 Round  11
Device 10 	 Train loss 2.3774 	 LR 0.0089 	 Train images 1250 	 Round  12
Device 10 	 Train loss 2.2494 	 LR 0.0088 	 Train images 1250 	 Round  13
Device 10 	 Train loss 2.0870 	 LR 0.0087 	 Train images 1250 	 Round  14
Device 10 	 Train loss 1.9486 	 LR 0.0086 	 Train images 1250 	 Round  15
Device 10 	 Train loss 1.7647 	 LR 0.0085 	 Train images 1250 	 Round  16
Device 10 	 Train loss 1.5258 	 LR 0.0084 	 Train images 1250 	 Round  17
Device 10 	 Train loss 1.4279 	 LR 0.0083 	 Train images 1250 	 Round  18
Device 10 	 Train loss 1.1692 	 LR 0.0083 	 Train images 1250 	 Round  19
Device 10 	 Train loss 1.0773 	 LR 0.0082 	 Train images 1250 	 Round  20
Device 10 	 Train loss 0.9065 	 LR 0.0081 	 Train images 1250 	 Round  21
Device 10 	 Train loss 0.7543 	 LR 0.0080 	 Train images 1250 	 Round  22
Device 10 	 Train loss 0.6550 	 LR 0.0079 	 Train images 1250 	 Round  23
Device 10 	 Train loss 0.5551 	 LR 0.0079 	 Train images 1250 	 Round  24
Device 10 	 Train loss 0.5137 	 LR 0.0078 	 Train images 1250 	 Round  25
Device 10 	 Train loss 0.4551 	 LR 0.0077 	 Train images 1250 	 Round  26
Device 10 	 Train loss 0.3175 	 LR 0.0076 	 Train images 1250 	 Round  27
Device 10 	 Train loss 0.2572 	 LR 0.0075 	 Train images 1250 	 Round  28
Device 10 	 Train loss 0.2269 	 LR 0.0075 	 Train images 1250 	 Round  29
Device 10 	 Train loss 0.1351 	 LR 0.0010 	 Train images 1250 	 Round  30
Defense soteria on Dataset CIFAR100.
Finished computations with time: 4:42:53.340821

