S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
0.9415,4.614,0.4112,4.6159,1.398,4.6108,0.8224,4.6117,1.2336,4.6135,1.2336,4.6136,1.3158,4.612,1.3158,4.6181,1.2336,4.6132,1.4803,4.6089,1.0691,4.6133
1.9231,4.5609,2.6316,4.5679,2.4671,4.5354,2.0559,4.5451,2.2204,4.5438,2.3849,4.5465,2.7138,4.5292,1.727,4.5648,1.8914,4.5504,2.4671,4.5557,2.2204,4.5557
4.6074,4.2977,5.0987,4.2765,5.8388,4.2373,5.5099,4.247,5.0987,4.26,4.4408,4.2859,5.6743,4.237,6.4967,4.267,5.3454,4.2657,6.1678,4.2828,4.852,4.2682
7.8125,4.0673,8.3059,4.0103,10.6086,3.9036,8.4704,3.9838,8.8816,3.983,7.0724,4.0757,8.9638,3.9765,10.3618,3.9848,9.8684,3.9513,10.4441,4.0035,9.7862,3.9623
10.9375,3.8681,13.5691,3.7212,15.2961,3.6038,13.1579,3.6948,12.5822,3.707,10.1974,3.8941,13.7336,3.7075,14.8026,3.6966,14.0625,3.6534,14.8026,3.7018,14.3914,3.6457
13.7921,3.7178,17.6809,3.4697,19.6546,3.3561,18.0921,3.4195,17.5164,3.4253,12.5,3.7557,18.2566,3.4509,18.0921,3.4645,18.2566,3.4387,18.5033,3.409,18.5033,3.4069
15.6651,3.6185,21.1349,3.2643,23.3553,3.1404,23.1908,3.1909,22.2039,3.2165,14.5559,3.678,24.2599,3.2186,23.1908,3.2407,22.7796,3.2186,23.9309,3.2036,23.273,3.1893
17.0873,3.5635,26.727,3.0739,28.5362,2.9798,27.3849,3.0097,26.727,3.0453,15.2961,3.6105,27.2204,3.0807,25.9868,3.0628,27.4671,3.026,25.8224,3.0532,26.0691,3.0117
18.0188,3.5045,30.2632,2.8624,33.1414,2.7701,31.9901,2.8219,29.6053,2.8385,16.9408,3.5646,29.523,2.8854,31.1678,2.8394,29.7697,2.8542,30.7566,2.8413,29.852,2.8171
19.2808,3.463,34.1283,2.6793,37.8289,2.5834,35.1974,2.6378,35.3618,2.6545,16.3651,3.5313,32.2368,2.7194,33.7171,2.6945,35.8553,2.6476,36.0197,2.6141,35.2796,2.6452
19.9319,3.4349,37.9934,2.4998,42.6809,2.387,41.6941,2.4068,39.227,2.4835,17.7632,3.5186,39.227,2.4902,37.5822,2.4757,39.5559,2.4597,39.8849,2.4434,39.8026,2.4169
20.3926,3.4116,43.6678,2.2949,48.1086,2.167,46.7928,2.1986,45.8059,2.234,18.0099,3.5109,43.0921,2.297,43.9145,2.2879,43.9145,2.2396,46.3816,2.2138,47.1217,2.1982
20.7432,3.4206,46.1349,2.1289,49.1776,2.0601,48.7664,2.0541,48.6842,2.0854,19.1612,3.4848,45.8882,2.1657,46.7928,2.1434,47.3684,2.0988,50.5757,2.0471,49.0132,2.0701
21.1839,3.4068,51.1513,1.909,54.2763,1.8154,54.9342,1.8382,53.7007,1.8965,19.9836,3.4697,51.8914,1.9408,51.9737,1.9385,52.7138,1.8966,55.0164,1.8785,53.6184,1.8621
21.4744,3.4325,57.5658,1.7262,59.9507,1.6589,63.4046,1.6002,57.2368,1.742,20.8882,3.5145,57.977,1.75,56.6612,1.7252,57.4013,1.7026,59.0461,1.6902,59.375,1.6887
21.5144,3.4328,63.0757,1.5613,66.2007,1.4253,67.4342,1.4452,64.0625,1.5338,19.9836,3.5062,62.4178,1.5582,60.6908,1.5669,64.0625,1.5184,63.4868,1.5088,64.227,1.5146
