Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='CIFAR100', resume=False, ckp_path='./weights/model_round_100.pth', defense='soteria', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=30, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 4.6140 	 FL_acc 0.9415 	 Test images 10000
Round 002 	 FL_loss 4.5609 	 FL_acc 1.9231 	 Test images 10000
Round 003 	 FL_loss 4.2977 	 FL_acc 4.6074 	 Test images 10000
Round 004 	 FL_loss 4.0673 	 FL_acc 7.8125 	 Test images 10000
Round 005 	 FL_loss 3.8681 	 FL_acc 10.9375 	 Test images 10000
Round 006 	 FL_loss 3.7178 	 FL_acc 13.7921 	 Test images 10000
Round 007 	 FL_loss 3.6185 	 FL_acc 15.6651 	 Test images 10000
Round 008 	 FL_loss 3.5635 	 FL_acc 17.0873 	 Test images 10000
Round 009 	 FL_loss 3.5045 	 FL_acc 18.0188 	 Test images 10000
Round 010 	 FL_loss 3.4630 	 FL_acc 19.2808 	 Test images 10000
Round 011 	 FL_loss 3.4349 	 FL_acc 19.9319 	 Test images 10000
Round 012 	 FL_loss 3.4116 	 FL_acc 20.3926 	 Test images 10000
Round 013 	 FL_loss 3.4206 	 FL_acc 20.7432 	 Test images 10000
Round 014 	 FL_loss 3.4068 	 FL_acc 21.1839 	 Test images 10000
Round 015 	 FL_loss 3.4325 	 FL_acc 21.4744 	 Test images 10000
Round 016 	 FL_loss 3.4328 	 FL_acc 21.5144 	 Test images 10000
Round 017 	 FL_loss 3.4711 	 FL_acc 21.7849 	 Test images 10000
Round 018 	 FL_loss 3.4862 	 FL_acc 22.0853 	 Test images 10000
Round 019 	 FL_loss 3.5195 	 FL_acc 22.3257 	 Test images 10000
Round 020 	 FL_loss 3.5476 	 FL_acc 22.3658 	 Test images 10000
Round 021 	 FL_loss 3.5841 	 FL_acc 22.5962 	 Test images 10000
Round 022 	 FL_loss 3.6121 	 FL_acc 22.2155 	 Test images 10000
Round 023 	 FL_loss 3.6400 	 FL_acc 22.3558 	 Test images 10000
Round 024 	 FL_loss 3.6629 	 FL_acc 22.6062 	 Test images 10000
Round 025 	 FL_loss 3.7149 	 FL_acc 22.5962 	 Test images 10000
Round 026 	 FL_loss 3.7316 	 FL_acc 22.9667 	 Test images 10000
Round 027 	 FL_loss 3.7608 	 FL_acc 22.9367 	 Test images 10000
Round 028 	 FL_loss 3.7897 	 FL_acc 22.5561 	 Test images 10000
Round 029 	 FL_loss 3.8284 	 FL_acc 22.5962 	 Test images 10000
Round 030 	 FL_loss 3.8436 	 FL_acc 22.8265 	 Test images 10000
Best FL accuracy: 22.966747283935547 on round 26
Defense Method:  soteria
Finished computations with time: 4:43:43.593400

