Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device 10 	 Train loss 6.0838 	 LR 0.0099 	 Train images 200 	 Round   1
Device 10 	 Train loss 3.7975 	 LR 0.0098 	 Train images 200 	 Round   2
Device 10 	 Train loss 3.2335 	 LR 0.0097 	 Train images 200 	 Round   3
Device 10 	 Train loss 3.3146 	 LR 0.0096 	 Train images 200 	 Round   4
Device 10 	 Train loss 2.5330 	 LR 0.0095 	 Train images 200 	 Round   5
Device 10 	 Train loss 2.4198 	 LR 0.0094 	 Train images 200 	 Round   6
Device 10 	 Train loss 2.4136 	 LR 0.0093 	 Train images 200 	 Round   7
Device 10 	 Train loss 2.1705 	 LR 0.0092 	 Train images 200 	 Round   8
Device 10 	 Train loss 2.0809 	 LR 0.0091 	 Train images 200 	 Round   9
Device 10 	 Train loss 2.0122 	 LR 0.0090 	 Train images 200 	 Round  10
Device 10 	 Train loss 1.9037 	 LR 0.0090 	 Train images 200 	 Round  11
Device 10 	 Train loss 1.8825 	 LR 0.0089 	 Train images 200 	 Round  12
Device 10 	 Train loss 1.7761 	 LR 0.0088 	 Train images 200 	 Round  13
Device 10 	 Train loss 1.7397 	 LR 0.0087 	 Train images 200 	 Round  14
Device 10 	 Train loss 1.6707 	 LR 0.0086 	 Train images 200 	 Round  15
Device 10 	 Train loss 1.6255 	 LR 0.0085 	 Train images 200 	 Round  16
Device 10 	 Train loss 1.5884 	 LR 0.0084 	 Train images 200 	 Round  17
Device 10 	 Train loss 1.5229 	 LR 0.0083 	 Train images 200 	 Round  18
Device 10 	 Train loss 1.4810 	 LR 0.0083 	 Train images 200 	 Round  19
Device 10 	 Train loss 1.4579 	 LR 0.0082 	 Train images 200 	 Round  20
Device 10 	 Train loss 1.3918 	 LR 0.0081 	 Train images 200 	 Round  21
Device 10 	 Train loss 1.3476 	 LR 0.0080 	 Train images 200 	 Round  22
Device 10 	 Train loss 1.3181 	 LR 0.0079 	 Train images 200 	 Round  23
Device 10 	 Train loss 1.2859 	 LR 0.0079 	 Train images 200 	 Round  24
Device 10 	 Train loss 1.2451 	 LR 0.0078 	 Train images 200 	 Round  25
Device 10 	 Train loss 1.2316 	 LR 0.0077 	 Train images 200 	 Round  26
Device 10 	 Train loss 1.1899 	 LR 0.0076 	 Train images 200 	 Round  27
Device 10 	 Train loss 1.1644 	 LR 0.0075 	 Train images 200 	 Round  28
Device 10 	 Train loss 1.1294 	 LR 0.0075 	 Train images 200 	 Round  29
Device 10 	 Train loss 1.1238 	 LR 0.0074 	 Train images 200 	 Round  30
Device 10 	 Train loss 1.0937 	 LR 0.0073 	 Train images 200 	 Round  31
Device 10 	 Train loss 1.0707 	 LR 0.0072 	 Train images 200 	 Round  32
Device 10 	 Train loss 1.0484 	 LR 0.0072 	 Train images 200 	 Round  33
Device 10 	 Train loss 1.0407 	 LR 0.0071 	 Train images 200 	 Round  34
Device 10 	 Train loss 1.0153 	 LR 0.0070 	 Train images 200 	 Round  35
Device 10 	 Train loss 0.9765 	 LR 0.0070 	 Train images 200 	 Round  36
Device 10 	 Train loss 0.9675 	 LR 0.0069 	 Train images 200 	 Round  37
Device 10 	 Train loss 0.9653 	 LR 0.0068 	 Train images 200 	 Round  38
Device 10 	 Train loss 0.9440 	 LR 0.0068 	 Train images 200 	 Round  39
Device 10 	 Train loss 0.9250 	 LR 0.0067 	 Train images 200 	 Round  40
Device 10 	 Train loss 0.9310 	 LR 0.0066 	 Train images 200 	 Round  41
Device 10 	 Train loss 0.8785 	 LR 0.0066 	 Train images 200 	 Round  42
Device 10 	 Train loss 0.8894 	 LR 0.0065 	 Train images 200 	 Round  43
Device 10 	 Train loss 0.8140 	 LR 0.0064 	 Train images 200 	 Round  44
Device 10 	 Train loss 0.8619 	 LR 0.0064 	 Train images 200 	 Round  45
Device 10 	 Train loss 0.8575 	 LR 0.0063 	 Train images 200 	 Round  46
Device 10 	 Train loss 0.8228 	 LR 0.0062 	 Train images 200 	 Round  47
Device 10 	 Train loss 0.8233 	 LR 0.0062 	 Train images 200 	 Round  48
Device 10 	 Train loss 0.8021 	 LR 0.0061 	 Train images 200 	 Round  49
Device 10 	 Train loss 0.8009 	 LR 0.0061 	 Train images 200 	 Round  50
