S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
11.3381,4.0189,9.8958,3.8896,12.5,3.9893,6.7708,4.4395,9.8958,4.4513,15.1042,3.9744,6.25,4.2972,12.5,3.9887,12.5,3.8947,9.8958,4.0507,13.0208,4.157
13.4115,3.2836,8.8542,3.3845,9.8958,3.2918,13.0208,3.3228,12.5,3.5155,14.0625,3.2811,15.1042,3.2674,11.4583,3.4271,14.5833,3.221,11.4583,3.3075,11.4583,3.2619
10.016,3.6752,10.4167,3.7441,7.8125,3.6725,13.5417,3.436,10.4167,3.6668,9.375,3.6494,8.8542,3.6161,10.4167,3.7081,12.5,3.6232,5.2083,3.7667,11.9792,3.6242
16.4163,2.6719,13.5417,2.7519,15.625,2.6564,16.6667,2.5505,20.8333,2.6374,16.6667,2.7096,18.2292,2.6077,19.7917,2.7182,14.0625,2.6662,16.1458,2.7332,14.5833,2.6359
21.6446,2.3715,20.3125,2.3781,17.7083,2.4206,20.8333,2.4491,19.2708,2.4507,20.3125,2.378,24.4792,2.3844,20.8333,2.4185,20.8333,2.3475,23.4375,2.3542,20.8333,2.4493
21.4643,2.6076,20.3125,2.5781,19.2708,2.6511,19.2708,2.7772,21.875,2.6995,19.7917,2.5318,21.875,2.6163,21.875,2.611,21.875,2.5696,21.3542,2.5558,19.2708,2.7402
28.6058,2.1903,27.0833,2.216,24.4792,2.2167,24.4792,2.2737,27.6042,2.2382,29.1667,2.0973,33.3333,2.1594,23.4375,2.2524,27.6042,2.1357,29.6875,2.1323,20.8333,2.2778
21.0537,2.1112,16.6667,2.1627,20.8333,2.1034,23.4375,2.063,23.4375,2.0772,24.4792,2.0942,22.3958,2.0599,18.75,2.1649,23.9583,2.0885,25.0,2.0759,18.75,2.1278
22.3558,2.0944,18.2292,2.1533,22.3958,2.1103,22.3958,2.0199,21.875,2.0767,19.7917,2.1843,28.125,2.0174,22.9167,2.1515,20.8333,2.0798,18.75,2.1159,22.3958,2.0689
36.5284,1.8859,34.375,1.9013,32.8125,1.896,38.0208,1.878,34.375,1.88,34.375,1.9117,41.1458,1.8187,32.8125,1.9295,34.8958,1.8807,36.4583,1.8716,36.9792,1.927
