Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='dcs', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=100, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 4.0189 	 FL_acc 11.3381 	 Test images 10000
Round 002 	 FL_loss 3.2836 	 FL_acc 13.4115 	 Test images 10000
Round 003 	 FL_loss 3.6752 	 FL_acc 10.0160 	 Test images 10000
Round 004 	 FL_loss 2.6719 	 FL_acc 16.4062 	 Test images 10000
Round 005 	 FL_loss 2.3715 	 FL_acc 21.6446 	 Test images 10000
Round 006 	 FL_loss 2.6076 	 FL_acc 21.4643 	 Test images 10000
Round 007 	 FL_loss 2.1903 	 FL_acc 28.5958 	 Test images 10000
Round 008 	 FL_loss 2.1112 	 FL_acc 21.0537 	 Test images 10000
Round 009 	 FL_loss 2.0944 	 FL_acc 22.3558 	 Test images 10000
Round 010 	 FL_loss 1.8859 	 FL_acc 36.5385 	 Test images 10000
Round 011 	 FL_loss 1.8708 	 FL_acc 38.7620 	 Test images 10000
Round 012 	 FL_loss 1.8007 	 FL_acc 42.7484 	 Test images 10000
Round 013 	 FL_loss 1.6956 	 FL_acc 47.6963 	 Test images 10000
Round 014 	 FL_loss 1.6632 	 FL_acc 47.0453 	 Test images 10000
Round 015 	 FL_loss 1.5877 	 FL_acc 53.1851 	 Test images 10000
Round 016 	 FL_loss 1.5379 	 FL_acc 53.7660 	 Test images 10000
Round 017 	 FL_loss 1.4883 	 FL_acc 55.7893 	 Test images 10000
Round 018 	 FL_loss 1.4307 	 FL_acc 58.6639 	 Test images 10000
Round 019 	 FL_loss 1.3930 	 FL_acc 60.3265 	 Test images 10000
Round 020 	 FL_loss 1.3517 	 FL_acc 62.0393 	 Test images 10000
Round 021 	 FL_loss 1.3116 	 FL_acc 63.1210 	 Test images 10000
Round 022 	 FL_loss 1.2710 	 FL_acc 64.1526 	 Test images 10000
Round 023 	 FL_loss 1.2346 	 FL_acc 65.4447 	 Test images 10000
Round 024 	 FL_loss 1.2017 	 FL_acc 67.0873 	 Test images 10000
Round 025 	 FL_loss 1.1705 	 FL_acc 68.1891 	 Test images 10000
Round 026 	 FL_loss 1.1412 	 FL_acc 69.1106 	 Test images 10000
Round 027 	 FL_loss 1.1140 	 FL_acc 70.1122 	 Test images 10000
Round 028 	 FL_loss 1.0858 	 FL_acc 70.7933 	 Test images 10000
Round 029 	 FL_loss 1.0609 	 FL_acc 71.5345 	 Test images 10000
Round 030 	 FL_loss 1.0375 	 FL_acc 72.0252 	 Test images 10000
Round 031 	 FL_loss 1.0149 	 FL_acc 72.9067 	 Test images 10000
Round 032 	 FL_loss 0.9945 	 FL_acc 73.5777 	 Test images 10000
Round 033 	 FL_loss 0.9760 	 FL_acc 74.0385 	 Test images 10000
Round 034 	 FL_loss 0.9566 	 FL_acc 74.5593 	 Test images 10000
Round 035 	 FL_loss 0.9390 	 FL_acc 74.9199 	 Test images 10000
Round 036 	 FL_loss 0.9224 	 FL_acc 75.3606 	 Test images 10000
Round 037 	 FL_loss 0.9075 	 FL_acc 75.8614 	 Test images 10000
Round 038 	 FL_loss 0.8920 	 FL_acc 76.1719 	 Test images 10000
Round 039 	 FL_loss 0.8768 	 FL_acc 76.5124 	 Test images 10000
Round 040 	 FL_loss 0.8636 	 FL_acc 76.8730 	 Test images 10000
Round 041 	 FL_loss 0.8513 	 FL_acc 77.1835 	 Test images 10000
Round 042 	 FL_loss 0.8399 	 FL_acc 77.5541 	 Test images 10000
Round 043 	 FL_loss 0.8278 	 FL_acc 77.7744 	 Test images 10000
Round 044 	 FL_loss 0.8167 	 FL_acc 78.0349 	 Test images 10000
Round 045 	 FL_loss 0.8069 	 FL_acc 78.3053 	 Test images 10000
Round 046 	 FL_loss 0.7977 	 FL_acc 78.6759 	 Test images 10000
Round 047 	 FL_loss 0.7879 	 FL_acc 78.9062 	 Test images 10000
Round 048 	 FL_loss 0.7780 	 FL_acc 79.1166 	 Test images 10000
Round 049 	 FL_loss 0.7691 	 FL_acc 79.2668 	 Test images 10000
Round 050 	 FL_loss 0.7608 	 FL_acc 79.4772 	 Test images 10000
Round 051 	 FL_loss 0.7533 	 FL_acc 79.8878 	 Test images 10000
