Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='dp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=4, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  4 	 Train loss 6.1980 	 LR 0.0099 	 Train images 200 	 Round   1
Device  4 	 Train loss 3.9201 	 LR 0.0098 	 Train images 200 	 Round   2
Device  4 	 Train loss 3.2756 	 LR 0.0097 	 Train images 200 	 Round   3
Device  4 	 Train loss 3.4466 	 LR 0.0096 	 Train images 200 	 Round   4
Device  4 	 Train loss 2.4793 	 LR 0.0095 	 Train images 200 	 Round   5
Device  4 	 Train loss 2.4783 	 LR 0.0094 	 Train images 200 	 Round   6
Device  4 	 Train loss 2.3852 	 LR 0.0093 	 Train images 200 	 Round   7
Device  4 	 Train loss 2.1145 	 LR 0.0092 	 Train images 200 	 Round   8
Device  4 	 Train loss 2.0471 	 LR 0.0091 	 Train images 200 	 Round   9
Device  4 	 Train loss 1.9680 	 LR 0.0090 	 Train images 200 	 Round  10
Device  4 	 Train loss 1.8355 	 LR 0.0090 	 Train images 200 	 Round  11
Device  4 	 Train loss 1.8029 	 LR 0.0089 	 Train images 200 	 Round  12
Device  4 	 Train loss 1.7203 	 LR 0.0088 	 Train images 200 	 Round  13
Device  4 	 Train loss 1.6527 	 LR 0.0087 	 Train images 200 	 Round  14
Device  4 	 Train loss 1.5981 	 LR 0.0086 	 Train images 200 	 Round  15
