S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
10.7572,4.0234,10.9375,3.8936,12.5,4.001,6.7708,4.4513,9.8958,4.4457,13.5417,3.9926,5.2083,4.3025,12.5,3.9833,11.4583,3.9018,9.8958,4.0413,12.5,4.1738
14.2728,3.1674,10.4167,3.2432,8.8542,3.1718,14.5833,3.2463,10.9375,3.4058,16.6667,3.177,15.625,3.1697,11.4583,3.2983,13.5417,3.1027,13.0208,3.1845,13.5417,3.1535
10.4267,3.3994,9.375,3.4812,9.8958,3.4081,13.5417,3.2081,11.4583,3.4001,9.8958,3.3844,10.9375,3.347,10.4167,3.4258,13.5417,3.3519,7.2917,3.4724,13.0208,3.354
14.7336,2.6114,13.0208,2.6928,15.625,2.6,17.1875,2.5001,18.2292,2.567,16.6667,2.6569,16.1458,2.553,19.7917,2.646,13.0208,2.6048,15.1042,2.6641,11.4583,2.5885
22.9267,2.3117,25.0,2.3272,18.2292,2.3628,21.3542,2.3854,21.3542,2.3774,17.7083,2.3608,22.9167,2.3233,20.3125,2.3636,22.9167,2.2809,22.9167,2.2997,21.875,2.3726
21.6747,2.4746,20.3125,2.4522,19.7917,2.5129,20.8333,2.6205,22.3958,2.5507,19.7917,2.4316,22.3958,2.4865,22.3958,2.4818,24.4792,2.4277,22.3958,2.4212,19.7917,2.5823
31.9211,2.1226,31.25,2.1521,29.1667,2.1462,28.125,2.192,29.1667,2.1556,34.8958,2.0591,34.375,2.0985,25.5208,2.1777,32.2917,2.0636,33.3333,2.0632,28.6458,2.1947
24.8898,2.0653,18.75,2.1295,24.4792,2.0669,25.0,2.0339,27.6042,2.0384,27.0833,2.0748,32.2917,2.015,22.9167,2.1147,27.6042,2.0401,29.6875,2.0289,19.7917,2.079
26.3722,2.0379,21.3542,2.1075,25.5208,2.0606,25.0,1.9795,27.0833,2.0326,22.3958,2.1425,32.2917,1.9633,25.0,2.0942,26.0417,2.0209,26.0417,2.0444,25.5208,2.0164
38.3514,1.8664,36.4583,1.8907,34.8958,1.8795,36.4583,1.8615,36.9792,1.8603,35.4167,1.9101,44.7917,1.7983,33.8542,1.9132,39.0625,1.8485,36.4583,1.8415,39.5833,1.9051
39.4131,1.8456,35.4167,1.8887,39.5833,1.8568,36.9792,1.869,41.6667,1.8395,45.8333,1.819,45.3125,1.8192,40.625,1.8865,43.75,1.8164,43.2292,1.7716,36.4583,1.9224
