Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='dp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 4.0234 	 FL_acc 10.7572 	 Test images 10000
Round 002 	 FL_loss 3.1674 	 FL_acc 14.2728 	 Test images 10000
Round 003 	 FL_loss 3.3994 	 FL_acc 10.4267 	 Test images 10000
Round 004 	 FL_loss 2.6114 	 FL_acc 14.7236 	 Test images 10000
Round 005 	 FL_loss 2.3117 	 FL_acc 22.9267 	 Test images 10000
Round 006 	 FL_loss 2.4746 	 FL_acc 21.6747 	 Test images 10000
Round 007 	 FL_loss 2.1226 	 FL_acc 31.9311 	 Test images 10000
Round 008 	 FL_loss 2.0653 	 FL_acc 24.8798 	 Test images 10000
Round 009 	 FL_loss 2.0379 	 FL_acc 26.3622 	 Test images 10000
Round 010 	 FL_loss 1.8664 	 FL_acc 38.3514 	 Test images 10000
Round 011 	 FL_loss 1.8456 	 FL_acc 39.4030 	 Test images 10000
Round 012 	 FL_loss 1.7693 	 FL_acc 44.6915 	 Test images 10000
Round 013 	 FL_loss 1.6937 	 FL_acc 47.8666 	 Test images 10000
Round 014 	 FL_loss 1.6580 	 FL_acc 47.9467 	 Test images 10000
Round 015 	 FL_loss 1.5901 	 FL_acc 53.2652 	 Test images 10000
Round 016 	 FL_loss 1.5415 	 FL_acc 54.2468 	 Test images 10000
Round 017 	 FL_loss 1.4947 	 FL_acc 55.7692 	 Test images 10000
Round 018 	 FL_loss 1.4469 	 FL_acc 58.0629 	 Test images 10000
Round 019 	 FL_loss 1.4102 	 FL_acc 59.4551 	 Test images 10000
