S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
9.9259,3.9519,8.8542,3.8546,11.9792,3.9567,5.7292,4.3439,9.375,4.3083,14.0625,3.942,5.7292,4.2162,11.4583,3.9372,9.8958,3.8281,9.375,3.9379,12.5,4.0891
9.5954,3.3095,5.2083,3.3847,7.8125,3.3803,8.3333,3.2138,9.375,3.4001,11.4583,3.2894,13.0208,3.1487,9.8958,3.5189,9.375,3.2895,11.9792,3.2369,7.2917,3.3448
9.0345,3.574,10.4167,3.5352,9.8958,3.561,11.9792,3.2863,13.0208,3.4838,11.4583,3.722,9.375,3.5065,8.8542,3.6313,9.375,3.5386,10.4167,3.655,9.375,3.5045
12.3898,2.6048,10.9375,2.5235,13.0208,2.6043,11.4583,2.54,13.0208,2.5254,13.0208,2.6937,13.5417,2.5969,13.0208,2.6267,14.0625,2.6049,11.4583,2.6662,10.4167,2.5727
13.9022,2.6871,13.5417,2.6239,14.5833,2.686,9.8958,2.8236,13.0208,2.7234,14.0625,2.7032,13.5417,2.7219,10.9375,2.707,11.9792,2.676,14.0625,2.7055,11.9792,2.7485
13.131,2.4063,10.4167,2.4285,9.375,2.4571,11.4583,2.5259,13.0208,2.5236,15.625,2.3849,16.1458,2.3573,11.9792,2.4565,16.6667,2.3632,14.0625,2.4198,13.0208,2.443
14.3029,2.2397,11.9792,2.2737,13.5417,2.2725,17.1875,2.2469,13.5417,2.2573,17.1875,2.1815,15.625,2.1827,12.5,2.3012,16.1458,2.2204,13.5417,2.2796,11.4583,2.2731
13.5917,2.2336,10.4167,2.2444,13.0208,2.2028,14.0625,2.1903,16.6667,2.1573,16.6667,2.1842,14.0625,2.2548,14.0625,2.2576,10.9375,2.2462,16.1458,2.2789,10.9375,2.2798
25.9014,2.1913,27.6042,2.1461,22.9167,2.1773,25.5208,2.1974,28.125,2.152,25.0,2.2177,29.1667,2.2267,25.5208,2.2325,22.9167,2.182,22.3958,2.2181,23.9583,2.2275
28.2652,2.0935,31.7708,2.0751,28.6458,2.0883,29.6875,2.1283,28.125,2.1129,29.1667,2.0799,32.2917,2.0895,22.3958,2.1507,31.25,2.0818,25.0,2.1361,23.4375,2.147
21.7748,2.0824,20.3125,2.1258,20.8333,2.0854,23.9583,2.0905,18.2292,2.0975,28.125,1.9949,24.4792,2.054,20.8333,2.1141,23.9583,2.0765,18.2292,2.1394,15.625,2.1426
29.6575,2.0367,26.5625,2.0844,31.25,2.0424,31.25,2.0431,28.6458,2.0109,38.5417,1.9283,33.3333,2.0445,27.0833,2.0686,35.4167,2.0296,27.0833,2.0861,21.875,2.0893
35.6771,2.0024,33.3333,2.02,35.9375,2.0045,34.375,2.0076,38.5417,1.9782,39.5833,1.9293,40.1042,1.9971,31.7708,2.0507,38.5417,1.9823,33.8542,2.0309,29.6875,2.0708
