Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 4.0025 	 FL_acc 11.4984 	 Test images 10000
Round 002 	 FL_loss 3.3048 	 FL_acc 12.2396 	 Test images 10000
Round 003 	 FL_loss 3.7686 	 FL_acc 9.0445 	 Test images 10000
Round 004 	 FL_loss 2.6318 	 FL_acc 15.6951 	 Test images 10000
Round 005 	 FL_loss 2.4218 	 FL_acc 20.3626 	 Test images 10000
Round 006 	 FL_loss 2.6191 	 FL_acc 20.9736 	 Test images 10000
Round 007 	 FL_loss 2.1771 	 FL_acc 26.8730 	 Test images 10000
Round 008 	 FL_loss 2.1308 	 FL_acc 17.2977 	 Test images 10000
Round 009 	 FL_loss 2.0795 	 FL_acc 21.5445 	 Test images 10000
Round 010 	 FL_loss 1.8627 	 FL_acc 38.2612 	 Test images 10000
Round 011 	 FL_loss 1.8568 	 FL_acc 39.7736 	 Test images 10000
Round 012 	 FL_loss 1.7686 	 FL_acc 43.6198 	 Test images 10000
Round 013 	 FL_loss 1.6624 	 FL_acc 49.4191 	 Test images 10000
Round 014 	 FL_loss 1.6346 	 FL_acc 47.8566 	 Test images 10000
Round 015 	 FL_loss 1.5499 	 FL_acc 54.1567 	 Test images 10000
Round 016 	 FL_loss 1.5019 	 FL_acc 54.7075 	 Test images 10000
Round 017 	 FL_loss 1.4471 	 FL_acc 57.1414 	 Test images 10000
Round 018 	 FL_loss 1.3915 	 FL_acc 60.0561 	 Test images 10000
Round 019 	 FL_loss 1.3547 	 FL_acc 61.7588 	 Test images 10000
Round 020 	 FL_loss 1.3112 	 FL_acc 63.2312 	 Test images 10000
Round 021 	 FL_loss 1.2703 	 FL_acc 64.2027 	 Test images 10000
Round 022 	 FL_loss 1.2288 	 FL_acc 65.3345 	 Test images 10000
Round 023 	 FL_loss 1.1929 	 FL_acc 66.9671 	 Test images 10000
Round 024 	 FL_loss 1.1601 	 FL_acc 68.3794 	 Test images 10000
Round 025 	 FL_loss 1.1284 	 FL_acc 69.2608 	 Test images 10000
Round 026 	 FL_loss 1.0999 	 FL_acc 70.3025 	 Test images 10000
Round 027 	 FL_loss 1.0739 	 FL_acc 71.1138 	 Test images 10000
Round 028 	 FL_loss 1.0460 	 FL_acc 71.7748 	 Test images 10000
Round 029 	 FL_loss 1.0218 	 FL_acc 72.4159 	 Test images 10000
