Namespace(seed=42, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=7, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  7 	 Train loss 4.8886 	 LR 0.0099 	 Train images 200 	 Round   1
Device  7 	 Train loss 3.2984 	 LR 0.0098 	 Train images 200 	 Round   2
Device  7 	 Train loss 2.4943 	 LR 0.0097 	 Train images 200 	 Round   3
Device  7 	 Train loss 2.1914 	 LR 0.0096 	 Train images 200 	 Round   4
Device  7 	 Train loss 1.9867 	 LR 0.0095 	 Train images 200 	 Round   5
Device  7 	 Train loss 1.8299 	 LR 0.0094 	 Train images 200 	 Round   6
Device  7 	 Train loss 1.7181 	 LR 0.0093 	 Train images 200 	 Round   7
Device  7 	 Train loss 1.5885 	 LR 0.0092 	 Train images 200 	 Round   8
Device  7 	 Train loss 1.4985 	 LR 0.0091 	 Train images 200 	 Round   9
Device  7 	 Train loss 1.4206 	 LR 0.0090 	 Train images 200 	 Round  10
Device  7 	 Train loss 1.3307 	 LR 0.0090 	 Train images 200 	 Round  11
Device  7 	 Train loss 1.2660 	 LR 0.0089 	 Train images 200 	 Round  12
Device  7 	 Train loss 1.2010 	 LR 0.0088 	 Train images 200 	 Round  13
Device  7 	 Train loss 1.1473 	 LR 0.0087 	 Train images 200 	 Round  14
Device  7 	 Train loss 1.0835 	 LR 0.0086 	 Train images 200 	 Round  15
Device  7 	 Train loss 1.0398 	 LR 0.0085 	 Train images 200 	 Round  16
Device  7 	 Train loss 0.9967 	 LR 0.0084 	 Train images 200 	 Round  17
Device  7 	 Train loss 0.9648 	 LR 0.0083 	 Train images 200 	 Round  18
Device  7 	 Train loss 0.9188 	 LR 0.0083 	 Train images 200 	 Round  19
Device  7 	 Train loss 0.8906 	 LR 0.0082 	 Train images 200 	 Round  20
Device  7 	 Train loss 0.8677 	 LR 0.0081 	 Train images 200 	 Round  21
Device  7 	 Train loss 0.8587 	 LR 0.0080 	 Train images 200 	 Round  22
Device  7 	 Train loss 0.8396 	 LR 0.0079 	 Train images 200 	 Round  23
Device  7 	 Train loss 0.8171 	 LR 0.0079 	 Train images 200 	 Round  24
Device  7 	 Train loss 0.7924 	 LR 0.0078 	 Train images 200 	 Round  25
Device  7 	 Train loss 0.7831 	 LR 0.0077 	 Train images 200 	 Round  26
Device  7 	 Train loss 0.7534 	 LR 0.0076 	 Train images 200 	 Round  27
Device  7 	 Train loss 0.7473 	 LR 0.0075 	 Train images 200 	 Round  28
Device  7 	 Train loss 0.7370 	 LR 0.0075 	 Train images 200 	 Round  29
Device  7 	 Train loss 0.7175 	 LR 0.0074 	 Train images 200 	 Round  30
Device  7 	 Train loss 0.7004 	 LR 0.0073 	 Train images 200 	 Round  31
Device  7 	 Train loss 0.6899 	 LR 0.0072 	 Train images 200 	 Round  32
Device  7 	 Train loss 0.6888 	 LR 0.0072 	 Train images 200 	 Round  33
Device  7 	 Train loss 0.6822 	 LR 0.0071 	 Train images 200 	 Round  34
Device  7 	 Train loss 0.6777 	 LR 0.0070 	 Train images 200 	 Round  35
Device  7 	 Train loss 0.6572 	 LR 0.0070 	 Train images 200 	 Round  36
Device  7 	 Train loss 0.6392 	 LR 0.0069 	 Train images 200 	 Round  37
Device  7 	 Train loss 0.6553 	 LR 0.0068 	 Train images 200 	 Round  38
Device  7 	 Train loss 0.6372 	 LR 0.0068 	 Train images 200 	 Round  39
Device  7 	 Train loss 0.6373 	 LR 0.0067 	 Train images 200 	 Round  40
Device  7 	 Train loss 0.6223 	 LR 0.0066 	 Train images 200 	 Round  41
Device  7 	 Train loss 0.6116 	 LR 0.0066 	 Train images 200 	 Round  42
Device  7 	 Train loss 0.6291 	 LR 0.0065 	 Train images 200 	 Round  43
Device  7 	 Train loss 0.5966 	 LR 0.0064 	 Train images 200 	 Round  44
Device  7 	 Train loss 0.6167 	 LR 0.0064 	 Train images 200 	 Round  45
Device  7 	 Train loss 0.6088 	 LR 0.0063 	 Train images 200 	 Round  46
Device  7 	 Train loss 0.5939 	 LR 0.0062 	 Train images 200 	 Round  47
Device  7 	 Train loss 0.5882 	 LR 0.0062 	 Train images 200 	 Round  48
Device  7 	 Train loss 0.5859 	 LR 0.0061 	 Train images 200 	 Round  49
Device  7 	 Train loss 0.5784 	 LR 0.0061 	 Train images 200 	 Round  50
Device  7 	 Train loss 0.5934 	 LR 0.0060 	 Train images 200 	 Round  51
Device  7 	 Train loss 0.5838 	 LR 0.0059 	 Train images 200 	 Round  52
Device  7 	 Train loss 0.5667 	 LR 0.0059 	 Train images 200 	 Round  53
Device  7 	 Train loss 0.5669 	 LR 0.0058 	 Train images 200 	 Round  54
Device  7 	 Train loss 0.5642 	 LR 0.0058 	 Train images 200 	 Round  55
Device  7 	 Train loss 0.5626 	 LR 0.0057 	 Train images 200 	 Round  56
Device  7 	 Train loss 0.5666 	 LR 0.0056 	 Train images 200 	 Round  57
Device  7 	 Train loss 0.5559 	 LR 0.0056 	 Train images 200 	 Round  58
Device  7 	 Train loss 0.5461 	 LR 0.0055 	 Train images 200 	 Round  59
Device  7 	 Train loss 0.5504 	 LR 0.0055 	 Train images 200 	 Round  60
Device  7 	 Train loss 0.5418 	 LR 0.0054 	 Train images 200 	 Round  61
Device  7 	 Train loss 0.5371 	 LR 0.0054 	 Train images 200 	 Round  62
Device  7 	 Train loss 0.5368 	 LR 0.0053 	 Train images 200 	 Round  63
Device  7 	 Train loss 0.5293 	 LR 0.0053 	 Train images 200 	 Round  64
Device  7 	 Train loss 0.5289 	 LR 0.0052 	 Train images 200 	 Round  65
Device  7 	 Train loss 0.5185 	 LR 0.0052 	 Train images 200 	 Round  66
Device  7 	 Train loss 0.5307 	 LR 0.0051 	 Train images 200 	 Round  67
Device  7 	 Train loss 0.5184 	 LR 0.0050 	 Train images 200 	 Round  68
Device  7 	 Train loss 0.5132 	 LR 0.0050 	 Train images 200 	 Round  69
Device  7 	 Train loss 0.5197 	 LR 0.0049 	 Train images 200 	 Round  70
Device  7 	 Train loss 0.5087 	 LR 0.0049 	 Train images 200 	 Round  71
Device  7 	 Train loss 0.5082 	 LR 0.0048 	 Train images 200 	 Round  72
Device  7 	 Train loss 0.5040 	 LR 0.0048 	 Train images 200 	 Round  73
Device  7 	 Train loss 0.5015 	 LR 0.0048 	 Train images 200 	 Round  74
Device  7 	 Train loss 0.4931 	 LR 0.0047 	 Train images 200 	 Round  75
Device  7 	 Train loss 0.4903 	 LR 0.0047 	 Train images 200 	 Round  76
Device  7 	 Train loss 0.4910 	 LR 0.0046 	 Train images 200 	 Round  77
Device  7 	 Train loss 0.4803 	 LR 0.0046 	 Train images 200 	 Round  78
Device  7 	 Train loss 0.4908 	 LR 0.0045 	 Train images 200 	 Round  79
Device  7 	 Train loss 0.4790 	 LR 0.0045 	 Train images 200 	 Round  80
Device  7 	 Train loss 0.4924 	 LR 0.0044 	 Train images 200 	 Round  81
Device  7 	 Train loss 0.4703 	 LR 0.0044 	 Train images 200 	 Round  82
Device  7 	 Train loss 0.4889 	 LR 0.0043 	 Train images 200 	 Round  83
Device  7 	 Train loss 0.4724 	 LR 0.0043 	 Train images 200 	 Round  84
Device  7 	 Train loss 0.4696 	 LR 0.0043 	 Train images 200 	 Round  85
Device  7 	 Train loss 0.4663 	 LR 0.0042 	 Train images 200 	 Round  86
Device  7 	 Train loss 0.4799 	 LR 0.0042 	 Train images 200 	 Round  87
Device  7 	 Train loss 0.4809 	 LR 0.0041 	 Train images 200 	 Round  88
Device  7 	 Train loss 0.4679 	 LR 0.0041 	 Train images 200 	 Round  89
Device  7 	 Train loss 0.4796 	 LR 0.0040 	 Train images 200 	 Round  90
