Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='soteria', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=2, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 2.9821 	 FL_acc 13.8221 	 Test images 10000
Round 002 	 FL_loss 2.4009 	 FL_acc 15.3846 	 Test images 10000
Round 003 	 FL_loss 2.3557 	 FL_acc 23.8582 	 Test images 10000
Round 004 	 FL_loss 2.0454 	 FL_acc 25.4908 	 Test images 10000
Round 005 	 FL_loss 1.8541 	 FL_acc 39.4531 	 Test images 10000
Round 006 	 FL_loss 1.7317 	 FL_acc 47.0653 	 Test images 10000
Round 007 	 FL_loss 1.6251 	 FL_acc 50.7612 	 Test images 10000
Round 008 	 FL_loss 1.5123 	 FL_acc 55.0481 	 Test images 10000
Round 009 	 FL_loss 1.4193 	 FL_acc 59.3550 	 Test images 10000
Round 010 	 FL_loss 1.3330 	 FL_acc 61.8690 	 Test images 10000
Round 011 	 FL_loss 1.2515 	 FL_acc 65.3646 	 Test images 10000
Round 012 	 FL_loss 1.1816 	 FL_acc 67.8385 	 Test images 10000
Round 013 	 FL_loss 1.1159 	 FL_acc 69.7216 	 Test images 10000
Round 014 	 FL_loss 1.0598 	 FL_acc 71.5445 	 Test images 10000
Round 015 	 FL_loss 1.0090 	 FL_acc 73.0168 	 Test images 10000
Round 016 	 FL_loss 0.9643 	 FL_acc 74.1186 	 Test images 10000
Round 017 	 FL_loss 0.9246 	 FL_acc 75.2704 	 Test images 10000
Round 018 	 FL_loss 0.8892 	 FL_acc 76.1518 	 Test images 10000
Round 019 	 FL_loss 0.8565 	 FL_acc 77.0333 	 Test images 10000
Round 020 	 FL_loss 0.8287 	 FL_acc 77.6342 	 Test images 10000
Round 021 	 FL_loss 0.8022 	 FL_acc 78.5256 	 Test images 10000
Round 022 	 FL_loss 0.7784 	 FL_acc 79.1466 	 Test images 10000
Round 023 	 FL_loss 0.7571 	 FL_acc 79.7176 	 Test images 10000
Round 024 	 FL_loss 0.7381 	 FL_acc 80.1182 	 Test images 10000
Round 025 	 FL_loss 0.7202 	 FL_acc 80.4988 	 Test images 10000
Round 026 	 FL_loss 0.7036 	 FL_acc 80.8994 	 Test images 10000
Round 027 	 FL_loss 0.6884 	 FL_acc 81.2500 	 Test images 10000
Round 028 	 FL_loss 0.6741 	 FL_acc 81.5805 	 Test images 10000
Round 029 	 FL_loss 0.6611 	 FL_acc 82.0813 	 Test images 10000
Round 030 	 FL_loss 0.6500 	 FL_acc 82.3618 	 Test images 10000
Round 031 	 FL_loss 0.6376 	 FL_acc 82.6222 	 Test images 10000
Round 032 	 FL_loss 0.6272 	 FL_acc 82.8926 	 Test images 10000
Round 033 	 FL_loss 0.6178 	 FL_acc 83.1230 	 Test images 10000
Round 034 	 FL_loss 0.6082 	 FL_acc 83.3534 	 Test images 10000
Round 035 	 FL_loss 0.5997 	 FL_acc 83.5837 	 Test images 10000
Round 036 	 FL_loss 0.5914 	 FL_acc 83.7941 	 Test images 10000
Round 037 	 FL_loss 0.5834 	 FL_acc 83.9243 	 Test images 10000
