Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='cp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=10, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device 10 	 Train loss 1.7658 	 LR 0.0099 	 Train images 400 	 Round   1
Device 10 	 Train loss 1.6613 	 LR 0.0098 	 Train images 400 	 Round   2
Device 10 	 Train loss 1.9607 	 LR 0.0097 	 Train images 400 	 Round   3
Device 10 	 Train loss 0.9380 	 LR 0.0096 	 Train images 400 	 Round   4
Device 10 	 Train loss 0.9890 	 LR 0.0095 	 Train images 400 	 Round   5
Device 10 	 Train loss 0.9177 	 LR 0.0094 	 Train images 400 	 Round   6
Device 10 	 Train loss 0.7275 	 LR 0.0093 	 Train images 400 	 Round   7
Device 10 	 Train loss 0.6042 	 LR 0.0092 	 Train images 400 	 Round   8
Device 10 	 Train loss 0.6990 	 LR 0.0091 	 Train images 400 	 Round   9
Device 10 	 Train loss 0.7121 	 LR 0.0090 	 Train images 400 	 Round  10
Device 10 	 Train loss 0.5711 	 LR 0.0090 	 Train images 400 	 Round  11
Device 10 	 Train loss 0.5174 	 LR 0.0089 	 Train images 400 	 Round  12
Device 10 	 Train loss 0.4987 	 LR 0.0088 	 Train images 400 	 Round  13
Device 10 	 Train loss 0.4674 	 LR 0.0087 	 Train images 400 	 Round  14
Device 10 	 Train loss 0.4484 	 LR 0.0086 	 Train images 400 	 Round  15
Device 10 	 Train loss 0.4283 	 LR 0.0085 	 Train images 400 	 Round  16
Device 10 	 Train loss 0.4042 	 LR 0.0084 	 Train images 400 	 Round  17
Device 10 	 Train loss 0.4011 	 LR 0.0083 	 Train images 400 	 Round  18
Device 10 	 Train loss 0.3950 	 LR 0.0083 	 Train images 400 	 Round  19
Device 10 	 Train loss 0.3346 	 LR 0.0082 	 Train images 400 	 Round  20
Device 10 	 Train loss 0.3214 	 LR 0.0081 	 Train images 400 	 Round  21
Device 10 	 Train loss 0.3290 	 LR 0.0080 	 Train images 400 	 Round  22
Device 10 	 Train loss 0.3051 	 LR 0.0079 	 Train images 400 	 Round  23
Device 10 	 Train loss 0.2817 	 LR 0.0079 	 Train images 400 	 Round  24
Device 10 	 Train loss 0.2695 	 LR 0.0078 	 Train images 400 	 Round  25
Device 10 	 Train loss 0.2661 	 LR 0.0077 	 Train images 400 	 Round  26
Device 10 	 Train loss 0.2646 	 LR 0.0076 	 Train images 400 	 Round  27
Device 10 	 Train loss 0.2563 	 LR 0.0075 	 Train images 400 	 Round  28
Device 10 	 Train loss 0.2392 	 LR 0.0075 	 Train images 400 	 Round  29
Device 10 	 Train loss 0.2427 	 LR 0.0074 	 Train images 400 	 Round  30
Device 10 	 Train loss 0.2412 	 LR 0.0073 	 Train images 400 	 Round  31
Device 10 	 Train loss 0.2389 	 LR 0.0072 	 Train images 400 	 Round  32
Device 10 	 Train loss 0.2329 	 LR 0.0072 	 Train images 400 	 Round  33
Device 10 	 Train loss 0.2202 	 LR 0.0071 	 Train images 400 	 Round  34
Device 10 	 Train loss 0.2244 	 LR 0.0070 	 Train images 400 	 Round  35
Device 10 	 Train loss 0.2315 	 LR 0.0070 	 Train images 400 	 Round  36
Device 10 	 Train loss 0.2050 	 LR 0.0069 	 Train images 400 	 Round  37
Device 10 	 Train loss 0.2026 	 LR 0.0068 	 Train images 400 	 Round  38
Device 10 	 Train loss 0.2171 	 LR 0.0068 	 Train images 400 	 Round  39
Device 10 	 Train loss 0.2053 	 LR 0.0067 	 Train images 400 	 Round  40
Device 10 	 Train loss 0.1970 	 LR 0.0066 	 Train images 400 	 Round  41
Device 10 	 Train loss 0.1947 	 LR 0.0066 	 Train images 400 	 Round  42
Device 10 	 Train loss 0.1972 	 LR 0.0065 	 Train images 400 	 Round  43
Device 10 	 Train loss 0.2045 	 LR 0.0064 	 Train images 400 	 Round  44
Device 10 	 Train loss 0.2007 	 LR 0.0064 	 Train images 400 	 Round  45
Device 10 	 Train loss 0.2003 	 LR 0.0063 	 Train images 400 	 Round  46
Device 10 	 Train loss 0.1889 	 LR 0.0062 	 Train images 400 	 Round  47
Device 10 	 Train loss 0.1817 	 LR 0.0062 	 Train images 400 	 Round  48
Device 10 	 Train loss 0.1955 	 LR 0.0061 	 Train images 400 	 Round  49
Device 10 	 Train loss 0.1897 	 LR 0.0061 	 Train images 400 	 Round  50
Device 10 	 Train loss 0.1804 	 LR 0.0060 	 Train images 400 	 Round  51
Device 10 	 Train loss 0.1812 	 LR 0.0059 	 Train images 400 	 Round  52
Device 10 	 Train loss 0.1832 	 LR 0.0059 	 Train images 400 	 Round  53
Device 10 	 Train loss 0.1756 	 LR 0.0058 	 Train images 400 	 Round  54
Device 10 	 Train loss 0.1614 	 LR 0.0058 	 Train images 400 	 Round  55
Device 10 	 Train loss 0.1738 	 LR 0.0057 	 Train images 400 	 Round  56
Device 10 	 Train loss 0.1737 	 LR 0.0056 	 Train images 400 	 Round  57
Device 10 	 Train loss 0.1778 	 LR 0.0056 	 Train images 400 	 Round  58
Device 10 	 Train loss 0.1632 	 LR 0.0055 	 Train images 400 	 Round  59
Device 10 	 Train loss 0.1674 	 LR 0.0055 	 Train images 400 	 Round  60
Device 10 	 Train loss 0.1768 	 LR 0.0054 	 Train images 400 	 Round  61
Device 10 	 Train loss 0.1711 	 LR 0.0054 	 Train images 400 	 Round  62
Device 10 	 Train loss 0.1627 	 LR 0.0053 	 Train images 400 	 Round  63
Device 10 	 Train loss 0.1670 	 LR 0.0053 	 Train images 400 	 Round  64
Device 10 	 Train loss 0.1708 	 LR 0.0052 	 Train images 400 	 Round  65
Device 10 	 Train loss 0.1647 	 LR 0.0052 	 Train images 400 	 Round  66
Device 10 	 Train loss 0.1671 	 LR 0.0051 	 Train images 400 	 Round  67
Device 10 	 Train loss 0.1594 	 LR 0.0050 	 Train images 400 	 Round  68
Device 10 	 Train loss 0.1557 	 LR 0.0050 	 Train images 400 	 Round  69
Device 10 	 Train loss 0.1637 	 LR 0.0049 	 Train images 400 	 Round  70
Device 10 	 Train loss 0.1506 	 LR 0.0049 	 Train images 400 	 Round  71
Device 10 	 Train loss 0.1497 	 LR 0.0048 	 Train images 400 	 Round  72
Device 10 	 Train loss 0.1572 	 LR 0.0048 	 Train images 400 	 Round  73
Device 10 	 Train loss 0.1649 	 LR 0.0048 	 Train images 400 	 Round  74
Device 10 	 Train loss 0.1492 	 LR 0.0047 	 Train images 400 	 Round  75
Device 10 	 Train loss 0.1582 	 LR 0.0047 	 Train images 400 	 Round  76
Device 10 	 Train loss 0.1603 	 LR 0.0046 	 Train images 400 	 Round  77
Device 10 	 Train loss 0.1541 	 LR 0.0046 	 Train images 400 	 Round  78
Device 10 	 Train loss 0.1666 	 LR 0.0045 	 Train images 400 	 Round  79
Device 10 	 Train loss 0.1606 	 LR 0.0045 	 Train images 400 	 Round  80
Device 10 	 Train loss 0.1502 	 LR 0.0044 	 Train images 400 	 Round  81
Device 10 	 Train loss 0.1542 	 LR 0.0044 	 Train images 400 	 Round  82
Device 10 	 Train loss 0.1633 	 LR 0.0043 	 Train images 400 	 Round  83
Device 10 	 Train loss 0.1465 	 LR 0.0043 	 Train images 400 	 Round  84
Device 10 	 Train loss 0.1521 	 LR 0.0043 	 Train images 400 	 Round  85
Device 10 	 Train loss 0.1541 	 LR 0.0042 	 Train images 400 	 Round  86
