Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='cp', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 3.4484 	 FL_acc 9.9159 	 Test images 10000
Round 002 	 FL_loss 3.4238 	 FL_acc 9.8057 	 Test images 10000
Round 003 	 FL_loss 3.0525 	 FL_acc 13.3013 	 Test images 10000
Round 004 	 FL_loss 3.3268 	 FL_acc 14.7135 	 Test images 10000
Round 005 	 FL_loss 2.6912 	 FL_acc 24.8197 	 Test images 10000
Round 006 	 FL_loss 2.6653 	 FL_acc 16.9071 	 Test images 10000
Round 007 	 FL_loss 2.5610 	 FL_acc 29.2468 	 Test images 10000
Round 008 	 FL_loss 2.5973 	 FL_acc 28.9363 	 Test images 10000
Round 009 	 FL_loss 2.5683 	 FL_acc 30.8193 	 Test images 10000
Round 010 	 FL_loss 2.5697 	 FL_acc 31.9411 	 Test images 10000
Round 011 	 FL_loss 2.5512 	 FL_acc 34.4050 	 Test images 10000
Round 012 	 FL_loss 2.5144 	 FL_acc 36.2380 	 Test images 10000
Round 013 	 FL_loss 2.4862 	 FL_acc 37.4199 	 Test images 10000
Round 014 	 FL_loss 2.4639 	 FL_acc 39.0224 	 Test images 10000
Round 015 	 FL_loss 2.4574 	 FL_acc 40.2444 	 Test images 10000
Round 016 	 FL_loss 2.4403 	 FL_acc 41.9772 	 Test images 10000
Round 017 	 FL_loss 2.4181 	 FL_acc 43.2993 	 Test images 10000
Round 018 	 FL_loss 2.4080 	 FL_acc 44.1406 	 Test images 10000
Round 019 	 FL_loss 2.3856 	 FL_acc 46.2039 	 Test images 10000
Round 020 	 FL_loss 2.3752 	 FL_acc 47.1855 	 Test images 10000
Round 021 	 FL_loss 2.3707 	 FL_acc 47.4860 	 Test images 10000
Round 022 	 FL_loss 2.3674 	 FL_acc 47.9067 	 Test images 10000
Round 023 	 FL_loss 2.3547 	 FL_acc 49.3890 	 Test images 10000
Round 024 	 FL_loss 2.3390 	 FL_acc 50.7111 	 Test images 10000
Round 025 	 FL_loss 2.3254 	 FL_acc 51.8630 	 Test images 10000
Round 026 	 FL_loss 2.3238 	 FL_acc 52.2135 	 Test images 10000
Round 027 	 FL_loss 2.3205 	 FL_acc 52.4439 	 Test images 10000
Round 028 	 FL_loss 2.3082 	 FL_acc 53.5056 	 Test images 10000
Round 029 	 FL_loss 2.2919 	 FL_acc 54.6274 	 Test images 10000
Round 030 	 FL_loss 2.2911 	 FL_acc 55.1182 	 Test images 10000
Round 031 	 FL_loss 2.2866 	 FL_acc 55.3986 	 Test images 10000
Round 032 	 FL_loss 2.2838 	 FL_acc 55.7993 	 Test images 10000
Round 033 	 FL_loss 2.2719 	 FL_acc 56.7308 	 Test images 10000
Round 034 	 FL_loss 2.2691 	 FL_acc 57.2516 	 Test images 10000
Round 035 	 FL_loss 2.2706 	 FL_acc 57.3918 	 Test images 10000
Round 036 	 FL_loss 2.2724 	 FL_acc 57.5321 	 Test images 10000
Round 037 	 FL_loss 2.2622 	 FL_acc 58.5337 	 Test images 10000
Round 038 	 FL_loss 2.2632 	 FL_acc 58.6138 	 Test images 10000
Round 039 	 FL_loss 2.2562 	 FL_acc 59.1546 	 Test images 10000
Round 040 	 FL_loss 2.2548 	 FL_acc 59.4351 	 Test images 10000
Round 041 	 FL_loss 2.2486 	 FL_acc 59.7456 	 Test images 10000
Round 042 	 FL_loss 2.2441 	 FL_acc 60.3766 	 Test images 10000
Round 043 	 FL_loss 2.2408 	 FL_acc 60.7772 	 Test images 10000
Round 044 	 FL_loss 2.2439 	 FL_acc 60.9776 	 Test images 10000
Round 045 	 FL_loss 2.2415 	 FL_acc 61.1478 	 Test images 10000
Round 046 	 FL_loss 2.2322 	 FL_acc 61.8690 	 Test images 10000
Round 047 	 FL_loss 2.2331 	 FL_acc 62.2095 	 Test images 10000
Round 048 	 FL_loss 2.2344 	 FL_acc 62.2496 	 Test images 10000
Round 049 	 FL_loss 2.2334 	 FL_acc 62.5401 	 Test images 10000
Round 050 	 FL_loss 2.2396 	 FL_acc 62.6302 	 Test images 10000
Round 051 	 FL_loss 2.2374 	 FL_acc 62.5601 	 Test images 10000
Round 052 	 FL_loss 2.2386 	 FL_acc 62.8205 	 Test images 10000
Round 053 	 FL_loss 2.2342 	 FL_acc 63.1310 	 Test images 10000
Round 054 	 FL_loss 2.2354 	 FL_acc 63.3413 	 Test images 10000
Round 055 	 FL_loss 2.2349 	 FL_acc 63.7921 	 Test images 10000
Round 056 	 FL_loss 2.2307 	 FL_acc 63.9423 	 Test images 10000
Round 057 	 FL_loss 2.2306 	 FL_acc 64.2628 	 Test images 10000
Round 058 	 FL_loss 2.2286 	 FL_acc 64.1226 	 Test images 10000
Round 059 	 FL_loss 2.2236 	 FL_acc 64.4932 	 Test images 10000
Round 060 	 FL_loss 2.2194 	 FL_acc 64.8237 	 Test images 10000
Round 061 	 FL_loss 2.2179 	 FL_acc 65.0140 	 Test images 10000
Round 062 	 FL_loss 2.2210 	 FL_acc 65.1142 	 Test images 10000
Round 063 	 FL_loss 2.2243 	 FL_acc 65.2845 	 Test images 10000
Round 064 	 FL_loss 2.2289 	 FL_acc 65.0441 	 Test images 10000
Round 065 	 FL_loss 2.2277 	 FL_acc 65.3245 	 Test images 10000
Round 066 	 FL_loss 2.2254 	 FL_acc 65.5749 	 Test images 10000
Round 067 	 FL_loss 2.2255 	 FL_acc 65.4647 	 Test images 10000
Round 068 	 FL_loss 2.2287 	 FL_acc 65.9054 	 Test images 10000
Round 069 	 FL_loss 2.2274 	 FL_acc 65.8954 	 Test images 10000
Round 070 	 FL_loss 2.2309 	 FL_acc 65.7352 	 Test images 10000
Round 071 	 FL_loss 2.2296 	 FL_acc 65.8153 	 Test images 10000
Round 072 	 FL_loss 2.2271 	 FL_acc 66.1458 	 Test images 10000
Round 073 	 FL_loss 2.2251 	 FL_acc 65.9455 	 Test images 10000
Round 074 	 FL_loss 2.2245 	 FL_acc 66.4764 	 Test images 10000
Round 075 	 FL_loss 2.2218 	 FL_acc 66.5365 	 Test images 10000
Round 076 	 FL_loss 2.2207 	 FL_acc 66.8269 	 Test images 10000
Round 077 	 FL_loss 2.2202 	 FL_acc 66.8870 	 Test images 10000
Round 078 	 FL_loss 2.2175 	 FL_acc 67.0072 	 Test images 10000
Round 079 	 FL_loss 2.2132 	 FL_acc 67.0673 	 Test images 10000
Round 080 	 FL_loss 2.2167 	 FL_acc 66.9371 	 Test images 10000
Round 081 	 FL_loss 2.2186 	 FL_acc 66.8069 	 Test images 10000
Round 082 	 FL_loss 2.2210 	 FL_acc 66.8069 	 Test images 10000
Round 083 	 FL_loss 2.2194 	 FL_acc 67.0873 	 Test images 10000
Round 084 	 FL_loss 2.2165 	 FL_acc 67.2776 	 Test images 10000
Round 085 	 FL_loss 2.2154 	 FL_acc 67.4179 	 Test images 10000
Round 086 	 FL_loss 2.2141 	 FL_acc 67.4479 	 Test images 10000
Round 087 	 FL_loss 2.2137 	 FL_acc 67.5280 	 Test images 10000
Round 088 	 FL_loss 2.2137 	 FL_acc 67.5982 	 Test images 10000
Round 089 	 FL_loss 2.2143 	 FL_acc 67.6783 	 Test images 10000
Round 090 	 FL_loss 2.2129 	 FL_acc 67.7985 	 Test images 10000
Round 091 	 FL_loss 2.2145 	 FL_acc 67.7484 	 Test images 10000
Round 092 	 FL_loss 2.2179 	 FL_acc 67.6182 	 Test images 10000
Round 093 	 FL_loss 2.2189 	 FL_acc 67.8085 	 Test images 10000
Round 094 	 FL_loss 2.2181 	 FL_acc 67.9287 	 Test images 10000
Round 095 	 FL_loss 2.2147 	 FL_acc 68.0789 	 Test images 10000
Round 096 	 FL_loss 2.2144 	 FL_acc 68.0689 	 Test images 10000
Round 097 	 FL_loss 2.2149 	 FL_acc 68.1290 	 Test images 10000
Round 098 	 FL_loss 2.2170 	 FL_acc 68.2192 	 Test images 10000
Round 099 	 FL_loss 2.2153 	 FL_acc 68.2692 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 2.2163 	 FL_acc 68.2392 	 Test images 10000
Round 101 	 FL_loss 2.2169 	 FL_acc 68.2793 	 Test images 10000
Round 102 	 FL_loss 2.2187 	 FL_acc 68.3193 	 Test images 10000
Round 103 	 FL_loss 2.2143 	 FL_acc 68.4295 	 Test images 10000
