S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
11.1679,3.4708,17.9688,3.5701,9.1146,4.9502,26.3021,3.5385,21.875,2.1584,14.5833,2.1647,13.8021,1.9482,1.0417,5.164,26.8229,1.5948,0.2604,4.2307,0.7812,3.891
11.0377,3.3761,0.0,4.4133,50.7812,1.6724,0.0,4.4128,4.9479,2.0562,5.2083,2.4414,49.2188,1.9943,0.0,3.0133,50.7812,1.9416,4.6875,3.7118,0.0,4.5353
10.7472,3.0246,1.3021,2.0889,46.6146,1.9091,1.3021,2.0981,7.8125,1.6995,8.8542,2.5612,0.0,3.3805,46.3542,2.0267,0.0,3.4256,8.5938,1.7644,1.5625,2.6977
15.5248,3.232,72.9167,0.6784,0.0,3.6844,76.5625,0.6839,22.6562,1.6473,0.2604,2.8552,0.0,3.9963,0.0,3.4875,0.0,3.5817,49.2188,1.3022,48.6979,1.8312
26.1719,2.5962,80.2083,1.0601,37.2396,2.3455,74.4792,1.0766,48.6979,1.4925,7.0312,1.9711,38.0208,2.2357,1.8229,2.8622,44.7917,1.5026,28.3854,1.7095,32.5521,1.692
25.5809,2.5588,27.3438,1.6931,50.2604,1.8766,27.3438,1.7347,36.1979,1.5727,43.2292,1.6219,48.6979,1.7706,4.6875,2.4608,69.7917,1.1945,34.6354,1.722,15.625,1.8018
33.4936,2.4763,79.4271,1.0622,28.6458,1.9034,79.1667,1.0728,68.75,1.35,50.5208,1.6033,29.1667,2.0899,2.3438,2.2347,39.0625,1.6898,81.5104,1.0688,49.2188,1.4262
30.1482,2.5332,89.3229,0.7805,32.5521,1.6924,89.3229,0.7994,61.4583,1.2535,27.0833,1.8092,27.6042,2.2402,5.2083,2.2308,29.4271,1.7826,65.1042,1.0933,46.6146,1.5303
34.5353,2.4825,85.1562,0.8555,46.875,1.4523,85.9375,0.8703,63.0208,1.2363,30.2083,1.6985,42.4479,1.9895,5.9896,2.1399,56.25,1.3632,57.5521,1.2385,44.7917,1.5034
39.1827,2.4644,84.375,0.8838,44.5312,1.6015,81.5104,0.8938,73.4375,1.1295,51.5625,1.4399,45.0521,1.9227,9.375,2.1335,63.2812,1.2302,72.9167,1.0581,50.7812,1.2979
40.7452,2.4497,86.9792,0.8005,42.1875,1.654,83.8542,0.8014,74.4792,1.0608,55.9896,1.3436,41.9271,1.9656,14.0625,2.0517,58.5938,1.2556,80.2083,0.9322,57.8125,1.1548
41.5565,2.4156,87.2396,0.7424,47.9167,1.4801,86.1979,0.7497,74.7396,1.0327,52.8646,1.3512,42.4479,1.8978,17.4479,1.9488,62.7604,1.1739,75.5208,0.9697,58.5938,1.1605
42.8486,2.387,88.0208,0.7239,51.8229,1.3669,85.4167,0.7384,72.9167,1.0402,55.4688,1.3221,43.75,1.7905,20.8333,1.8619,66.4062,1.0907,75.0,0.9653,58.5938,1.1448
44.381,2.3629,87.2396,0.7092,54.1667,1.3345,83.8542,0.7257,76.8229,0.9764,59.6354,1.2512,45.0521,1.7075,26.5625,1.7967,69.5312,1.0603,77.6042,0.9141,62.7604,1.0728
45.603,2.3481,87.2396,0.685,54.1667,1.3291,84.8958,0.6846,77.0833,0.964,64.8438,1.1791,44.7917,1.6906,26.5625,1.779,71.875,0.9721,79.6875,0.871,65.625,0.9963
47.2556,2.3351,88.5417,0.6478,54.6875,1.3318,84.8958,0.6559,78.3854,0.9,65.8854,1.1239,45.8333,1.6738,30.4688,1.7081,71.875,0.9681,80.4688,0.8085,70.3125,0.9215
