Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='dcs', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 3.4708 	 FL_acc 11.1679 	 Test images 10000
Round 002 	 FL_loss 3.3761 	 FL_acc 11.0377 	 Test images 10000
Round 003 	 FL_loss 3.0246 	 FL_acc 10.7472 	 Test images 10000
Round 004 	 FL_loss 3.2320 	 FL_acc 15.5248 	 Test images 10000
Round 005 	 FL_loss 2.5962 	 FL_acc 26.1719 	 Test images 10000
Round 006 	 FL_loss 2.5588 	 FL_acc 25.5809 	 Test images 10000
Round 007 	 FL_loss 2.4763 	 FL_acc 33.4936 	 Test images 10000
Round 008 	 FL_loss 2.5332 	 FL_acc 30.1482 	 Test images 10000
Round 009 	 FL_loss 2.4825 	 FL_acc 34.5353 	 Test images 10000
Round 010 	 FL_loss 2.4644 	 FL_acc 39.1827 	 Test images 10000
Round 011 	 FL_loss 2.4497 	 FL_acc 40.7452 	 Test images 10000
Round 012 	 FL_loss 2.4156 	 FL_acc 41.5565 	 Test images 10000
Round 013 	 FL_loss 2.3870 	 FL_acc 42.8486 	 Test images 10000
Round 014 	 FL_loss 2.3629 	 FL_acc 44.3810 	 Test images 10000
Round 015 	 FL_loss 2.3481 	 FL_acc 45.6030 	 Test images 10000
Round 016 	 FL_loss 2.3351 	 FL_acc 47.2556 	 Test images 10000
Round 017 	 FL_loss 2.3132 	 FL_acc 48.7079 	 Test images 10000
Round 018 	 FL_loss 2.3071 	 FL_acc 49.2588 	 Test images 10000
Round 019 	 FL_loss 2.2862 	 FL_acc 51.2119 	 Test images 10000
Round 020 	 FL_loss 2.2799 	 FL_acc 51.6126 	 Test images 10000
Round 021 	 FL_loss 2.2620 	 FL_acc 52.4339 	 Test images 10000
Round 022 	 FL_loss 2.2623 	 FL_acc 52.6743 	 Test images 10000
Round 023 	 FL_loss 2.2429 	 FL_acc 53.8762 	 Test images 10000
Round 024 	 FL_loss 2.2326 	 FL_acc 54.2268 	 Test images 10000
Round 025 	 FL_loss 2.2194 	 FL_acc 55.2284 	 Test images 10000
Round 026 	 FL_loss 2.2193 	 FL_acc 55.5288 	 Test images 10000
Round 027 	 FL_loss 2.2115 	 FL_acc 56.0296 	 Test images 10000
Round 028 	 FL_loss 2.2020 	 FL_acc 56.4503 	 Test images 10000
Round 029 	 FL_loss 2.1797 	 FL_acc 57.4119 	 Test images 10000
Round 030 	 FL_loss 2.1875 	 FL_acc 57.3518 	 Test images 10000
Round 031 	 FL_loss 2.1771 	 FL_acc 58.1030 	 Test images 10000
Round 032 	 FL_loss 2.1804 	 FL_acc 58.3033 	 Test images 10000
Round 033 	 FL_loss 2.1707 	 FL_acc 58.7640 	 Test images 10000
Round 034 	 FL_loss 2.1746 	 FL_acc 58.8642 	 Test images 10000
Round 035 	 FL_loss 2.1688 	 FL_acc 59.3850 	 Test images 10000
Round 036 	 FL_loss 2.1737 	 FL_acc 59.4151 	 Test images 10000
Round 037 	 FL_loss 2.1659 	 FL_acc 59.8958 	 Test images 10000
Round 038 	 FL_loss 2.1678 	 FL_acc 59.8257 	 Test images 10000
Round 039 	 FL_loss 2.1630 	 FL_acc 60.0861 	 Test images 10000
Round 040 	 FL_loss 2.1604 	 FL_acc 60.2764 	 Test images 10000
Round 041 	 FL_loss 2.1459 	 FL_acc 60.7973 	 Test images 10000
Round 042 	 FL_loss 2.1476 	 FL_acc 61.1779 	 Test images 10000
Round 043 	 FL_loss 2.1464 	 FL_acc 61.2280 	 Test images 10000
Round 044 	 FL_loss 2.1464 	 FL_acc 61.2079 	 Test images 10000
Round 045 	 FL_loss 2.1355 	 FL_acc 61.5585 	 Test images 10000
Round 046 	 FL_loss 2.1223 	 FL_acc 62.0693 	 Test images 10000
Round 047 	 FL_loss 2.1131 	 FL_acc 62.3197 	 Test images 10000
Round 048 	 FL_loss 2.1158 	 FL_acc 62.2796 	 Test images 10000
Round 049 	 FL_loss 2.1087 	 FL_acc 62.6202 	 Test images 10000
Round 050 	 FL_loss 2.1118 	 FL_acc 62.6903 	 Test images 10000
Round 051 	 FL_loss 2.0998 	 FL_acc 62.9107 	 Test images 10000
Round 052 	 FL_loss 2.1007 	 FL_acc 62.9808 	 Test images 10000
Round 053 	 FL_loss 2.0897 	 FL_acc 63.1811 	 Test images 10000
Round 054 	 FL_loss 2.0898 	 FL_acc 63.4615 	 Test images 10000
Round 055 	 FL_loss 2.0892 	 FL_acc 63.6118 	 Test images 10000
Round 056 	 FL_loss 2.0868 	 FL_acc 63.9123 	 Test images 10000
Round 057 	 FL_loss 2.0827 	 FL_acc 64.0725 	 Test images 10000
Round 058 	 FL_loss 2.0822 	 FL_acc 64.1326 	 Test images 10000
Round 059 	 FL_loss 2.0756 	 FL_acc 64.3429 	 Test images 10000
Round 060 	 FL_loss 2.0756 	 FL_acc 64.6535 	 Test images 10000
