Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='dp', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=8, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  8 	 Train loss 3.1966 	 LR 0.0099 	 Train images 400 	 Round   1
Device  8 	 Train loss 0.7011 	 LR 0.0098 	 Train images 400 	 Round   2
Device  8 	 Train loss 0.9138 	 LR 0.0097 	 Train images 400 	 Round   3
Device  8 	 Train loss 1.3097 	 LR 0.0096 	 Train images 400 	 Round   4
Device  8 	 Train loss 1.1306 	 LR 0.0095 	 Train images 400 	 Round   5
Device  8 	 Train loss 0.6791 	 LR 0.0094 	 Train images 400 	 Round   6
Device  8 	 Train loss 0.5591 	 LR 0.0093 	 Train images 400 	 Round   7
Device  8 	 Train loss 0.5586 	 LR 0.0092 	 Train images 400 	 Round   8
Device  8 	 Train loss 0.5285 	 LR 0.0091 	 Train images 400 	 Round   9
Device  8 	 Train loss 0.4694 	 LR 0.0090 	 Train images 400 	 Round  10
Device  8 	 Train loss 0.3994 	 LR 0.0090 	 Train images 400 	 Round  11
Device  8 	 Train loss 0.4210 	 LR 0.0089 	 Train images 400 	 Round  12
Device  8 	 Train loss 0.3754 	 LR 0.0088 	 Train images 400 	 Round  13
Device  8 	 Train loss 0.3539 	 LR 0.0087 	 Train images 400 	 Round  14
Device  8 	 Train loss 0.3285 	 LR 0.0086 	 Train images 400 	 Round  15
Device  8 	 Train loss 0.3283 	 LR 0.0085 	 Train images 400 	 Round  16
Device  8 	 Train loss 0.3731 	 LR 0.0084 	 Train images 400 	 Round  17
Device  8 	 Train loss 0.3027 	 LR 0.0083 	 Train images 400 	 Round  18
Device  8 	 Train loss 0.2948 	 LR 0.0083 	 Train images 400 	 Round  19
Device  8 	 Train loss 0.2912 	 LR 0.0082 	 Train images 400 	 Round  20
Device  8 	 Train loss 0.2533 	 LR 0.0081 	 Train images 400 	 Round  21
Device  8 	 Train loss 0.2687 	 LR 0.0080 	 Train images 400 	 Round  22
Device  8 	 Train loss 0.2690 	 LR 0.0079 	 Train images 400 	 Round  23
Device  8 	 Train loss 0.2980 	 LR 0.0079 	 Train images 400 	 Round  24
