S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
13.772,3.5611,11.1979,3.9591,5.7292,5.0417,13.0208,3.9229,11.9792,2.1382,41.9271,1.883,8.0729,2.0617,0.5208,5.3009,49.2188,1.4668,0.2604,4.4145,0.7812,4.2647
14.3229,3.4336,0.0,4.5925,50.2604,1.7819,0.0,4.5949,21.3542,1.8784,22.9167,2.4363,49.2188,1.9878,0.0,3.058,50.7812,2.1518,23.6979,3.7176,0.0,4.7004
10.1863,3.052,0.2604,2.217,47.9167,1.7894,0.2604,2.2305,5.2083,1.7092,4.6875,2.6468,0.0,3.2242,47.1354,2.0242,0.0,3.3901,5.4688,1.9408,0.0,2.8677
17.1775,3.1316,77.8646,0.682,0.0,3.597,81.5104,0.6907,29.9479,1.4891,1.0417,2.5875,0.0,3.7769,0.0,3.5291,0.0,3.2927,49.4792,1.2031,48.6979,1.832
31.6506,2.5844,77.8646,1.14,38.5417,2.5196,71.875,1.1594,54.4271,1.3953,31.5104,1.6107,38.2812,2.2538,0.7812,3.0631,60.6771,1.3296,39.5833,1.5218,33.3333,1.7105
32.2216,2.5305,34.6354,1.6353,48.1771,2.0947,31.7708,1.6813,49.7396,1.4599,69.5312,1.3286,46.875,1.8512,6.25,2.6155,77.6042,1.0814,50.2604,1.561,21.0938,1.7547
34.986,2.4515,79.9479,1.0419,29.9479,1.955,78.125,1.0554,72.1354,1.2648,59.1146,1.4038,30.4688,2.0834,1.5625,2.3315,46.6146,1.5406,83.0729,1.0311,46.6146,1.475
34.0645,2.482,87.2396,0.8122,35.1562,1.6584,85.9375,0.835,66.4062,1.1912,43.4896,1.5731,30.9896,2.1795,5.4688,2.2355,42.9688,1.5731,69.0104,1.0626,45.8333,1.5603
38.3814,2.4376,83.5938,0.8999,44.5312,1.4894,81.5104,0.9153,70.8333,1.1563,50.5208,1.4065,42.1875,1.9796,5.9896,2.1437,62.2396,1.2101,66.4062,1.1303,43.75,1.4996
40.8053,2.4224,82.2917,0.8953,42.7083,1.6457,78.125,0.9047,74.4792,1.0845,65.3646,1.1789,44.2708,1.9337,8.5938,2.1435,69.7917,1.0668,76.8229,0.9958,51.5625,1.2938
42.3578,2.4014,86.7188,0.794,41.6667,1.6525,83.3333,0.7945,74.4792,1.0302,66.1458,1.1336,41.6667,1.9613,13.8021,2.0527,67.4479,1.0638,80.2083,0.927,58.0729,1.1706
43.5697,2.373,85.9375,0.7487,45.5729,1.5107,83.3333,0.7569,77.0833,0.975,68.2292,1.1182,42.1875,1.8916,17.4479,1.954,70.3125,1.0148,77.8646,0.922,59.6354,1.1529
44.8518,2.3481,86.4583,0.738,49.2188,1.4139,82.2917,0.7543,76.5625,0.9721,71.0938,1.0732,44.2708,1.7756,20.3125,1.8678,73.9583,0.9407,78.9062,0.8865,59.6354,1.1205
46.4543,2.326,85.4167,0.7258,51.3021,1.3672,81.5104,0.7433,77.3438,0.9332,75.5208,1.0081,45.3125,1.6988,24.4792,1.7954,77.3438,0.8862,79.6875,0.8578,64.5833,1.0489
47.4559,2.3201,85.4167,0.7014,51.0417,1.3449,83.3333,0.7017,77.6042,0.901,75.7812,0.9806,44.5312,1.6754,28.6458,1.743,77.6042,0.8663,82.0312,0.7973,67.4479,0.9677
49.6394,2.2993,87.7604,0.6394,53.3854,1.3068,84.8958,0.6459,77.6042,0.895,78.125,0.9647,45.0521,1.6665,33.3333,1.6357,79.9479,0.8283,80.4688,0.809,72.3958,0.8847
50.4708,2.2846,87.7604,0.6411,52.8646,1.2648,84.1146,0.6522,79.6875,0.8546,80.2083,0.9117,45.3125,1.5804,35.4167,1.6025,83.0729,0.7532,81.5104,0.7837,73.6979,0.875
51.1318,2.2789,87.7604,0.6208,54.1667,1.2347,84.375,0.6295,79.9479,0.8012,80.2083,0.869,45.8333,1.5472,36.7188,1.5755,83.5938,0.7163,82.8125,0.7323,74.4792,0.8381
52.1434,2.2685,86.9792,0.6134,55.2083,1.2454,84.1146,0.6158,79.6875,0.7805,82.2917,0.8188,46.3542,1.5029,40.3646,1.5092,84.1146,0.7232,84.375,0.688,79.9479,0.7527
52.8846,2.2588,87.7604,0.5833,56.7708,1.1844,84.1146,0.5955,80.7292,0.762,82.8125,0.8068,46.6146,1.465,41.6667,1.4582,85.1562,0.6791,83.3333,0.686,80.4688,0.7334
