Namespace(seed=40, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='MNIST', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=200, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 3.5611 	 FL_acc 13.7720 	 Test images 10000
Round 002 	 FL_loss 3.4336 	 FL_acc 14.3229 	 Test images 10000
Round 003 	 FL_loss 3.0520 	 FL_acc 10.1863 	 Test images 10000
Round 004 	 FL_loss 3.1316 	 FL_acc 17.1775 	 Test images 10000
Round 005 	 FL_loss 2.5844 	 FL_acc 31.6506 	 Test images 10000
Round 006 	 FL_loss 2.5305 	 FL_acc 32.2216 	 Test images 10000
Round 007 	 FL_loss 2.4515 	 FL_acc 34.9860 	 Test images 10000
Round 008 	 FL_loss 2.4820 	 FL_acc 34.0645 	 Test images 10000
Round 009 	 FL_loss 2.4376 	 FL_acc 38.3814 	 Test images 10000
Round 010 	 FL_loss 2.4224 	 FL_acc 40.8053 	 Test images 10000
Round 011 	 FL_loss 2.4014 	 FL_acc 42.3578 	 Test images 10000
Round 012 	 FL_loss 2.3730 	 FL_acc 43.5697 	 Test images 10000
Round 013 	 FL_loss 2.3481 	 FL_acc 44.8518 	 Test images 10000
Round 014 	 FL_loss 2.3260 	 FL_acc 46.4543 	 Test images 10000
Round 015 	 FL_loss 2.3201 	 FL_acc 47.4559 	 Test images 10000
Round 016 	 FL_loss 2.2993 	 FL_acc 49.6394 	 Test images 10000
Round 017 	 FL_loss 2.2846 	 FL_acc 50.4708 	 Test images 10000
Round 018 	 FL_loss 2.2789 	 FL_acc 51.1318 	 Test images 10000
Round 019 	 FL_loss 2.2685 	 FL_acc 52.1434 	 Test images 10000
Round 020 	 FL_loss 2.2588 	 FL_acc 52.8846 	 Test images 10000
Round 021 	 FL_loss 2.2493 	 FL_acc 53.6659 	 Test images 10000
Round 022 	 FL_loss 2.2519 	 FL_acc 53.8862 	 Test images 10000
Round 023 	 FL_loss 2.2410 	 FL_acc 54.9179 	 Test images 10000
Round 024 	 FL_loss 2.2351 	 FL_acc 55.4187 	 Test images 10000
Round 025 	 FL_loss 2.2329 	 FL_acc 56.0697 	 Test images 10000
Round 026 	 FL_loss 2.2341 	 FL_acc 56.4002 	 Test images 10000
Round 027 	 FL_loss 2.2285 	 FL_acc 56.7007 	 Test images 10000
Round 028 	 FL_loss 2.2224 	 FL_acc 57.2716 	 Test images 10000
Round 029 	 FL_loss 2.2095 	 FL_acc 57.9026 	 Test images 10000
Round 030 	 FL_loss 2.2202 	 FL_acc 57.9327 	 Test images 10000
Round 031 	 FL_loss 2.2126 	 FL_acc 58.5537 	 Test images 10000
Round 032 	 FL_loss 2.2163 	 FL_acc 58.6238 	 Test images 10000
Round 033 	 FL_loss 2.2091 	 FL_acc 59.1647 	 Test images 10000
Round 034 	 FL_loss 2.2119 	 FL_acc 59.2648 	 Test images 10000
Round 035 	 FL_loss 2.2112 	 FL_acc 59.6755 	 Test images 10000
Round 036 	 FL_loss 2.2132 	 FL_acc 59.8758 	 Test images 10000
Round 037 	 FL_loss 2.2060 	 FL_acc 60.3966 	 Test images 10000
Round 038 	 FL_loss 2.2118 	 FL_acc 60.4467 	 Test images 10000
Round 039 	 FL_loss 2.2138 	 FL_acc 60.7171 	 Test images 10000
Round 040 	 FL_loss 2.2119 	 FL_acc 60.9475 	 Test images 10000
Round 041 	 FL_loss 2.2068 	 FL_acc 61.2881 	 Test images 10000
Round 042 	 FL_loss 2.2062 	 FL_acc 61.7087 	 Test images 10000
Round 043 	 FL_loss 2.2068 	 FL_acc 61.8490 	 Test images 10000
Round 044 	 FL_loss 2.2125 	 FL_acc 61.9191 	 Test images 10000
Round 045 	 FL_loss 2.2084 	 FL_acc 62.1394 	 Test images 10000
Round 046 	 FL_loss 2.2004 	 FL_acc 62.8405 	 Test images 10000
Round 047 	 FL_loss 2.2065 	 FL_acc 62.8405 	 Test images 10000
Round 048 	 FL_loss 2.2092 	 FL_acc 63.0108 	 Test images 10000
Round 049 	 FL_loss 2.2137 	 FL_acc 63.0609 	 Test images 10000
Round 050 	 FL_loss 2.2188 	 FL_acc 63.1711 	 Test images 10000
Round 051 	 FL_loss 2.2163 	 FL_acc 63.2312 	 Test images 10000
Round 052 	 FL_loss 2.2189 	 FL_acc 63.4115 	 Test images 10000
Round 053 	 FL_loss 2.2171 	 FL_acc 63.5817 	 Test images 10000
Round 054 	 FL_loss 2.2198 	 FL_acc 63.6619 	 Test images 10000
Round 055 	 FL_loss 2.2226 	 FL_acc 63.8722 	 Test images 10000
Round 056 	 FL_loss 2.2188 	 FL_acc 64.1827 	 Test images 10000
Round 057 	 FL_loss 2.2152 	 FL_acc 64.3730 	 Test images 10000
Round 058 	 FL_loss 2.2153 	 FL_acc 64.4331 	 Test images 10000
Round 059 	 FL_loss 2.2165 	 FL_acc 64.6234 	 Test images 10000
Round 060 	 FL_loss 2.2106 	 FL_acc 65.1142 	 Test images 10000
Round 061 	 FL_loss 2.2133 	 FL_acc 65.1943 	 Test images 10000
Round 062 	 FL_loss 2.2156 	 FL_acc 65.2845 	 Test images 10000
Round 063 	 FL_loss 2.2194 	 FL_acc 65.4948 	 Test images 10000
Round 064 	 FL_loss 2.2191 	 FL_acc 65.2544 	 Test images 10000
Round 065 	 FL_loss 2.2220 	 FL_acc 65.5749 	 Test images 10000
Round 066 	 FL_loss 2.2194 	 FL_acc 65.8554 	 Test images 10000
Round 067 	 FL_loss 2.2186 	 FL_acc 65.7452 	 Test images 10000
Round 068 	 FL_loss 2.2281 	 FL_acc 65.9054 	 Test images 10000
Round 069 	 FL_loss 2.2244 	 FL_acc 66.0557 	 Test images 10000
Round 070 	 FL_loss 2.2270 	 FL_acc 66.0657 	 Test images 10000
Round 071 	 FL_loss 2.2268 	 FL_acc 66.2160 	 Test images 10000
Round 072 	 FL_loss 2.2255 	 FL_acc 66.4463 	 Test images 10000
Round 073 	 FL_loss 2.2224 	 FL_acc 66.3562 	 Test images 10000
Round 074 	 FL_loss 2.2246 	 FL_acc 66.7067 	 Test images 10000
Round 075 	 FL_loss 2.2207 	 FL_acc 66.8369 	 Test images 10000
Round 076 	 FL_loss 2.2215 	 FL_acc 67.0873 	 Test images 10000
Round 077 	 FL_loss 2.2210 	 FL_acc 67.2576 	 Test images 10000
Round 078 	 FL_loss 2.2198 	 FL_acc 67.2877 	 Test images 10000
Round 079 	 FL_loss 2.2153 	 FL_acc 67.4179 	 Test images 10000
Round 080 	 FL_loss 2.2193 	 FL_acc 67.2776 	 Test images 10000
Round 081 	 FL_loss 2.2215 	 FL_acc 67.0974 	 Test images 10000
Round 082 	 FL_loss 2.2250 	 FL_acc 67.0974 	 Test images 10000
Round 083 	 FL_loss 2.2254 	 FL_acc 67.3878 	 Test images 10000
Round 084 	 FL_loss 2.2224 	 FL_acc 67.6382 	 Test images 10000
Round 085 	 FL_loss 2.2209 	 FL_acc 67.6182 	 Test images 10000
Round 086 	 FL_loss 2.2199 	 FL_acc 67.8085 	 Test images 10000
Round 087 	 FL_loss 2.2184 	 FL_acc 67.8586 	 Test images 10000
Round 088 	 FL_loss 2.2209 	 FL_acc 68.0188 	 Test images 10000
Round 089 	 FL_loss 2.2226 	 FL_acc 68.0389 	 Test images 10000
Round 090 	 FL_loss 2.2217 	 FL_acc 68.2292 	 Test images 10000
Round 091 	 FL_loss 2.2197 	 FL_acc 68.1991 	 Test images 10000
Round 092 	 FL_loss 2.2228 	 FL_acc 67.9988 	 Test images 10000
Round 093 	 FL_loss 2.2268 	 FL_acc 67.9988 	 Test images 10000
Round 094 	 FL_loss 2.2277 	 FL_acc 68.1891 	 Test images 10000
Round 095 	 FL_loss 2.2226 	 FL_acc 68.4195 	 Test images 10000
Round 096 	 FL_loss 2.2190 	 FL_acc 68.4595 	 Test images 10000
Round 097 	 FL_loss 2.2204 	 FL_acc 68.4495 	 Test images 10000
Round 098 	 FL_loss 2.2268 	 FL_acc 68.4696 	 Test images 10000
Round 099 	 FL_loss 2.2237 	 FL_acc 68.5697 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 2.2239 	 FL_acc 68.5697 	 Test images 10000
Round 101 	 FL_loss 2.2263 	 FL_acc 68.5697 	 Test images 10000
Round 102 	 FL_loss 2.2273 	 FL_acc 68.6098 	 Test images 10000
Round 103 	 FL_loss 2.2226 	 FL_acc 68.6999 	 Test images 10000
Round 104 	 FL_loss 2.2220 	 FL_acc 68.9103 	 Test images 10000
Round 105 	 FL_loss 2.2289 	 FL_acc 68.8902 	 Test images 10000
Round 106 	 FL_loss 2.2295 	 FL_acc 68.9103 	 Test images 10000
Round 107 	 FL_loss 2.2292 	 FL_acc 69.0405 	 Test images 10000
Round 108 	 FL_loss 2.2273 	 FL_acc 69.2608 	 Test images 10000
Round 109 	 FL_loss 2.2288 	 FL_acc 69.2107 	 Test images 10000
Round 110 	 FL_loss 2.2304 	 FL_acc 69.1406 	 Test images 10000
Round 111 	 FL_loss 2.2292 	 FL_acc 69.2408 	 Test images 10000
Round 112 	 FL_loss 2.2285 	 FL_acc 69.2809 	 Test images 10000
Round 113 	 FL_loss 2.2292 	 FL_acc 69.3309 	 Test images 10000
Round 114 	 FL_loss 2.2278 	 FL_acc 69.3510 	 Test images 10000
Round 115 	 FL_loss 2.2335 	 FL_acc 69.3710 	 Test images 10000
Round 116 	 FL_loss 2.2316 	 FL_acc 69.4311 	 Test images 10000
Round 117 	 FL_loss 2.2313 	 FL_acc 69.4712 	 Test images 10000
Round 118 	 FL_loss 2.2298 	 FL_acc 69.5513 	 Test images 10000
Round 119 	 FL_loss 2.2322 	 FL_acc 69.5212 	 Test images 10000
Round 120 	 FL_loss 2.2320 	 FL_acc 69.4812 	 Test images 10000
Round 121 	 FL_loss 2.2350 	 FL_acc 69.5713 	 Test images 10000
Round 122 	 FL_loss 2.2294 	 FL_acc 69.6815 	 Test images 10000
Round 123 	 FL_loss 2.2295 	 FL_acc 69.7115 	 Test images 10000
Round 124 	 FL_loss 2.2332 	 FL_acc 69.7115 	 Test images 10000
Round 125 	 FL_loss 2.2300 	 FL_acc 69.7516 	 Test images 10000
Round 126 	 FL_loss 2.2300 	 FL_acc 69.7316 	 Test images 10000
Round 127 	 FL_loss 2.2298 	 FL_acc 69.8117 	 Test images 10000
Round 128 	 FL_loss 2.2328 	 FL_acc 69.9018 	 Test images 10000
Round 129 	 FL_loss 2.2318 	 FL_acc 69.8117 	 Test images 10000
Round 130 	 FL_loss 2.2319 	 FL_acc 69.8518 	 Test images 10000
Round 131 	 FL_loss 2.2339 	 FL_acc 69.8117 	 Test images 10000
Round 132 	 FL_loss 2.2312 	 FL_acc 70.0020 	 Test images 10000
Round 133 	 FL_loss 2.2308 	 FL_acc 70.1122 	 Test images 10000
Round 134 	 FL_loss 2.2308 	 FL_acc 70.1122 	 Test images 10000
Round 135 	 FL_loss 2.2341 	 FL_acc 70.1823 	 Test images 10000
Round 136 	 FL_loss 2.2311 	 FL_acc 70.1322 	 Test images 10000
Round 137 	 FL_loss 2.2319 	 FL_acc 70.1623 	 Test images 10000
Round 138 	 FL_loss 2.2315 	 FL_acc 70.2224 	 Test images 10000
Round 139 	 FL_loss 2.2358 	 FL_acc 70.1322 	 Test images 10000
Round 140 	 FL_loss 2.2371 	 FL_acc 70.2825 	 Test images 10000
Round 141 	 FL_loss 2.2326 	 FL_acc 70.3426 	 Test images 10000
Round 142 	 FL_loss 2.2289 	 FL_acc 70.3526 	 Test images 10000
Round 143 	 FL_loss 2.2274 	 FL_acc 70.2825 	 Test images 10000
Round 144 	 FL_loss 2.2316 	 FL_acc 70.3926 	 Test images 10000
Round 145 	 FL_loss 2.2333 	 FL_acc 70.4127 	 Test images 10000
Round 146 	 FL_loss 2.2372 	 FL_acc 70.4026 	 Test images 10000
