Namespace(seed=40, output_dir='./logs', demo=False, pretrained=False, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='MNIST', num_workers=2, batch_size=64, num_sen=64, defense='soteria', attack='gs', percent_num=20, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='non-iid', TotalDevNum=10, DevNum=9, n_data=200, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
<class 'torchvision.datasets.mnist.MNIST'>
Device  9 	 Train loss 1.6624 	 LR 0.0099 	 Train images 400 	 Round   1
Device  9 	 Train loss 2.5639 	 LR 0.0098 	 Train images 400 	 Round   2
Device  9 	 Train loss 0.9416 	 LR 0.0097 	 Train images 400 	 Round   3
Device  9 	 Train loss 0.4808 	 LR 0.0096 	 Train images 400 	 Round   4
Device  9 	 Train loss 0.4755 	 LR 0.0095 	 Train images 400 	 Round   5
Device  9 	 Train loss 0.3301 	 LR 0.0094 	 Train images 400 	 Round   6
Device  9 	 Train loss 0.3977 	 LR 0.0093 	 Train images 400 	 Round   7
Device  9 	 Train loss 0.2949 	 LR 0.0092 	 Train images 400 	 Round   8
Device  9 	 Train loss 0.2701 	 LR 0.0091 	 Train images 400 	 Round   9
Device  9 	 Train loss 0.2495 	 LR 0.0090 	 Train images 400 	 Round  10
Device  9 	 Train loss 0.2365 	 LR 0.0090 	 Train images 400 	 Round  11
Device  9 	 Train loss 0.2332 	 LR 0.0089 	 Train images 400 	 Round  12
Device  9 	 Train loss 0.2206 	 LR 0.0088 	 Train images 400 	 Round  13
Device  9 	 Train loss 0.2221 	 LR 0.0087 	 Train images 400 	 Round  14
Device  9 	 Train loss 0.2248 	 LR 0.0086 	 Train images 400 	 Round  15
Device  9 	 Train loss 0.1920 	 LR 0.0085 	 Train images 400 	 Round  16
Device  9 	 Train loss 0.2034 	 LR 0.0084 	 Train images 400 	 Round  17
Device  9 	 Train loss 0.2013 	 LR 0.0083 	 Train images 400 	 Round  18
Device  9 	 Train loss 0.2086 	 LR 0.0083 	 Train images 400 	 Round  19
Device  9 	 Train loss 0.1995 	 LR 0.0082 	 Train images 400 	 Round  20
Device  9 	 Train loss 0.1890 	 LR 0.0081 	 Train images 400 	 Round  21
Device  9 	 Train loss 0.1862 	 LR 0.0080 	 Train images 400 	 Round  22
Device  9 	 Train loss 0.1750 	 LR 0.0079 	 Train images 400 	 Round  23
Device  9 	 Train loss 0.1769 	 LR 0.0079 	 Train images 400 	 Round  24
Device  9 	 Train loss 0.1896 	 LR 0.0078 	 Train images 400 	 Round  25
Device  9 	 Train loss 0.1822 	 LR 0.0077 	 Train images 400 	 Round  26
Device  9 	 Train loss 0.1714 	 LR 0.0076 	 Train images 400 	 Round  27
Device  9 	 Train loss 0.1693 	 LR 0.0075 	 Train images 400 	 Round  28
Device  9 	 Train loss 0.1720 	 LR 0.0075 	 Train images 400 	 Round  29
Device  9 	 Train loss 0.1625 	 LR 0.0074 	 Train images 400 	 Round  30
Device  9 	 Train loss 0.1770 	 LR 0.0073 	 Train images 400 	 Round  31
