S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
9.8057,4.4215,0.0,6.5629,50.7812,2.9829,0.0,6.5328,0.0,4.1801,0.0,3.7484,49.2188,1.7727,0.0,4.4377,50.7812,1.4151,0.0,7.1618,0.0,6.2096
10.7171,3.5822,49.4792,2.0305,1.5625,4.4717,49.7396,2.0541,50.2604,1.077,0.5208,2.8624,0.0,5.1023,0.5208,2.5862,0.0,5.346,1.5625,2.6956,0.0,3.3524
10.3766,3.4103,50.5208,1.8175,0.0,3.5894,50.2604,1.8331,0.0,3.1543,0.2604,3.0778,0.0,3.9276,0.5208,2.362,0.0,3.9415,49.4792,1.4854,50.5208,1.1146
17.2977,2.6941,10.6771,1.9724,52.3438,1.2961,12.2396,2.0069,10.1562,1.9084,19.7917,1.8271,49.7396,1.4955,1.3021,2.5542,62.5,1.1136,15.8854,2.0156,9.8958,2.4065
23.4976,2.9782,94.0104,0.3913,6.25,2.8893,92.7083,0.3965,57.0312,0.9572,10.4167,2.5312,7.5521,3.0009,2.8646,2.7786,7.5521,2.8981,53.125,0.9665,50.7812,1.1768
32.0913,2.5548,74.7396,0.9344,54.6875,1.19,72.3958,0.9751,53.9062,1.4168,15.8854,2.0387,47.3958,1.7235,25.0,1.7272,49.7396,1.4336,46.0938,1.407,51.8229,1.2061
34.6354,2.585,91.4062,0.5088,45.5729,1.6099,91.4062,0.5317,64.5833,1.1034,23.9583,1.9116,43.2292,1.8462,11.1979,2.1609,44.2708,1.546,69.0104,0.9437,59.375,0.9997
37.0393,2.4951,92.7083,0.5283,52.6042,1.2945,90.1042,0.5553,64.0625,1.0639,20.5729,1.8257,46.875,1.7252,27.8646,1.8003,50.7812,1.3097,58.5938,1.0977,67.1875,0.9479
40.6651,2.4821,90.1042,0.4995,52.0833,1.2811,90.625,0.5195,68.75,1.0278,29.1667,1.7329,46.875,1.7,34.375,1.6854,54.6875,1.281,71.6146,0.9471,73.9583,0.7822
42.2576,2.4514,91.4062,0.4561,53.9062,1.2556,90.625,0.4839,71.0938,0.9601,32.8125,1.6317,48.4375,1.587,38.8021,1.6517,55.2083,1.2052,70.5729,0.9128,78.125,0.7234
43.73,2.4268,91.4062,0.4629,56.5104,1.1413,90.3646,0.4849,71.875,0.9314,34.375,1.6019,48.1771,1.5049,44.0104,1.5064,56.5104,1.1301,70.3125,0.9161,81.5104,0.6827
44.6114,2.4415,93.75,0.3981,55.9896,1.2005,92.4479,0.4045,73.4375,0.8813,35.6771,1.5479,47.6562,1.493,45.3125,1.5309,57.5521,1.1238,72.9167,0.8591,85.6771,0.5876
47.2155,2.4029,92.7083,0.403,58.3333,1.1214,91.1458,0.42,75.0,0.8585,44.0104,1.4496,48.9583,1.3676,47.3958,1.425,60.4167,1.0298,76.3021,0.8186,87.2396,0.5532
48.4375,2.3894,93.4896,0.3853,59.6354,1.0883,90.625,0.4122,76.8229,0.8237,43.4896,1.4189,50.0,1.3036,51.3021,1.3459,60.6771,1.0098,76.0417,0.7917,90.1042,0.4891
