Namespace(seed=42, output_dir='./logs', demo=False, pretrained=True, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='TinyImageNet', num_workers=2, batch_size=32, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=6, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  6 	 Train loss 5.2031 	 LR 0.0099 	 Train images 2000 	 Round   1
Device  6 	 Train loss 3.6842 	 LR 0.0098 	 Train images 2000 	 Round   2
Device  6 	 Train loss 2.6897 	 LR 0.0097 	 Train images 2000 	 Round   3
Device  6 	 Train loss 2.1695 	 LR 0.0096 	 Train images 2000 	 Round   4
Device  6 	 Train loss 1.8115 	 LR 0.0095 	 Train images 2000 	 Round   5
Device  6 	 Train loss 1.5693 	 LR 0.0094 	 Train images 2000 	 Round   6
Device  6 	 Train loss 1.3045 	 LR 0.0093 	 Train images 2000 	 Round   7
Device  6 	 Train loss 1.1252 	 LR 0.0092 	 Train images 2000 	 Round   8
Device  6 	 Train loss 0.9406 	 LR 0.0091 	 Train images 2000 	 Round   9
Device  6 	 Train loss 0.7708 	 LR 0.0090 	 Train images 2000 	 Round  10
Device  6 	 Train loss 0.6614 	 LR 0.0090 	 Train images 2000 	 Round  11
Device  6 	 Train loss 0.5419 	 LR 0.0089 	 Train images 2000 	 Round  12
Device  6 	 Train loss 0.4550 	 LR 0.0088 	 Train images 2000 	 Round  13
Device  6 	 Train loss 0.3542 	 LR 0.0087 	 Train images 2000 	 Round  14
Device  6 	 Train loss 0.2545 	 LR 0.0086 	 Train images 2000 	 Round  15
Device  6 	 Train loss 0.1822 	 LR 0.0085 	 Train images 2000 	 Round  16
Device  6 	 Train loss 0.1210 	 LR 0.0084 	 Train images 2000 	 Round  17
Device  6 	 Train loss 0.0959 	 LR 0.0083 	 Train images 2000 	 Round  18
Device  6 	 Train loss 0.0702 	 LR 0.0083 	 Train images 2000 	 Round  19
Device  6 	 Train loss 0.0636 	 LR 0.0082 	 Train images 2000 	 Round  20
Device  6 	 Train loss 0.0531 	 LR 0.0081 	 Train images 2000 	 Round  21
Device  6 	 Train loss 0.0474 	 LR 0.0080 	 Train images 2000 	 Round  22
Device  6 	 Train loss 0.0427 	 LR 0.0079 	 Train images 2000 	 Round  23
Device  6 	 Train loss 0.0366 	 LR 0.0079 	 Train images 2000 	 Round  24
Device  6 	 Train loss 0.0314 	 LR 0.0078 	 Train images 2000 	 Round  25
Device  6 	 Train loss 0.0303 	 LR 0.0077 	 Train images 2000 	 Round  26
Device  6 	 Train loss 0.0280 	 LR 0.0076 	 Train images 2000 	 Round  27
Device  6 	 Train loss 0.0263 	 LR 0.0075 	 Train images 2000 	 Round  28
Device  6 	 Train loss 0.0244 	 LR 0.0075 	 Train images 2000 	 Round  29
Device  6 	 Train loss 0.0228 	 LR 0.0074 	 Train images 2000 	 Round  30
Device  6 	 Train loss 0.0225 	 LR 0.0073 	 Train images 2000 	 Round  31
Device  6 	 Train loss 0.0196 	 LR 0.0072 	 Train images 2000 	 Round  32
Device  6 	 Train loss 0.0186 	 LR 0.0072 	 Train images 2000 	 Round  33
Device  6 	 Train loss 0.0185 	 LR 0.0071 	 Train images 2000 	 Round  34
Device  6 	 Train loss 0.0188 	 LR 0.0070 	 Train images 2000 	 Round  35
Device  6 	 Train loss 0.0169 	 LR 0.0070 	 Train images 2000 	 Round  36
Device  6 	 Train loss 0.0148 	 LR 0.0069 	 Train images 2000 	 Round  37
Device  6 	 Train loss 0.0157 	 LR 0.0068 	 Train images 2000 	 Round  38
Device  6 	 Train loss 0.0146 	 LR 0.0068 	 Train images 2000 	 Round  39
Device  6 	 Train loss 0.0133 	 LR 0.0067 	 Train images 2000 	 Round  40
Device  6 	 Train loss 0.0140 	 LR 0.0066 	 Train images 2000 	 Round  41
Device  6 	 Train loss 0.0128 	 LR 0.0066 	 Train images 2000 	 Round  42
Device  6 	 Train loss 0.0135 	 LR 0.0065 	 Train images 2000 	 Round  43
Device  6 	 Train loss 0.0117 	 LR 0.0064 	 Train images 2000 	 Round  44
Device  6 	 Train loss 0.0119 	 LR 0.0064 	 Train images 2000 	 Round  45
Device  6 	 Train loss 0.0111 	 LR 0.0063 	 Train images 2000 	 Round  46
Device  6 	 Train loss 0.0117 	 LR 0.0062 	 Train images 2000 	 Round  47
Device  6 	 Train loss 0.0102 	 LR 0.0062 	 Train images 2000 	 Round  48
Device  6 	 Train loss 0.0112 	 LR 0.0061 	 Train images 2000 	 Round  49
Device  6 	 Train loss 0.0100 	 LR 0.0061 	 Train images 2000 	 Round  50
Defense none on Dataset TinyImageNet.
Finished computations with time: 0:28:03.368774

Namespace(seed=42, output_dir='./logs', demo=False, pretrained=True, train_lr=0.01, root='/home/lgd/Desktop/SNNFL/datasets', dataset='TinyImageNet', num_workers=2, batch_size=32, num_sen=64, defense='none', attack='gs', percent_num=70, layer_num=6, noise_name='Gaussian', loc=0.0, scale=0.01, per_adv=1, dcs_iter=1000, dcs_lr=0.1, lambda_xsim=0.01, lambda_zsim=0.01, epsilon=0.01, early_stop=True, xsim_thr=150.0, lambda_y=0.7, project=True, startpoint='none', mixup=True, precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', method='iid', TotalDevNum=10, DevNum=6, n_data=2000, Pro_dev=5, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Device  6 	 Train loss 5.5743 	 LR 0.0099 	 Train images 2000 	 Round   1
Device  6 	 Train loss 5.4794 	 LR 0.0098 	 Train images 2000 	 Round   2
Device  6 	 Train loss 5.3977 	 LR 0.0097 	 Train images 2000 	 Round   3
Device  6 	 Train loss 5.2973 	 LR 0.0096 	 Train images 2000 	 Round   4
Device  6 	 Train loss 5.2113 	 LR 0.0095 	 Train images 2000 	 Round   5
Device  6 	 Train loss 5.1467 	 LR 0.0094 	 Train images 2000 	 Round   6
Device  6 	 Train loss 5.0464 	 LR 0.0093 	 Train images 2000 	 Round   7
Device  6 	 Train loss 4.9437 	 LR 0.0092 	 Train images 2000 	 Round   8
Device  6 	 Train loss 4.8581 	 LR 0.0091 	 Train images 2000 	 Round   9
Device  6 	 Train loss 4.7823 	 LR 0.0090 	 Train images 2000 	 Round  10
Device  6 	 Train loss 4.7075 	 LR 0.0090 	 Train images 2000 	 Round  11
Device  6 	 Train loss 4.6249 	 LR 0.0089 	 Train images 2000 	 Round  12
Device  6 	 Train loss 4.5645 	 LR 0.0088 	 Train images 2000 	 Round  13
Device  6 	 Train loss 4.4613 	 LR 0.0087 	 Train images 2000 	 Round  14
Device  6 	 Train loss 4.4256 	 LR 0.0086 	 Train images 2000 	 Round  15
Device  6 	 Train loss 4.3347 	 LR 0.0085 	 Train images 2000 	 Round  16
Device  6 	 Train loss 4.2613 	 LR 0.0084 	 Train images 2000 	 Round  17
Device  6 	 Train loss 4.2048 	 LR 0.0083 	 Train images 2000 	 Round  18
Device  6 	 Train loss 4.1507 	 LR 0.0083 	 Train images 2000 	 Round  19
Device  6 	 Train loss 4.1047 	 LR 0.0082 	 Train images 2000 	 Round  20
Device  6 	 Train loss 3.9981 	 LR 0.0081 	 Train images 2000 	 Round  21
Device  6 	 Train loss 3.9969 	 LR 0.0080 	 Train images 2000 	 Round  22
Device  6 	 Train loss 3.9113 	 LR 0.0079 	 Train images 2000 	 Round  23
Device  6 	 Train loss 3.8520 	 LR 0.0079 	 Train images 2000 	 Round  24
Device  6 	 Train loss 3.8480 	 LR 0.0078 	 Train images 2000 	 Round  25
Device  6 	 Train loss 3.7727 	 LR 0.0077 	 Train images 2000 	 Round  26
Device  6 	 Train loss 3.6718 	 LR 0.0076 	 Train images 2000 	 Round  27
Device  6 	 Train loss 3.6585 	 LR 0.0075 	 Train images 2000 	 Round  28
Device  6 	 Train loss 3.5492 	 LR 0.0075 	 Train images 2000 	 Round  29
Device  6 	 Train loss 3.5358 	 LR 0.0074 	 Train images 2000 	 Round  30
Device  6 	 Train loss 3.4419 	 LR 0.0073 	 Train images 2000 	 Round  31
Device  6 	 Train loss 3.4502 	 LR 0.0072 	 Train images 2000 	 Round  32
Device  6 	 Train loss 3.4021 	 LR 0.0072 	 Train images 2000 	 Round  33
Device  6 	 Train loss 3.3735 	 LR 0.0071 	 Train images 2000 	 Round  34
Device  6 	 Train loss 3.3050 	 LR 0.0070 	 Train images 2000 	 Round  35
Device  6 	 Train loss 3.2422 	 LR 0.0070 	 Train images 2000 	 Round  36
Device  6 	 Train loss 3.1703 	 LR 0.0069 	 Train images 2000 	 Round  37
Device  6 	 Train loss 3.1688 	 LR 0.0068 	 Train images 2000 	 Round  38
Device  6 	 Train loss 3.1031 	 LR 0.0068 	 Train images 2000 	 Round  39
Device  6 	 Train loss 3.0041 	 LR 0.0067 	 Train images 2000 	 Round  40
Device  6 	 Train loss 3.0034 	 LR 0.0066 	 Train images 2000 	 Round  41
Device  6 	 Train loss 2.9385 	 LR 0.0066 	 Train images 2000 	 Round  42
Device  6 	 Train loss 2.9232 	 LR 0.0065 	 Train images 2000 	 Round  43
Device  6 	 Train loss 2.8823 	 LR 0.0064 	 Train images 2000 	 Round  44
Device  6 	 Train loss 2.7994 	 LR 0.0064 	 Train images 2000 	 Round  45
Device  6 	 Train loss 2.7439 	 LR 0.0063 	 Train images 2000 	 Round  46
Device  6 	 Train loss 2.6935 	 LR 0.0062 	 Train images 2000 	 Round  47
Device  6 	 Train loss 2.6237 	 LR 0.0062 	 Train images 2000 	 Round  48
Device  6 	 Train loss 2.5672 	 LR 0.0061 	 Train images 2000 	 Round  49
Device  6 	 Train loss 2.5209 	 LR 0.0061 	 Train images 2000 	 Round  50
Defense none on Dataset TinyImageNet.
Finished computations with time: 0:29:05.584722

