S_acc,S_loss,C1_acc,C1_loss,C2_acc,C2_loss,C3_acc,C3_loss,C4_acc,C4_loss,C5_acc,C5_loss,C6_acc,C6_loss,C7_acc,C7_loss,C8_acc,C8_loss,C9_acc,C9_loss,C10_acc,C10_loss
0.0,5.3743,0.3024,5.331,0.4032,5.327,0.4032,5.3281,0.6048,5.3195,0.8065,5.3225,0.7056,5.3296,0.4536,5.3232,0.7056,5.3208,0.4032,5.3231,0.7056,5.3295
0.0,5.7882,0.5544,5.3555,0.5544,5.3471,0.504,5.3382,0.3024,5.344,0.4536,5.3429,0.5544,5.3496,0.6552,5.3413,0.9073,5.3392,0.3528,5.3607,0.756,5.3316
0.0,5.8462,1.0081,5.1825,0.8065,5.1718,1.1593,5.1565,0.9577,5.1719,1.4113,5.1612,1.2097,5.1567,0.9577,5.1887,1.5121,5.1724,1.1593,5.1595,1.4617,5.16
0.0,6.6678,1.3609,5.1167,1.5121,5.0982,1.8145,5.0914,1.7137,5.0912,1.5625,5.0871,1.5121,5.0815,1.6633,5.1206,1.6129,5.1156,1.7137,5.0836,2.0665,5.0965
0.7913,6.0083,3.2762,4.9269,2.873,4.9344,3.125,4.9373,3.7298,4.9213,3.7802,4.9126,4.2339,4.9091,2.9234,4.951,3.0746,4.9566,3.9315,4.9037,3.5786,4.9381
0.0,6.6742,4.1331,4.8593,3.7298,4.8795,4.6875,4.8615,3.9819,4.849,3.9315,4.8513,4.1835,4.841,4.0323,4.8815,3.5786,4.8838,3.7802,4.8492,3.9315,4.8746
0.0501,6.731,4.3347,4.7628,3.5786,4.7709,4.2843,4.7658,4.0323,4.7625,4.8387,4.7536,5.1915,4.7505,4.0323,4.8046,4.0323,4.7901,4.1835,4.7595,4.9395,4.776
0.4507,6.406,5.6956,4.6742,5.6956,4.6846,5.3931,4.6664,6.4516,4.6508,5.3427,4.6601,6.4516,4.6521,5.0907,4.702,5.1411,4.7015,5.9476,4.6597,5.9476,4.6822
0.01,7.0088,6.6028,4.5954,5.998,4.6099,7.2581,4.568,6.3508,4.5823,6.3004,4.5725,6.9556,4.5609,6.3004,4.6148,5.9476,4.6234,6.3508,4.5855,5.9476,4.6095
0.4908,6.4059,7.2077,4.5199,6.25,4.538,7.0565,4.5004,7.2581,4.4867,7.3085,4.4904,7.5101,4.4855,6.8548,4.5605,6.8044,4.5593,6.9052,4.5001,7.4093,4.5305
0.3906,6.8767,8.2661,4.4259,8.0645,4.4335,9.2742,4.4081,8.7702,4.4101,9.0222,4.411,9.7278,4.3894,9.0726,4.4599,8.1149,4.4691,9.2742,4.4015,9.5262,4.4446
