Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=True, dataset='TinyImageNet', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 5.7960 	 FL_acc 0.2504 	 Test images 10000
Round 002 	 FL_loss 7.2589 	 FL_acc 0.6811 	 Test images 10000
Round 003 	 FL_loss 7.9089 	 FL_acc 0.6711 	 Test images 10000
Round 004 	 FL_loss 8.9005 	 FL_acc 0.5409 	 Test images 10000
Round 005 	 FL_loss 9.5049 	 FL_acc 0.5409 	 Test images 10000
Round 006 	 FL_loss 9.7225 	 FL_acc 0.5008 	 Test images 10000
Round 007 	 FL_loss 10.3149 	 FL_acc 0.4908 	 Test images 10000
Round 008 	 FL_loss 10.4205 	 FL_acc 0.5208 	 Test images 10000
Round 009 	 FL_loss 10.9217 	 FL_acc 0.4908 	 Test images 10000
Round 010 	 FL_loss 10.5662 	 FL_acc 0.5308 	 Test images 10000
Round 011 	 FL_loss 10.7989 	 FL_acc 0.5208 	 Test images 10000
Round 012 	 FL_loss 11.2401 	 FL_acc 0.4908 	 Test images 10000
Round 013 	 FL_loss 11.1832 	 FL_acc 0.5008 	 Test images 10000
Round 014 	 FL_loss 11.2487 	 FL_acc 0.5208 	 Test images 10000
Round 015 	 FL_loss 11.2165 	 FL_acc 0.5308 	 Test images 10000
Round 016 	 FL_loss 11.1012 	 FL_acc 0.5409 	 Test images 10000
Round 017 	 FL_loss 11.0182 	 FL_acc 0.5308 	 Test images 10000
Round 018 	 FL_loss 11.3629 	 FL_acc 0.5208 	 Test images 10000
Round 019 	 FL_loss 11.2529 	 FL_acc 0.5208 	 Test images 10000
Round 020 	 FL_loss 11.3440 	 FL_acc 0.5208 	 Test images 10000
Round 021 	 FL_loss 11.3190 	 FL_acc 0.5208 	 Test images 10000
Round 022 	 FL_loss 11.2771 	 FL_acc 0.5208 	 Test images 10000
Round 023 	 FL_loss 11.3609 	 FL_acc 0.5108 	 Test images 10000
Round 024 	 FL_loss 11.3774 	 FL_acc 0.5208 	 Test images 10000
Round 025 	 FL_loss 11.3776 	 FL_acc 0.5208 	 Test images 10000
Round 026 	 FL_loss 11.4115 	 FL_acc 0.5208 	 Test images 10000
Round 027 	 FL_loss 11.4211 	 FL_acc 0.5208 	 Test images 10000
Round 028 	 FL_loss 11.4025 	 FL_acc 0.5208 	 Test images 10000
Round 029 	 FL_loss 11.4314 	 FL_acc 0.5208 	 Test images 10000
Round 030 	 FL_loss 11.4819 	 FL_acc 0.5208 	 Test images 10000
Round 031 	 FL_loss 11.4658 	 FL_acc 0.5308 	 Test images 10000
Round 032 	 FL_loss 11.5086 	 FL_acc 0.5208 	 Test images 10000
Round 033 	 FL_loss 11.5149 	 FL_acc 0.5208 	 Test images 10000
Round 034 	 FL_loss 11.5276 	 FL_acc 0.5208 	 Test images 10000
Round 035 	 FL_loss 11.6141 	 FL_acc 0.5108 	 Test images 10000
Round 036 	 FL_loss 11.5765 	 FL_acc 0.5308 	 Test images 10000
Round 037 	 FL_loss 11.5762 	 FL_acc 0.5409 	 Test images 10000
Round 038 	 FL_loss 11.6108 	 FL_acc 0.5308 	 Test images 10000
Round 039 	 FL_loss 11.5807 	 FL_acc 0.5308 	 Test images 10000
Round 040 	 FL_loss 11.6384 	 FL_acc 0.5308 	 Test images 10000
Round 041 	 FL_loss 11.6079 	 FL_acc 0.5308 	 Test images 10000
Round 042 	 FL_loss 11.6264 	 FL_acc 0.5308 	 Test images 10000
Round 043 	 FL_loss 11.5913 	 FL_acc 0.5308 	 Test images 10000
Round 044 	 FL_loss 11.6140 	 FL_acc 0.5409 	 Test images 10000
Round 045 	 FL_loss 11.6507 	 FL_acc 0.5308 	 Test images 10000
Round 046 	 FL_loss 11.6676 	 FL_acc 0.5308 	 Test images 10000
Round 047 	 FL_loss 11.6749 	 FL_acc 0.5208 	 Test images 10000
Round 048 	 FL_loss 11.6698 	 FL_acc 0.5208 	 Test images 10000
Round 049 	 FL_loss 11.6853 	 FL_acc 0.5208 	 Test images 10000
Round 050 	 FL_loss 11.7619 	 FL_acc 0.5308 	 Test images 10000
Best FL accuracy: 0.6810897588729858 on round 2
Defense Method:  none
Finished computations with time: 0:28:33.650368

Namespace(seed=42, output_dir='./logs', cnt=1, method='iid', TotalDevNum=10, pretrained=True, dataset='TinyImageNet', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
Round 001 	 FL_loss 5.3743 	 FL_acc 0.0000 	 Test images 10000
Round 002 	 FL_loss 5.7882 	 FL_acc 0.0000 	 Test images 10000
Round 003 	 FL_loss 5.8462 	 FL_acc 0.0000 	 Test images 10000
Round 004 	 FL_loss 6.6678 	 FL_acc 0.0000 	 Test images 10000
Round 005 	 FL_loss 6.0083 	 FL_acc 0.7913 	 Test images 10000
Round 006 	 FL_loss 6.6742 	 FL_acc 0.0000 	 Test images 10000
Round 007 	 FL_loss 6.7310 	 FL_acc 0.0501 	 Test images 10000
Round 008 	 FL_loss 6.4060 	 FL_acc 0.4507 	 Test images 10000
Round 009 	 FL_loss 7.0088 	 FL_acc 0.0100 	 Test images 10000
Round 010 	 FL_loss 6.4059 	 FL_acc 0.4908 	 Test images 10000
Round 011 	 FL_loss 6.8767 	 FL_acc 0.3906 	 Test images 10000
Round 012 	 FL_loss 7.0158 	 FL_acc 0.1803 	 Test images 10000
Round 013 	 FL_loss 7.0358 	 FL_acc 0.2905 	 Test images 10000
Round 014 	 FL_loss 6.6166 	 FL_acc 0.7812 	 Test images 10000
Round 015 	 FL_loss 6.8868 	 FL_acc 0.9716 	 Test images 10000
Round 016 	 FL_loss 7.9336 	 FL_acc 0.3706 	 Test images 10000
Round 017 	 FL_loss 7.2503 	 FL_acc 0.8614 	 Test images 10000
Round 018 	 FL_loss 7.7890 	 FL_acc 0.8313 	 Test images 10000
Round 019 	 FL_loss 7.9031 	 FL_acc 0.5108 	 Test images 10000
Round 020 	 FL_loss 7.6367 	 FL_acc 2.4840 	 Test images 10000
Round 021 	 FL_loss 8.3588 	 FL_acc 0.6911 	 Test images 10000
Round 022 	 FL_loss 7.6643 	 FL_acc 1.0317 	 Test images 10000
Round 023 	 FL_loss 9.3403 	 FL_acc 0.3005 	 Test images 10000
Round 024 	 FL_loss 8.7737 	 FL_acc 0.6210 	 Test images 10000
Round 025 	 FL_loss 8.3770 	 FL_acc 1.0216 	 Test images 10000
Round 026 	 FL_loss 8.8944 	 FL_acc 0.9215 	 Test images 10000
Round 027 	 FL_loss 8.2215 	 FL_acc 0.9716 	 Test images 10000
Round 028 	 FL_loss 8.8178 	 FL_acc 1.0016 	 Test images 10000
Round 029 	 FL_loss 8.4668 	 FL_acc 1.2119 	 Test images 10000
Round 030 	 FL_loss 9.3222 	 FL_acc 0.6611 	 Test images 10000
Round 031 	 FL_loss 8.9221 	 FL_acc 0.7011 	 Test images 10000
Round 032 	 FL_loss 8.6158 	 FL_acc 1.1719 	 Test images 10000
Round 033 	 FL_loss 9.5709 	 FL_acc 0.6510 	 Test images 10000
Round 034 	 FL_loss 9.3598 	 FL_acc 0.9615 	 Test images 10000
Round 035 	 FL_loss 10.5591 	 FL_acc 0.4006 	 Test images 10000
Round 036 	 FL_loss 8.7560 	 FL_acc 1.1018 	 Test images 10000
Round 037 	 FL_loss 9.6527 	 FL_acc 0.6510 	 Test images 10000
Round 038 	 FL_loss 10.5214 	 FL_acc 0.5909 	 Test images 10000
Round 039 	 FL_loss 10.3393 	 FL_acc 0.4708 	 Test images 10000
Round 040 	 FL_loss 9.8782 	 FL_acc 0.6711 	 Test images 10000
Round 041 	 FL_loss 9.2063 	 FL_acc 1.3421 	 Test images 10000
Round 042 	 FL_loss 10.4647 	 FL_acc 0.9515 	 Test images 10000
Round 043 	 FL_loss 9.7386 	 FL_acc 0.6310 	 Test images 10000
Round 044 	 FL_loss 10.9319 	 FL_acc 0.8213 	 Test images 10000
Round 045 	 FL_loss 10.1607 	 FL_acc 0.8213 	 Test images 10000
Round 046 	 FL_loss 9.4631 	 FL_acc 1.2220 	 Test images 10000
Round 047 	 FL_loss 10.7464 	 FL_acc 0.5809 	 Test images 10000
Round 048 	 FL_loss 9.7763 	 FL_acc 1.1118 	 Test images 10000
Round 049 	 FL_loss 10.5568 	 FL_acc 0.8013 	 Test images 10000
Round 050 	 FL_loss 9.3679 	 FL_acc 1.2520 	 Test images 10000
Best FL accuracy: 2.4839744567871094 on round 20
Defense Method:  none
Finished computations with time: 0:29:35.914038

